Stock;Features
NVDA;WILLIAMS_R_10, ROC_3, ROC_5, ROC_COL_Open_12, ROC_COL_High_10, MDI_14, ATR_12, BB_UPPER_20_1, BB_PERCENT_B_30_2, BB_SMA_50_2, BB_LOWER_50_2, CONNORS_RSI_3_2_25, ADL_EMA_12, BINARY_RSI_8_OVERBOUGHT, BINARY_WILLIAMS_R_10_OVERSOLD, BINARY_WILLIAMS_R_17_OVERBOUGHT, BINARY_ROC_3_UPTREND, BINARY_ADX_8_STRONG_TREND, BINARY_ADX_9_UPTREND, BINARY_ADX_10_STRONG_TREND, BINARY_ATR_14_VOL_UP, BINARY_BB_30_2_ABOVE, BINARY_ADL_EMA_14_DOWN, BINARY_CHO_3_10_UP, BINARY_TEMA_12_UPTREND
AAPL;MACD_12_26_9, MACD_SIGNAL_12_26_9, CCI_9, ROC_5, ROC_COL_High_7, BB_UPPER_20_2, BB_UPPER_20_2.5, BB_LOWER_50_2, BB_WIDTH_50_2, BB_UPPER_20_3, OBV_EMA_10, CONNORS_PERCENT_RANK_25, ADL, ULCER_INDEX_9, BINARY_ROC_12_UPTREND, BINARY_ADX_8_STRONG_TREND, BINARY_ADX_9_UPTREND, BINARY_BB_20_2_ABOVE, BINARY_BB_20_2.5_BELOW, BINARY_BB_20_3_ABOVE, BINARY_OBV_EMA_10_UP, BINARY_ADL_UP, BINARY_ADL_EMA_20_UP, BINARY_TEMA_14_UPTREND, BINARY_ULCER_INDEX_9_DOWN
AMZN;ROC_COL_Open_12, PDI_8, BB_PERCENT_B_10_2, BB_UPPER_20_2, BB_UPPER_20_2.5, BB_SMA_30_2, BB_UPPER_50_2, BB_UPPER_20_3, OBV_EMA_5, ADL, CHO_3_10, BINARY_RSI_8_OVERSOLD, BINARY_RSI_12_OVERSOLD, BINARY_WILLIAMS_R_10_OVERBOUGHT, BINARY_WILLIAMS_R_14_OVERBOUGHT, BINARY_CCI_20_OVERBOUGHT, BINARY_ADX_12_STRONG_TREND, BINARY_OBV_EMA_10_UP, BINARY_MFI_7_OVERSOLD, BINARY_MFI_14_OVERBOUGHT, BINARY_ADL_EMA_12_DOWN, BINARY_ADL_EMA_15_DOWN, BINARY_ADL_EMA_17_UP, BINARY_CHO_5_20_UP, BINARY_ULCER_INDEX_5_DOWN
LRCX;RSI_14, MACD_12_26_9, ROC_7, ROC_COL_High_14, ROC_COL_Low_5, BB_PERCENT_B_10_1.5, BB_UPPER_20_2.5, BB_ZSCORE_30_2, BB_UPPER_50_2, UO_7_14_28, ADL_EMA_15, ADL_EMA_20, CHO_5_20, ULCER_INDEX_9, BINARY_EMA_14_UPTREND, BINARY_ROC_12_UPTREND, BINARY_ADX_8_UPTREND, BINARY_BB_10_2_BELOW, BINARY_BB_30_2_BELOW, BINARY_OBV_EMA_5_DOWN, BINARY_MFI_7_OVERSOLD, BINARY_ADL_EMA_10_UP, BINARY_ADL_EMA_14_UP, BINARY_ULCER_INDEX_5_UP, BINARY_ULCER_INDEX_5_DOWN
SBUX;MACD_SIGNAL_10_20_7, STOCH_SIGNAL_14_3_3, CCI_12, CCI_14, ROC_5, ROC_COL_Open_2, BB_ZSCORE_20_2.5, BB_ZSCORE_30_2, BB_UPPER_50_2, BB_PERCENT_B_50_2, BB_UPPER_20_3, CONNORS_RSI_STREAK_2, ADL, TEMA_10, BINARY_MACD_HISTOGRAM_12_26_9_UP, BINARY_STOCH_14_3_3_K_ABOVE_D, BINARY_CCI_20_OVERBOUGHT, BINARY_ROC_1_UPTREND, BINARY_ROC_3_UPTREND, BINARY_ROC_5_UPTREND, BINARY_ROC_14_UPTREND, BINARY_ADX_10_UPTREND, BINARY_OBV_EMA_5_DOWN, BINARY_OBV_EMA_10_UP, BINARY_ADL_EMA_10_UP
REGN;RSI_12, CCI_9, CCI_12, CCI_15, ROC_COL_Open_7, BB_ZSCORE_30_2, OBV_EMA_5, MFI_14, ADL_EMA_20, CHO_3_10, TEMA_7, ULCER_INDEX_5, BINARY_EMA_12_UPTREND, BINARY_WILLIAMS_R_17_OVERSOLD, BINARY_ADX_9_UPTREND, BINARY_ADX_10_UPTREND, BINARY_ATR_8_VOL_UP, BINARY_BB_10_2_BELOW, BINARY_BB_20_1_BELOW, BINARY_UO_7_14_28_UP, BINARY_ADL_UP, BINARY_ADL_EMA_10_UP, BINARY_ADL_EMA_10_DOWN, BINARY_ADL_EMA_15_DOWN, BINARY_TEMA_10_UPTREND
KLAC;MACD_HISTOGRAM_7_18_9, STOCH_K_14_3_3, CCI_12, ROC_10, ROC_COL_Open_3, ROC_COL_Open_10, ROC_COL_Low_10, ADX_10, MDI_10, BB_UPPER_10_1.5, BB_WIDTH_10_1.5, BB_PERCENT_B_20_1, BINARY_RSI_10_OVERBOUGHT, BINARY_WILLIAMS_R_14_OVERBOUGHT, BINARY_CCI_20_OVERBOUGHT, BINARY_ADX_10_STRONG_TREND, BINARY_BB_10_2_ABOVE, BINARY_BB_20_3_BELOW, BINARY_OBV_EMA_5_UP, BINARY_MFI_7_OVERBOUGHT, BINARY_MFI_10_OVERSOLD, BINARY_ADL_EMA_17_UP, BINARY_TEMA_10_UPTREND, BINARY_TEMA_12_UPTREND, BINARY_ULCER_INDEX_14_DOWN
BKNG;ROC_COL_Open_3, ROC_COL_High_14, ROC_COL_Low_5, PDI_12, BB_UPPER_10_1.5, BB_UPPER_30_2, OBV, MFI_7, ADL, BINARY_RSI_12_OVERSOLD, BINARY_MACD_SIGNAL_12_26_9_UP, BINARY_STOCH_14_3_3_K_ABOVE_D, BINARY_CCI_12_OVERSOLD, BINARY_ROC_1_UPTREND, BINARY_ROC_12_UPTREND, BINARY_ADX_9_STRONG_TREND, BINARY_BB_20_2_ABOVE, BINARY_BB_30_2_BELOW, BINARY_UO_7_14_28_UP, BINARY_UO_7_14_28_DOWN, BINARY_MFI_14_OVERBOUGHT, BINARY_ADL_UP, BINARY_ADL_EMA_14_DOWN, BINARY_TEMA_12_UPTREND, BINARY_ULCER_INDEX_9_UP
AMD;WILLIAMS_R_17, ROC_10, ROC_14, ROC_COL_Open_5, ROC_COL_Open_14, ROC_COL_High_3, ROC_COL_Low_1, ROC_COL_Low_7, ADX_9, BB_WIDTH_20_2, BB_WIDTH_30_2, CONNORS_RSI_3_2_25, CHO_3_10, BINARY_STOCH_14_3_3_K_ABOVE_D, BINARY_WILLIAMS_R_14_OVERBOUGHT, BINARY_ROC_5_UPTREND, BINARY_ROC_10_UPTREND, BINARY_ADX_10_STRONG_TREND, BINARY_ADX_12_STRONG_TREND, BINARY_BB_10_2_ABOVE, BINARY_BB_30_2_ABOVE, BINARY_UO_7_14_28_UP, BINARY_TEMA_12_UPTREND, BINARY_ULCER_INDEX_9_UP, BINARY_ULCER_INDEX_14_DOWN
VRTX;RSI_14, MACD_12_26_9, MACD_10_20_7, CCI_15, ROC_COL_Open_5, ROC_COL_Low_2, ROC_COL_Low_3, ATR_8, BB_PERCENT_B_10_1.5, BB_LOWER_10_2, BB_UPPER_20_1, TEMA_7, BINARY_EMA_5_UPTREND, BINARY_MACD_12_26_9_UP, BINARY_WILLIAMS_R_14_OVERSOLD, BINARY_ROC_1_UPTREND, BINARY_ROC_10_UPTREND, BINARY_ADX_14_UPTREND, BINARY_BB_10_2_BELOW, BINARY_BB_20_3_ABOVE, BINARY_MFI_10_OVERBOUGHT, BINARY_ADL_EMA_10_UP, BINARY_ADL_EMA_12_DOWN, BINARY_TEMA_10_UPTREND, BINARY_ULCER_INDEX_9_DOWN
