Stock;Features
NVDA;MACD_SIGNAL_12_26_9, ROC_2, ATR_10, BB_UPPER_10_2, BB_UPPER_30_2, BB_SMA_50_2, CONNORS_RSI_STREAK_2, CONNORS_PERCENT_RANK_25, ADL_EMA_12, ADL_EMA_15, ADL_EMA_20, CHO_5_20, BINARY_WILLIAMS_R_10_OVERBOUGHT, BINARY_CCI_9_OVERSOLD, BINARY_CCI_14_OVERBOUGHT, BINARY_CCI_20_OVERBOUGHT, BINARY_ROC_5_UPTREND, BINARY_ADX_14_UPTREND, BINARY_BB_10_1.5_BELOW, BINARY_BB_20_1_BELOW, BINARY_OBV_EMA_5_UP, BINARY_MFI_10_OVERBOUGHT, BINARY_ADL_EMA_17_UP, BINARY_CHO_3_10_UP, BINARY_ULCER_INDEX_5_UP
AAPL;RSI_14, ROC_COL_Open_7, ROC_COL_High_1, ROC_COL_High_3, MDI_9, PDI_10, ATR_10, BB_UPPER_10_1.5, BB_PERCENT_B_10_1.5, BB_UPPER_20_2, BB_LOWER_20_2, BB_ZSCORE_20_3, OBV_EMA_10, ADL_EMA_20, TEMA_14, BINARY_RSI_12_OVERSOLD, BINARY_MACD_HISTOGRAM_10_20_7_UP, BINARY_CCI_15_OVERBOUGHT, BINARY_ADX_8_DOWNTREND, BINARY_ADX_10_DOWNTREND, BINARY_BB_20_1_ABOVE, BINARY_BB_20_2_ABOVE, BINARY_OBV_UP, BINARY_MFI_10_OVERBOUGHT, BINARY_ADL_EMA_10_UP
AMZN;CCI_12, ROC_2, ROC_COL_Open_2, ROC_COL_High_1, PDI_9, BB_UPPER_20_2.5, BB_SMA_30_2, BB_WIDTH_50_2, BB_ZSCORE_20_3, OBV, CHO_3_10, BINARY_RSI_12_OVERSOLD, BINARY_MACD_12_26_9_UP, BINARY_MACD_10_20_7_UP, BINARY_MACD_SIGNAL_10_20_7_UP, BINARY_WILLIAMS_R_10_OVERBOUGHT, BINARY_CCI_15_OVERSOLD, BINARY_ROC_14_UPTREND, BINARY_ADX_9_DOWNTREND, BINARY_ATR_8_VOL_UP, BINARY_MFI_7_OVERSOLD, BINARY_MFI_10_OVERSOLD, BINARY_ADL_EMA_15_UP, BINARY_TEMA_10_UPTREND, BINARY_TEMA_14_UPTREND
LRCX;CCI_9, ROC_COL_Open_1, ROC_COL_Open_2, ROC_COL_Open_7, PDI_8, MDI_8, PDI_10, ADX_14, BB_PERCENT_B_10_1.5, BB_ZSCORE_20_1, CONNORS_RSI_CLOSE_3, CHO_5_20, BINARY_MACD_HISTOGRAM_10_20_7_UP, BINARY_WILLIAMS_R_10_OVERBOUGHT, BINARY_WILLIAMS_R_14_OVERBOUGHT, BINARY_WILLIAMS_R_14_OVERSOLD, BINARY_CCI_9_OVERSOLD, BINARY_CCI_14_OVERBOUGHT, BINARY_CCI_14_OVERSOLD, BINARY_ADX_14_DOWNTREND, BINARY_ATR_8_VOL_UP, BINARY_BB_30_2_ABOVE, BINARY_BB_20_3_ABOVE, BINARY_ADL_EMA_14_DOWN, BINARY_TEMA_14_UPTREND
SBUX;ROC_1, ROC_5, ROC_14, ROC_COL_Open_2, ROC_COL_High_14, PDI_14, BB_SMA_10_1.5, BB_LOWER_10_2, BB_PERCENT_B_10_2, BB_SMA_30_2, BB_SMA_20_3, MFI_7, ADL_EMA_15, CHO_5_20, ULCER_INDEX_5, BINARY_RSI_14_OVERSOLD, BINARY_MACD_HISTOGRAM_7_18_9_UP, BINARY_WILLIAMS_R_17_OVERSOLD, BINARY_CCI_20_OVERBOUGHT, BINARY_ROC_1_UPTREND, BINARY_ROC_12_UPTREND, BINARY_ATR_10_VOL_UP, BINARY_BB_50_2_ABOVE, BINARY_TEMA_12_UPTREND, BINARY_ULCER_INDEX_9_DOWN
REGN;RSI_10, RSI_14, STOCH_SIGNAL_14_3_3, ROC_COL_Open_3, ROC_COL_Open_10, ROC_COL_High_1, ROC_COL_High_2, PDI_9, BB_WIDTH_10_1.5, BB_SMA_10_2, BB_SMA_20_2, BB_PERCENT_B_20_2.5, BB_LOWER_30_2, BB_LOWER_50_2, CHO_5_20, BINARY_EMA_12_UPTREND, BINARY_RSI_10_OVERBOUGHT, BINARY_RSI_10_OVERSOLD, BINARY_MACD_HISTOGRAM_12_26_9_UP, BINARY_MACD_10_20_7_UP, BINARY_WILLIAMS_R_10_OVERBOUGHT, BINARY_BB_10_2_ABOVE, BINARY_BB_10_2_BELOW, BINARY_BB_30_2_BELOW, BINARY_ADL_UP
KLAC;MACD_SIGNAL_12_26_9, ROC_COL_Low_5, BB_UPPER_10_1.5, BB_PERCENT_B_10_1.5, BB_PERCENT_B_10_2, BB_WIDTH_20_2.5, OBV, TEMA_10, BINARY_WILLIAMS_R_10_OVERSOLD, BINARY_WILLIAMS_R_17_OVERBOUGHT, BINARY_ROC_12_UPTREND, BINARY_ADX_9_STRONG_TREND, BINARY_ADX_12_STRONG_TREND, BINARY_ADX_12_DOWNTREND, BINARY_ATR_10_VOL_UP, BINARY_BB_10_1.5_ABOVE, BINARY_BB_10_2_BELOW, BINARY_BB_50_2_ABOVE, BINARY_BB_50_2_BELOW, BINARY_MFI_10_OVERBOUGHT, BINARY_ADL_UP, BINARY_ADL_EMA_12_UP, BINARY_ADL_EMA_17_UP, BINARY_SAR_0.02_0.2_DOWN, BINARY_ULCER_INDEX_5_DOWN
BKNG;MACD_HISTOGRAM_12_26_9, MACD_10_20_7, WILLIAMS_R_10, ROC_COL_High_3, ROC_COL_Low_12, ADX_8, ADX_10, MDI_12, MDI_14, BB_UPPER_10_2, BB_SMA_20_1, BB_SMA_20_2, CONNORS_RSI_3_2_25, ADL_EMA_12, ADL_EMA_14, CHO_5_20, SAR_0.02_0.2, BINARY_EMA_7_UPTREND, BINARY_EMA_14_UPTREND, BINARY_CCI_9_OVERSOLD, BINARY_CCI_14_OVERBOUGHT, BINARY_ADX_9_STRONG_TREND, BINARY_BB_10_1.5_BELOW, BINARY_CONNORS_RSI_3_2_25_OVERBOUGHT, BINARY_TEMA_14_UPTREND
AMD;MACD_HISTOGRAM_7_18_9, STOCH_SIGNAL_14_3_3, ROC_COL_Low_3, MDI_8, PDI_9, PDI_10, MDI_10, PDI_14, BB_WIDTH_10_1.5, BB_WIDTH_30_2, BB_UPPER_50_2, BB_WIDTH_20_3, UO_7_14_28, CHO_3_10, ULCER_INDEX_5, BINARY_MACD_7_18_9_UP, BINARY_CCI_14_OVERBOUGHT, BINARY_ROC_14_UPTREND, BINARY_ADX_9_UPTREND, BINARY_BB_10_1.5_BELOW, BINARY_BB_20_1_BELOW, BINARY_BB_20_2_BELOW, BINARY_BB_20_2.5_BELOW, BINARY_UO_7_14_28_UP, BINARY_ADL_EMA_17_DOWN
VRTX;MACD_SIGNAL_7_18_9, CCI_12, ROC_COL_Open_2, ROC_COL_High_1, ADX_9, ADX_10, MDI_10, BB_ZSCORE_10_2, BB_WIDTH_20_3, ADL_EMA_10, ADL_EMA_17, TEMA_7, ULCER_INDEX_5, BINARY_EMA_14_UPTREND, BINARY_MACD_HISTOGRAM_12_26_9_UP, BINARY_MACD_7_18_9_UP, BINARY_CCI_14_OVERSOLD, BINARY_ROC_7_UPTREND, BINARY_ADX_8_UPTREND, BINARY_ADX_9_STRONG_TREND, BINARY_BB_10_1.5_ABOVE, BINARY_BB_50_2_ABOVE, BINARY_MFI_7_OVERSOLD, BINARY_MFI_10_OVERBOUGHT, BINARY_MFI_10_OVERSOLD
