Stock;Features
NVDA;RSI_10, CCI_9, PDI_12, BB_PERCENT_B_10_1.5, BB_SMA_10_2, BB_LOWER_10_2, BB_WIDTH_20_1, BB_SMA_20_2, BB_LOWER_20_2.5, BB_SMA_50_2, BB_UPPER_50_2, BB_SMA_20_3, CONNORS_PERCENT_RANK_25, ADL_EMA_20, CHO_3_10, BINARY_WILLIAMS_R_17_OVERBOUGHT, BINARY_CCI_14_OVERBOUGHT, BINARY_CCI_15_OVERBOUGHT, BINARY_ROC_12_UPTREND, BINARY_ADX_9_STRONG_TREND, BINARY_ADX_14_UPTREND, BINARY_BB_10_2_ABOVE, BINARY_MFI_7_OVERBOUGHT, BINARY_ADL_EMA_20_UP, BINARY_TEMA_7_UPTREND
AAPL;RSI_12, CCI_9, ROC_COL_Open_10, ROC_COL_High_1, ROC_COL_Low_2, ATR_12, BB_SMA_20_2, BB_PERCENT_B_20_2.5, BB_UPPER_50_2, OBV_EMA_5, CONNORS_RSI_3_2_25, MFI_7, ADL_EMA_17, BINARY_RSI_8_OVERSOLD, BINARY_RSI_12_OVERSOLD, BINARY_MACD_HISTOGRAM_7_18_9_UP, BINARY_WILLIAMS_R_17_OVERBOUGHT, BINARY_ADX_8_UPTREND, BINARY_ADX_12_UPTREND, BINARY_BB_20_1_ABOVE, BINARY_BB_20_1_BELOW, BINARY_CONNORS_RSI_3_2_25_OVERBOUGHT, BINARY_MFI_7_OVERSOLD, BINARY_TEMA_14_UPTREND, BINARY_ULCER_INDEX_9_UP
AMZN;MACD_HISTOGRAM_12_26_9, MACD_SIGNAL_7_18_9, MACD_SIGNAL_10_20_7, WILLIAMS_R_17, ROC_COL_Low_7, BB_UPPER_10_1.5, BB_UPPER_10_2, BB_ZSCORE_10_2, BB_UPPER_20_1, BB_UPPER_20_2.5, CONNORS_RSI_STREAK_2, ADL, BINARY_MACD_HISTOGRAM_7_18_9_UP, BINARY_CCI_9_OVERBOUGHT, BINARY_CCI_15_OVERBOUGHT, BINARY_CCI_20_OVERBOUGHT, BINARY_ADX_10_STRONG_TREND, BINARY_ATR_12_VOL_UP, BINARY_BB_20_2.5_ABOVE, BINARY_OBV_EMA_5_DOWN, BINARY_MFI_7_OVERSOLD, BINARY_MFI_10_OVERSOLD, BINARY_ADL_EMA_14_UP, BINARY_ADL_EMA_20_DOWN, BINARY_ULCER_INDEX_14_UP
LRCX;WILLIAMS_R_17, ROC_COL_Open_10, PDI_9, ATR_12, BB_LOWER_20_1, BB_SMA_50_2, OBV_EMA_5, CHO_3_10, CHO_5_20, SAR_0.02_0.2, BINARY_EMA_5_UPTREND, BINARY_EMA_10_UPTREND, BINARY_RSI_10_OVERSOLD, BINARY_MACD_10_20_7_UP, BINARY_WILLIAMS_R_14_OVERSOLD, BINARY_BB_20_2.5_BELOW, BINARY_BB_30_2_ABOVE, BINARY_OBV_EMA_10_UP, BINARY_CONNORS_RSI_3_2_25_OVERSOLD, BINARY_MFI_7_OVERBOUGHT, BINARY_MFI_10_OVERSOLD, BINARY_ADL_EMA_15_DOWN, BINARY_ADL_EMA_20_UP, BINARY_CHO_3_10_UP, BINARY_SAR_0.02_0.2_UP
SBUX;RSI_8, MACD_HISTOGRAM_10_20_7, ROC_1, ROC_5, ROC_COL_High_14, ROC_COL_Low_12, PDI_10, BB_LOWER_20_1, BB_WIDTH_20_2, BB_LOWER_30_2, MFI_10, ADL_EMA_10, BINARY_RSI_10_OVERBOUGHT, BINARY_RSI_14_OVERSOLD, BINARY_MACD_12_26_9_UP, BINARY_MACD_HISTOGRAM_12_26_9_UP, BINARY_WILLIAMS_R_17_OVERBOUGHT, BINARY_ROC_2_UPTREND, BINARY_ROC_10_UPTREND, BINARY_ADX_8_DOWNTREND, BINARY_ADX_14_UPTREND, BINARY_BB_20_1_ABOVE, BINARY_BB_50_2_ABOVE, BINARY_OBV_EMA_5_DOWN, BINARY_MFI_7_OVERBOUGHT
REGN;MACD_HISTOGRAM_12_26_9, MACD_SIGNAL_7_18_9, ROC_14, ROC_COL_Open_10, ROC_COL_Low_10, ROC_COL_Low_12, BB_UPPER_20_1, BB_WIDTH_20_1, BB_LOWER_20_2, BB_SMA_20_3, UO_7_14_28, CHO_3_10, BINARY_RSI_10_OVERSOLD, BINARY_RSI_12_OVERBOUGHT, BINARY_WILLIAMS_R_10_OVERSOLD, BINARY_ATR_14_VOL_UP, BINARY_BB_30_2_BELOW, BINARY_OBV_EMA_5_DOWN, BINARY_CONNORS_RSI_3_2_25_OVERSOLD, BINARY_UO_7_14_28_UP, BINARY_UO_7_14_28_DOWN, BINARY_ADL_EMA_10_UP, BINARY_ADL_EMA_10_DOWN, BINARY_ADL_EMA_15_DOWN, BINARY_CHO_3_10_UP
KLAC;ROC_1, ROC_COL_High_5, PDI_9, MDI_12, BB_SMA_10_2, BB_UPPER_10_2, BB_SMA_20_1, BB_LOWER_20_2.5, BB_ZSCORE_20_2.5, OBV_EMA_5, OBV_EMA_10, BINARY_RSI_8_OVERBOUGHT, BINARY_RSI_10_OVERSOLD, BINARY_MACD_12_26_9_UP, BINARY_MACD_10_20_7_UP, BINARY_WILLIAMS_R_17_OVERSOLD, BINARY_ROC_3_UPTREND, BINARY_ADX_8_UPTREND, BINARY_ATR_10_VOL_UP, BINARY_BB_20_2.5_BELOW, BINARY_MFI_10_OVERSOLD, BINARY_ADL_EMA_10_UP, BINARY_ADL_EMA_12_UP, BINARY_CHO_3_10_UP, BINARY_TEMA_7_UPTREND
BKNG;WILLIAMS_R_17, ROC_2, ROC_COL_Open_1, ROC_COL_High_10, ROC_COL_Low_3, ROC_COL_Low_5, ROC_COL_Low_14, BB_SMA_10_1.5, BB_UPPER_20_1, BB_WIDTH_20_1, BB_WIDTH_20_2.5, BB_SMA_30_2, BB_ZSCORE_50_2, CONNORS_RSI_STREAK_2, ADL_EMA_15, TEMA_14, BINARY_CCI_14_OVERSOLD, BINARY_ADX_9_UPTREND, BINARY_ADX_9_DOWNTREND, BINARY_BB_10_1.5_BELOW, BINARY_OBV_EMA_5_UP, BINARY_OBV_EMA_10_UP, BINARY_UO_7_14_28_UP, BINARY_ADL_EMA_14_DOWN, BINARY_SAR_0.02_0.2_DOWN
AMD;MACD_12_26_9, MACD_HISTOGRAM_12_26_9, MACD_7_18_9, WILLIAMS_R_14, ROC_COL_High_14, ROC_COL_Low_7, BB_PERCENT_B_20_2.5, BB_SMA_30_2, BB_PERCENT_B_30_2, BB_UPPER_50_2, CONNORS_RSI_3_2_25, ADL_EMA_17, CHO_3_10, TEMA_7, BINARY_STOCH_14_3_3_K_ABOVE_D, BINARY_WILLIAMS_R_14_OVERSOLD, BINARY_CCI_14_OVERBOUGHT, BINARY_ROC_12_UPTREND, BINARY_ADX_14_UPTREND, BINARY_BB_10_1.5_ABOVE, BINARY_BB_20_2_BELOW, BINARY_OBV_EMA_5_UP, BINARY_ADL_EMA_10_UP, BINARY_ADL_EMA_20_DOWN, BINARY_TEMA_7_UPTREND
VRTX;MACD_HISTOGRAM_7_18_9, ROC_12, ROC_COL_High_7, ROC_COL_High_14, ROC_COL_Low_2, PDI_10, ADX_12, BB_UPPER_10_1.5, BB_WIDTH_10_2, BB_WIDTH_20_1, BB_UPPER_20_2, BB_UPPER_50_2, OBV, CHO_3_10, SAR_0.02_0.2, BINARY_RSI_10_OVERBOUGHT, BINARY_ADX_9_STRONG_TREND, BINARY_ADX_14_STRONG_TREND, BINARY_ATR_8_VOL_UP, BINARY_BB_30_2_BELOW, BINARY_OBV_EMA_10_UP, BINARY_ADL_EMA_12_UP, BINARY_ADL_EMA_12_DOWN, BINARY_ADL_EMA_15_UP, BINARY_ULCER_INDEX_14_DOWN
