Target;Stock;best_score_neg_rmse;best_rmse_pos;subsample;n_estimators;max_depth;learning_rate;colsample_bytree
TARGET_TREND_ANG_10_5;MSFT;-0.10645476868036068;0.10645476868036068;0.85;50;5;0.03;1.0
TARGET_TREND_ANG_10_5;AXP;-0.10662606721481709;0.10662606721481709;1.0;100;3;0.03;0.7
TARGET_TREND_ANG_10_5;SBUX;-0.11033848406867143;0.11033848406867143;0.7;200;6;0.01;0.7
TARGET_TREND_ANG_10_5;COST;-0.11046395502773625;0.11046395502773625;0.85;50;4;0.03;0.7
TARGET_TREND_ANG_10_5;ORCL;-0.11238000880083943;0.11238000880083943;1.0;200;6;0.01;1.0
TARGET_TREND_ANG_10_5;INTU;-0.11845851369326903;0.11845851369326903;0.85;250;3;0.01;1.0
TARGET_TREND_ANG_10_5;MAR;-0.12076587169262137;0.12076587169262137;0.85;50;5;0.1;0.7
TARGET_TREND_ANG_10_5;NKE;-0.12321814707608085;0.12321814707608085;0.7;50;5;0.05;0.85
TARGET_TREND_ANG_10_5;ADI;-0.12679698655628016;0.12679698655628016;0.7;250;5;0.03;0.85
TARGET_TREND_ANG_10_5;CDNS;-0.12818299631427812;0.12818299631427812;1.0;100;3;0.03;0.7
TARGET_TREND_ANG_10_5;AAPL;-0.12921465917542316;0.12921465917542316;0.7;250;6;0.03;1.0
TARGET_TREND_ANG_10_5;GILD;-0.13164710066404103;0.13164710066404103;1.0;250;4;0.03;1.0
TARGET_TREND_ANG_10_5;EBAY;-0.13232720155697333;0.13232720155697333;0.7;250;6;0.05;0.85
TARGET_TREND_ANG_10_5;BKNG;-0.1345804540918024;0.1345804540918024;0.7;250;3;0.1;0.7
TARGET_TREND_ANG_10_5;MS;-0.13629018063905654;0.13629018063905654;0.7;50;3;0.1;1.0
TARGET_TREND_ANG_10_5;AMZN;-0.13882082258837383;0.13882082258837383;0.7;100;5;0.05;0.85
TARGET_TREND_ANG_10_5;CAT;-0.13896862323719575;0.13896862323719575;1.0;50;4;0.1;0.85
TARGET_TREND_ANG_10_5;KLAC;-0.1449233490477449;0.1449233490477449;0.7;200;3;0.03;1.0
TARGET_TREND_ANG_10_5;REGN;-0.162347197118208;0.162347197118208;0.7;200;4;0.03;0.7
TARGET_TREND_ANG_10_5;VRTX;-0.16458167906362864;0.16458167906362864;0.7;200;3;0.03;1.0
TARGET_TREND_ANG_10_5;AMAT;-0.1646594728821261;0.1646594728821261;0.85;250;3;0.05;0.7
TARGET_TREND_ANG_10_5;LRCX;-0.1649599381504017;0.1649599381504017;0.7;150;5;0.03;0.85
TARGET_TREND_ANG_10_5;NVDA;-0.19285947093366806;0.19285947093366806;1.0;200;5;0.03;1.0
TARGET_TREND_ANG_10_5;MU;-0.20276811998380903;0.20276811998380903;0.7;200;4;0.03;0.7
TARGET_TREND_ANG_10_5;AMD;-0.2331809890160874;0.2331809890160874;1.0;150;3;0.1;1.0
