Stock;Features
MAR;STOCH_SIGNAL_14_3_3, ROC_COL_High_3, ROC_COL_High_7, ROC_COL_Low_7, ADX_8, PDI_8, ATR_12, BB_SMA_20_1, BB_PERCENT_B_20_1, BB_ZSCORE_20_2.5, BB_ZSCORE_50_2, ADL, ADL_EMA_15, ADL_EMA_17, CHO_5_20, BINARY_RSI_8_OVERBOUGHT, BINARY_RSI_12_OVERSOLD, BINARY_MACD_12_26_9_UP, BINARY_WILLIAMS_R_10_OVERBOUGHT, BINARY_CCI_15_OVERSOLD, BINARY_ADL_EMA_10_DOWN, BINARY_ADL_EMA_20_UP, BINARY_TEMA_10_UPTREND, BINARY_TEMA_12_UPTREND, BINARY_ULCER_INDEX_9_UP
CDNS;RSI_14, MACD_HISTOGRAM_12_26_9, WILLIAMS_R_14, ROC_2, ROC_3, ROC_COL_High_14, ROC_COL_Low_3, ROC_COL_Low_5, PDI_8, ADX_10, BB_UPPER_10_1.5, BB_WIDTH_20_1, BB_UPPER_50_2, OBV_EMA_5, ADL_EMA_14, CHO_5_20, BINARY_EMA_5_UPTREND, BINARY_MACD_SIGNAL_10_20_7_UP, BINARY_ROC_5_UPTREND, BINARY_ADX_8_DOWNTREND, BINARY_BB_20_2_ABOVE, BINARY_BB_50_2_ABOVE, BINARY_OBV_UP, BINARY_OBV_EMA_10_DOWN, BINARY_ULCER_INDEX_9_UP
CAT;ROC_COL_Open_1, ROC_COL_Open_5, ROC_COL_Low_1, PDI_14, BB_SMA_10_2, OBV_EMA_10, ADL_EMA_10, ADL_EMA_15, ULCER_INDEX_5, BINARY_RSI_8_OVERSOLD, BINARY_RSI_10_OVERBOUGHT, BINARY_RSI_12_OVERSOLD, BINARY_MACD_SIGNAL_7_18_9_UP, BINARY_WILLIAMS_R_10_OVERBOUGHT, BINARY_CCI_14_OVERBOUGHT, BINARY_CCI_15_OVERSOLD, BINARY_ADX_8_STRONG_TREND, BINARY_ADX_8_DOWNTREND, BINARY_ADX_14_UPTREND, BINARY_BB_10_1.5_BELOW, BINARY_UO_7_14_28_DOWN, BINARY_MFI_7_OVERBOUGHT, BINARY_MFI_7_OVERSOLD, BINARY_ADL_EMA_12_DOWN, BINARY_ULCER_INDEX_9_UP
INTU;MACD_HISTOGRAM_7_18_9, MACD_10_20_7, ROC_COL_Low_10, ATR_12, BB_WIDTH_10_1.5, BB_SMA_10_2, BB_WIDTH_10_2, BB_ZSCORE_20_2, BB_PERCENT_B_20_2.5, BB_ZSCORE_30_2, OBV_EMA_5, CONNORS_RSI_STREAK_2, ADL_EMA_14, CHO_5_20, BINARY_RSI_14_OVERSOLD, BINARY_MACD_SIGNAL_7_18_9_UP, BINARY_MACD_10_20_7_UP, BINARY_CCI_15_OVERBOUGHT, BINARY_ROC_12_UPTREND, BINARY_ADX_10_UPTREND, BINARY_ADX_14_STRONG_TREND, BINARY_ADL_EMA_12_DOWN, BINARY_ADL_EMA_15_UP, BINARY_ADL_EMA_20_DOWN, BINARY_TEMA_14_UPTREND
GILD;WILLIAMS_R_10, ROC_7, ROC_COL_Open_7, ROC_COL_Low_3, ROC_COL_Low_12, MDI_8, PDI_14, BB_UPPER_10_1.5, BB_PERCENT_B_20_1, BB_ZSCORE_20_2, BB_UPPER_20_2.5, BB_UPPER_50_2, BB_WIDTH_50_2, BB_UPPER_20_3, CONNORS_RSI_3_2_25, ADL_EMA_10, ADL_EMA_15, TEMA_12, ULCER_INDEX_5, BINARY_MACD_SIGNAL_10_20_7_UP, BINARY_BB_20_3_BELOW, BINARY_UO_7_14_28_UP, BINARY_ADL_EMA_14_UP, BINARY_ADL_EMA_17_UP, BINARY_TEMA_10_UPTREND
MU;CCI_15, ROC_COL_Open_1, ROC_COL_High_10, ROC_COL_Low_5, BB_UPPER_10_2, BB_ZSCORE_20_2.5, BB_LOWER_30_2, BB_UPPER_50_2, OBV_EMA_5, CONNORS_RSI_CLOSE_3, CHO_5_20, BINARY_RSI_12_OVERSOLD, BINARY_MACD_SIGNAL_12_26_9_UP, BINARY_CCI_9_OVERBOUGHT, BINARY_ROC_5_UPTREND, BINARY_ROC_14_UPTREND, BINARY_ADX_10_DOWNTREND, BINARY_ADX_12_STRONG_TREND, BINARY_BB_10_1.5_BELOW, BINARY_BB_20_1_ABOVE, BINARY_BB_20_2_ABOVE, BINARY_OBV_UP, BINARY_MFI_7_OVERSOLD, BINARY_ADL_EMA_12_DOWN, BINARY_CHO_3_10_UP
EBAY;CCI_12, ROC_COL_High_3, ROC_COL_Low_2, ROC_COL_Low_10, MDI_8, MDI_9, ATR_14, BB_WIDTH_10_1.5, BB_SMA_20_2, BB_LOWER_20_2, BB_UPPER_20_2.5, BB_ZSCORE_30_2, OBV_EMA_10, CONNORS_RSI_STREAK_2, MFI_14, BINARY_RSI_8_OVERBOUGHT, BINARY_RSI_12_OVERBOUGHT, BINARY_MACD_HISTOGRAM_10_20_7_UP, BINARY_ROC_5_UPTREND, BINARY_ADX_12_DOWNTREND, BINARY_OBV_EMA_10_UP, BINARY_MFI_7_OVERBOUGHT, BINARY_ADL_EMA_10_DOWN, BINARY_TEMA_14_UPTREND, BINARY_ULCER_INDEX_5_DOWN
AXP;RSI_10, ROC_COL_Open_2, ROC_COL_Low_1, ADX_9, MDI_10, ADX_14, PDI_14, MDI_14, BB_WIDTH_10_2, ULCER_INDEX_5, BINARY_EMA_7_UPTREND, BINARY_WILLIAMS_R_10_OVERSOLD, BINARY_WILLIAMS_R_14_OVERBOUGHT, BINARY_CCI_12_OVERSOLD, BINARY_ROC_2_UPTREND, BINARY_ADX_12_UPTREND, BINARY_ADX_14_UPTREND, BINARY_ATR_10_VOL_UP, BINARY_BB_10_1.5_BELOW, BINARY_BB_10_2_ABOVE, BINARY_BB_20_2_ABOVE, BINARY_MFI_10_OVERSOLD, BINARY_ADL_EMA_14_DOWN, BINARY_ADL_EMA_17_DOWN, BINARY_ULCER_INDEX_5_UP
AMAT;MACD_HISTOGRAM_12_26_9, WILLIAMS_R_10, ROC_2, ROC_COL_Open_1, ROC_COL_High_12, ROC_COL_Low_2, BB_WIDTH_10_2, BB_UPPER_20_1, BB_ZSCORE_20_2, BB_WIDTH_20_2.5, BB_SMA_20_3, MFI_10, ADL_EMA_20, SAR_0.02_0.2, BINARY_RSI_14_OVERBOUGHT, BINARY_WILLIAMS_R_10_OVERSOLD, BINARY_CCI_9_OVERBOUGHT, BINARY_ROC_3_UPTREND, BINARY_ROC_14_UPTREND, BINARY_ATR_12_VOL_UP, BINARY_BB_30_2_ABOVE, BINARY_MFI_7_OVERBOUGHT, BINARY_ADL_EMA_14_UP, BINARY_TEMA_12_UPTREND, BINARY_ULCER_INDEX_5_UP
COST;STOCH_K_14_3_3, STOCH_D_14_3_3, WILLIAMS_R_10, WILLIAMS_R_17, ROC_COL_Open_3, ROC_COL_Open_5, ROC_COL_Low_7, PDI_8, ADX_12, BB_PERCENT_B_10_1.5, BB_WIDTH_10_1.5, BB_LOWER_10_2, BB_PERCENT_B_20_2, BB_WIDTH_20_2.5, ADL_EMA_12, CHO_5_20, ULCER_INDEX_14, BINARY_RSI_14_OVERBOUGHT, BINARY_MACD_7_18_9_UP, BINARY_WILLIAMS_R_10_OVERBOUGHT, BINARY_BB_30_2_BELOW, BINARY_OBV_EMA_5_DOWN, BINARY_CONNORS_RSI_3_2_25_OVERBOUGHT, BINARY_ADL_EMA_14_UP, BINARY_ADL_EMA_14_DOWN
MSFT;MACD_HISTOGRAM_10_20_7, CCI_14, ROC_3, ROC_7, ROC_10, ROC_COL_High_3, ROC_COL_High_5, MDI_8, BB_LOWER_20_1, BB_PERCENT_B_20_1, BB_UPPER_20_2, ADL_EMA_20, TEMA_14, BINARY_RSI_10_OVERBOUGHT, BINARY_MACD_HISTOGRAM_12_26_9_UP, BINARY_CCI_9_OVERBOUGHT, BINARY_ROC_3_UPTREND, BINARY_ADX_10_UPTREND, BINARY_BB_10_1.5_BELOW, BINARY_OBV_EMA_5_UP, BINARY_OBV_EMA_5_DOWN, BINARY_CONNORS_RSI_3_2_25_OVERBOUGHT, BINARY_MFI_10_OVERSOLD, BINARY_ADL_EMA_12_DOWN, BINARY_ADL_EMA_14_UP
ORCL;ROC_3, ROC_7, ROC_COL_Open_12, ROC_COL_High_10, ATR_10, BB_WIDTH_10_1.5, BB_UPPER_20_2.5, BB_PERCENT_B_20_2.5, BB_SMA_30_2, BB_SMA_50_2, BB_UPPER_50_2, BB_ZSCORE_50_2, BB_PERCENT_B_20_3, BINARY_MACD_12_26_9_UP, BINARY_MACD_HISTOGRAM_12_26_9_UP, BINARY_WILLIAMS_R_14_OVERBOUGHT, BINARY_CCI_9_OVERBOUGHT, BINARY_CCI_12_OVERBOUGHT, BINARY_CCI_12_OVERSOLD, BINARY_ADX_12_UPTREND, BINARY_BB_30_2_ABOVE, BINARY_UO_7_14_28_UP, BINARY_ADL_EMA_10_UP, BINARY_ADL_EMA_12_DOWN, BINARY_CHO_5_20_UP
ADI;MACD_HISTOGRAM_12_26_9, STOCH_SIGNAL_14_3_3, WILLIAMS_R_10, ADX_14, ATR_14, BB_PERCENT_B_10_2, BB_LOWER_20_1, BB_WIDTH_20_1, OBV, TEMA_12, BINARY_EMA_14_UPTREND, BINARY_RSI_12_OVERSOLD, BINARY_MACD_SIGNAL_12_26_9_UP, BINARY_MACD_HISTOGRAM_12_26_9_UP, BINARY_MACD_10_20_7_UP, BINARY_WILLIAMS_R_17_OVERBOUGHT, BINARY_CCI_12_OVERBOUGHT, BINARY_ROC_5_UPTREND, BINARY_ADX_10_UPTREND, BINARY_ATR_12_VOL_UP, BINARY_BB_20_2_ABOVE, BINARY_BB_20_2.5_ABOVE, BINARY_BB_20_3_BELOW, BINARY_OBV_UP, BINARY_CONNORS_RSI_3_2_25_OVERBOUGHT
MS;MACD_SIGNAL_12_26_9, MACD_HISTOGRAM_12_26_9, ROC_COL_High_10, ADX_12, MDI_14, ATR_12, BB_ZSCORE_10_2, BB_UPPER_30_2, OBV, CONNORS_RSI_CLOSE_3, ADL_EMA_17, CHO_3_10, BINARY_RSI_10_OVERBOUGHT, BINARY_WILLIAMS_R_14_OVERBOUGHT, BINARY_CCI_9_OVERSOLD, BINARY_ROC_14_UPTREND, BINARY_ADX_8_UPTREND, BINARY_ADX_8_DOWNTREND, BINARY_ADX_9_DOWNTREND, BINARY_BB_50_2_ABOVE, BINARY_BB_20_3_BELOW, BINARY_OBV_EMA_5_DOWN, BINARY_UO_7_14_28_UP, BINARY_MFI_10_OVERSOLD, BINARY_SAR_0.02_0.2_DOWN
NKE;RSI_8, ROC_COL_Open_1, ROC_COL_Open_3, ROC_COL_Open_12, ROC_COL_High_2, ROC_COL_Low_7, PDI_12, BB_LOWER_10_2, BB_ZSCORE_20_1, BB_PERCENT_B_20_2, BB_PERCENT_B_20_2.5, BB_LOWER_30_2, BB_ZSCORE_30_2, ADL_EMA_15, CHO_5_20, TEMA_12, TEMA_14, BINARY_MACD_SIGNAL_7_18_9_UP, BINARY_MACD_10_20_7_UP, BINARY_WILLIAMS_R_10_OVERSOLD, BINARY_BB_20_2_ABOVE, BINARY_BB_30_2_BELOW, BINARY_OBV_UP, BINARY_UO_7_14_28_UP, BINARY_SAR_0.02_0.2_DOWN
