Stock;Features
NVDA;WILLIAMS_R_14, ROC_1, ROC_2, ROC_COL_Open_3, ROC_COL_High_5, ADX_10, ATR_14, BB_LOWER_20_2, BB_SMA_20_2.5, BB_LOWER_20_2.5, BB_ZSCORE_30_2, BB_ZSCORE_50_2, ADL_EMA_20, BINARY_EMA_10_UPTREND, BINARY_RSI_14_OVERBOUGHT, BINARY_STOCH_14_3_3_K_ABOVE_D, BINARY_WILLIAMS_R_14_OVERSOLD, BINARY_ADX_12_UPTREND, BINARY_ATR_12_VOL_UP, BINARY_BB_30_2_ABOVE, BINARY_BB_50_2_BELOW, BINARY_UO_7_14_28_DOWN, BINARY_ADL_EMA_10_DOWN, BINARY_ADL_EMA_15_DOWN, BINARY_SAR_0.02_0.2_UP
AAPL;MACD_12_26_9, STOCH_D_14_3_3, CCI_9, ROC_COL_Open_14, MDI_9, BB_SMA_10_1.5, BB_UPPER_10_1.5, BB_ZSCORE_10_1.5, BB_ZSCORE_10_2, BB_LOWER_20_1, BB_ZSCORE_50_2, BB_ZSCORE_20_3, ADL_EMA_17, TEMA_12, ULCER_INDEX_5, ULCER_INDEX_14, BINARY_EMA_10_UPTREND, BINARY_RSI_8_OVERBOUGHT, BINARY_MACD_SIGNAL_12_26_9_UP, BINARY_WILLIAMS_R_14_OVERBOUGHT, BINARY_ROC_3_UPTREND, BINARY_ROC_12_UPTREND, BINARY_ADX_8_UPTREND, BINARY_ATR_8_VOL_UP, BINARY_BB_20_2.5_BELOW
AMZN;ROC_12, ROC_COL_Open_1, ADX_9, ADX_12, BB_UPPER_10_2, BB_LOWER_20_1, BB_ZSCORE_20_1, BB_SMA_50_2, BB_UPPER_50_2, BB_ZSCORE_50_2, OBV_EMA_5, CHO_3_10, TEMA_12, BINARY_CCI_9_OVERSOLD, BINARY_ADX_10_UPTREND, BINARY_ADX_12_DOWNTREND, BINARY_BB_10_1.5_BELOW, BINARY_BB_20_1_ABOVE, BINARY_OBV_EMA_10_DOWN, BINARY_MFI_7_OVERSOLD, BINARY_ADL_UP, BINARY_TEMA_12_UPTREND, BINARY_TEMA_14_UPTREND, BINARY_ULCER_INDEX_5_UP, BINARY_ULCER_INDEX_9_DOWN
LRCX;MACD_7_18_9, CCI_9, ROC_10, ROC_COL_High_12, ROC_COL_Low_5, ROC_COL_Low_14, ADX_9, ADX_14, MDI_14, BB_SMA_10_2, BB_PERCENT_B_20_1, UO_7_14_28, ADL_EMA_15, TEMA_10, ULCER_INDEX_14, BINARY_EMA_12_UPTREND, BINARY_MACD_7_18_9_UP, BINARY_MACD_SIGNAL_7_18_9_UP, BINARY_MACD_10_20_7_UP, BINARY_ADX_8_STRONG_TREND, BINARY_ATR_8_VOL_UP, BINARY_OBV_EMA_5_UP, BINARY_ADL_EMA_15_UP, BINARY_ULCER_INDEX_9_UP, BINARY_ULCER_INDEX_14_UP
SBUX;CCI_14, ROC_5, ROC_COL_Low_2, ROC_COL_Low_7, ROC_COL_Low_10, ROC_COL_Low_14, PDI_10, MDI_12, BB_PERCENT_B_20_1, BB_PERCENT_B_20_2.5, BB_ZSCORE_20_2.5, BB_PERCENT_B_30_2, ADL_EMA_10, ADL_EMA_20, CHO_5_20, ULCER_INDEX_5, ULCER_INDEX_9, BINARY_MACD_SIGNAL_10_20_7_UP, BINARY_WILLIAMS_R_10_OVERSOLD, BINARY_ADX_9_DOWNTREND, BINARY_ATR_10_VOL_UP, BINARY_BB_20_1_ABOVE, BINARY_BB_30_2_ABOVE, BINARY_MFI_10_OVERBOUGHT, BINARY_MFI_10_OVERSOLD
REGN;WILLIAMS_R_10, ROC_10, ROC_14, ROC_COL_High_14, ATR_12, BB_WIDTH_10_1.5, BB_ZSCORE_10_2, BB_PERCENT_B_20_1, BB_LOWER_20_2.5, BB_LOWER_30_2, BB_SMA_50_2, BB_PERCENT_B_50_2, BINARY_RSI_14_OVERBOUGHT, BINARY_MACD_HISTOGRAM_10_20_7_UP, BINARY_WILLIAMS_R_10_OVERSOLD, BINARY_WILLIAMS_R_14_OVERSOLD, BINARY_CCI_12_OVERSOLD, BINARY_ROC_3_UPTREND, BINARY_ROC_7_UPTREND, BINARY_ADX_8_UPTREND, BINARY_ADX_9_DOWNTREND, BINARY_BB_20_1_ABOVE, BINARY_MFI_7_OVERBOUGHT, BINARY_MFI_10_OVERBOUGHT, BINARY_MFI_14_OVERBOUGHT
KLAC;CCI_9, ROC_COL_Open_7, ROC_COL_Open_14, ROC_COL_High_3, PDI_8, BB_ZSCORE_10_1.5, BB_WIDTH_10_1.5, BB_SMA_20_1, BB_LOWER_50_2, ADL, BINARY_RSI_8_OVERBOUGHT, BINARY_RSI_12_OVERSOLD, BINARY_MACD_10_20_7_UP, BINARY_CCI_9_OVERBOUGHT, BINARY_CCI_15_OVERSOLD, BINARY_ROC_2_UPTREND, BINARY_ADX_8_DOWNTREND, BINARY_ADX_10_DOWNTREND, BINARY_ADX_14_DOWNTREND, BINARY_MFI_14_OVERBOUGHT, BINARY_MFI_14_OVERSOLD, BINARY_ADL_EMA_14_UP, BINARY_CHO_5_20_UP, BINARY_ULCER_INDEX_5_DOWN, BINARY_ULCER_INDEX_9_UP
BKNG;RSI_12, CCI_20, ROC_COL_Low_2, ROC_COL_Low_3, ROC_COL_Low_12, ADX_10, PDI_10, BB_SMA_10_2, BB_UPPER_20_3, CONNORS_RSI_3_2_25, MFI_10, ADL, ADL_EMA_12, BINARY_RSI_12_OVERBOUGHT, BINARY_RSI_12_OVERSOLD, BINARY_MACD_7_18_9_UP, BINARY_MACD_SIGNAL_7_18_9_UP, BINARY_ROC_3_UPTREND, BINARY_ROC_14_UPTREND, BINARY_ADX_8_STRONG_TREND, BINARY_BB_20_2.5_ABOVE, BINARY_BB_30_2_ABOVE, BINARY_OBV_EMA_10_DOWN, BINARY_MFI_7_OVERBOUGHT, BINARY_ADL_EMA_20_UP
AMD;MACD_HISTOGRAM_10_20_7, CCI_12, CCI_15, ROC_COL_Open_2, ROC_COL_Low_7, ROC_COL_Low_12, ADX_10, ATR_8, BB_PERCENT_B_20_3, ADL, ADL_EMA_12, CHO_5_20, ULCER_INDEX_9, BINARY_MACD_SIGNAL_12_26_9_UP, BINARY_MACD_HISTOGRAM_12_26_9_UP, BINARY_WILLIAMS_R_10_OVERSOLD, BINARY_CCI_14_OVERBOUGHT, BINARY_CCI_15_OVERBOUGHT, BINARY_ADX_14_UPTREND, BINARY_BB_10_2_ABOVE, BINARY_MFI_10_OVERSOLD, BINARY_ADL_EMA_12_DOWN, BINARY_ADL_EMA_20_DOWN, BINARY_ULCER_INDEX_5_DOWN, BINARY_ULCER_INDEX_9_DOWN
VRTX;MACD_SIGNAL_7_18_9, MACD_SIGNAL_10_20_7, CCI_20, ROC_5, ROC_COL_Open_2, ROC_COL_Open_7, ROC_COL_Open_10, ROC_COL_Open_12, ROC_COL_Low_1, ROC_COL_Low_14, ADX_10, ATR_8, BB_SMA_10_2, BB_LOWER_20_1, MFI_14, BINARY_MACD_SIGNAL_12_26_9_UP, BINARY_WILLIAMS_R_14_OVERBOUGHT, BINARY_ADX_9_UPTREND, BINARY_ATR_8_VOL_UP, BINARY_BB_20_2_ABOVE, BINARY_BB_20_3_BELOW, BINARY_OBV_EMA_10_UP, BINARY_UO_7_14_28_UP, BINARY_ADL_EMA_20_UP, BINARY_ULCER_INDEX_5_UP
