Generacion,Score,R2,RMSE,MAE,MSE,Features_activas
1,0.20081207039825885,0.02701711665045048,0.20081207039825885,0.16900436614876474,0.04032548761763527,25
2,0.20081207039825885,0.02701711665045048,0.20081207039825885,0.16900436614876474,0.04032548761763527,25
3,0.20081207039825885,0.02701711665045048,0.20081207039825885,0.16900436614876474,0.04032548761763527,25
4,0.20081207039825885,0.02701711665045048,0.20081207039825885,0.16900436614876474,0.04032548761763527,25
5,0.20081207039825885,0.02701711665045048,0.20081207039825885,0.16900436614876474,0.04032548761763527,25
6,0.20081207039825885,0.02701711665045048,0.20081207039825885,0.16900436614876474,0.04032548761763527,25
7,0.20081207039825885,0.02701711665045048,0.20081207039825885,0.16900436614876474,0.04032548761763527,25
8,0.20081207039825885,0.02701711665045048,0.20081207039825885,0.16900436614876474,0.04032548761763527,25
9,0.1990684667500049,0.043840122987307106,0.1990684667500049,0.16615619329133993,0.0396282544541978,25
10,0.1990684667500049,0.043840122987307106,0.1990684667500049,0.16615619329133993,0.0396282544541978,25
11,0.1990684667500049,0.043840122987307106,0.1990684667500049,0.16615619329133993,0.0396282544541978,25
12,0.1990684667500049,0.043840122987307106,0.1990684667500049,0.16615619329133993,0.0396282544541978,25
13,0.1990684667500049,0.043840122987307106,0.1990684667500049,0.16615619329133993,0.0396282544541978,25
14,0.1990684667500049,0.043840122987307106,0.1990684667500049,0.16615619329133993,0.0396282544541978,25
15,0.1990684667500049,0.043840122987307106,0.1990684667500049,0.16615619329133993,0.0396282544541978,25
16,0.1990684667500049,0.043840122987307106,0.1990684667500049,0.16615619329133993,0.0396282544541978,25
17,0.1990684667500049,0.043840122987307106,0.1990684667500049,0.16615619329133993,0.0396282544541978,25
18,0.1990684667500049,0.043840122987307106,0.1990684667500049,0.16615619329133993,0.0396282544541978,25
19,0.1990684667500049,0.043840122987307106,0.1990684667500049,0.16615619329133993,0.0396282544541978,25
20,0.1990684667500049,0.043840122987307106,0.1990684667500049,0.16615619329133993,0.0396282544541978,25
