Target;Stock;best_score_neg_rmse;best_rmse_pos;subsample;n_estimators;max_depth;learning_rate;colsample_bytree
TARGET_TREND_ANG_5_8;AXP;-0.17438346861052745;0.17438346861052745;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_5_8;SBUX;-0.17761885954643994;0.17761885954643994;1.0;200;4;0.1;1.0
TARGET_TREND_ANG_5_8;COST;-0.1780941390930133;0.1780941390930133;0.85;50;5;0.01;0.7
TARGET_TREND_ANG_5_8;MSFT;-0.17852273023613216;0.17852273023613216;1.0;50;6;0.01;1.0
TARGET_TREND_ANG_5_8;ORCL;-0.17977141718122971;0.17977141718122971;0.7;50;3;0.05;0.7
TARGET_TREND_ANG_5_8;INTU;-0.1924318449352436;0.1924318449352436;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_5_8;CDNS;-0.1999975367996468;0.1999975367996468;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_5_8;NKE;-0.20003116622664455;0.20003116622664455;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_5_8;MAR;-0.20005874764375298;0.20005874764375298;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_5_8;EBAY;-0.20513721059369514;0.20513721059369514;0.85;200;3;0.1;0.85
TARGET_TREND_ANG_5_8;AAPL;-0.20586420769875624;0.20586420769875624;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_5_8;GILD;-0.20740530287955786;0.20740530287955786;0.7;250;4;0.05;1.0
TARGET_TREND_ANG_5_8;ADI;-0.2080106712643728;0.2080106712643728;0.7;150;6;0.05;1.0
TARGET_TREND_ANG_5_8;BKNG;-0.20813959556117492;0.20813959556117492;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_5_8;MS;-0.21918349505100687;0.21918349505100687;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_5_8;AMZN;-0.22220858529340096;0.22220858529340096;1.0;250;5;0.03;0.85
TARGET_TREND_ANG_5_8;CAT;-0.22522487196524535;0.22522487196524535;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_5_8;KLAC;-0.22595114934214786;0.22595114934214786;0.85;50;5;0.01;0.7
TARGET_TREND_ANG_5_8;VRTX;-0.2444388627884159;0.2444388627884159;0.85;100;6;0.03;0.7
TARGET_TREND_ANG_5_8;REGN;-0.24857604414060508;0.24857604414060508;1.0;250;3;0.01;0.85
TARGET_TREND_ANG_5_8;AMAT;-0.2506329829241873;0.2506329829241873;1.0;50;6;0.01;1.0
TARGET_TREND_ANG_5_8;LRCX;-0.2534111572285374;0.2534111572285374;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_5_8;NVDA;-0.2812501247895171;0.2812501247895171;0.85;50;5;0.01;0.7
TARGET_TREND_ANG_5_8;MU;-0.2998162789237852;0.2998162789237852;1.0;200;3;0.05;0.7
TARGET_TREND_ANG_5_8;AMD;-0.3294673563197464;0.3294673563197464;1.0;50;3;0.01;0.7
