,0
ROC_COL_Open_1,0.00093183777
ADX_12,0.0009293387
ADL_EMA_20,0.00092563574
BINARY_STOCH_14_3_3_K_ABOVE_D,0.0009194794
BINARY_UO_7_14_28_UP,0.0009180399
MACD_HISTOGRAM_12_26_9,0.0009176829
BINARY_MFI_10_OVERBOUGHT,0.0009170752
BINARY_RSI_10_OVERBOUGHT,0.0009112378
BINARY_OBV_EMA_10_UP,0.0009096499
PDI_10,0.00090964464
ROC_COL_High_2,0.00090765895
MACD_SIGNAL_12_26_9,0.00089968013
MACD_SIGNAL_10_20_7,0.0008960992
MACD_SIGNAL_7_18_9,0.00089116563
ADL,0.0008898696
CCI_15,0.00088389387
BB_UPPER_10_1.5,0.00088148064
ROC_COL_Open_14,0.0008713544
ROC_COL_Low_3,0.0008686251
OBV_EMA_5,0.0008685059
ROC_COL_High_12,0.00086643465
ATR_10,0.0008658922
ROC_COL_Open_2,0.0008548595
BINARY_WILLIAMS_R_17_OVERSOLD,0.0008527967
CHO_3_10,0.0008460136
BINARY_BB_30_2_ABOVE,0.0008400114
BINARY_RSI_12_OVERSOLD,0.0008342798
BINARY_MACD_7_18_9_UP,0.0008333237
ROC_COL_Low_14,0.00083248195
BINARY_MFI_7_OVERSOLD,0.0008314053
BINARY_MACD_SIGNAL_10_20_7_UP,0.0008286981
BB_PERCENT_B_20_1,0.0008267026
BINARY_ULCER_INDEX_14_UP,0.0008265822
ROC_COL_Open_10,0.0008255833
BINARY_ULCER_INDEX_5_DOWN,0.00082478055
ADX_14,0.0008227122
BINARY_ATR_8_VOL_UP,0.00082061475
BINARY_MFI_10_OVERSOLD,0.0008196492
MFI_14,0.000813807
PDI_9,0.0008081356
ROC_1,0.00080729055
ROC_14,0.0008071756
ROC_2,0.000805816
BINARY_ADX_8_UPTREND,0.0008015819
BINARY_ATR_12_VOL_UP,0.00080100336
BINARY_ADX_12_STRONG_TREND,0.0007998203
CCI_14,0.0007924518
BINARY_ADL_EMA_15_UP,0.0007850352
ROC_COL_Open_3,0.0007817109
ROC_COL_Low_2,0.00078055565
CCI_9,0.0007775428
BINARY_ADL_UP,0.00077334646
MFI_10,0.00077163556
MACD_7_18_9,0.00076989655
BINARY_RSI_8_OVERBOUGHT,0.00076605927
PDI_14,0.00075708906
BB_PERCENT_B_50_2,0.0007563665
BINARY_BB_20_1_BELOW,0.0007517717
BINARY_TEMA_10_UPTREND,0.0007509128
MFI_7,0.00074994337
BINARY_BB_30_2_BELOW,0.0007489999
BINARY_ATR_14_VOL_UP,0.0007453295
BINARY_ADX_9_UPTREND,0.0007402487
STOCH_D_14_3_3,0.0007154681
CONNORS_RSI_STREAK_2,0.0007106268
ROC_12,0.0007105063
UO_7_14_28,0.0007085147
BINARY_TEMA_14_UPTREND,0.0007051713
BINARY_OBV_EMA_5_UP,0.000700479
RSI_14,0.00067535165
BINARY_CCI_9_OVERBOUGHT,0.00067432085
OBV,0.00067247404
BINARY_BB_10_1.5_BELOW,0.00065885857
BB_PERCENT_B_20_2,0.00065447815
MACD_12_26_9,0.0006522614
ROC_COL_High_1,0.0006425806
ROC_COL_Open_5,0.0006400066
BINARY_ADL_EMA_12_UP,0.00062350195
ROC_COL_Low_1,0.00061469775
CONNORS_PERCENT_RANK_25,0.00060969044
BINARY_RSI_12_OVERBOUGHT,0.0006081344
ROC_COL_High_10,0.0005891113
BINARY_ADL_EMA_17_UP,0.0005884879
BINARY_ULCER_INDEX_5_UP,0.000583457
BINARY_TEMA_7_UPTREND,0.00057670305
PDI_8,0.00057613075
CONNORS_RSI_3_2_25,0.0005667783
ROC_COL_Open_12,0.00056634995
STOCH_K_14_3_3,0.0005475949
RSI_12,0.0005204979
WILLIAMS_R_14,0.0005018709
BINARY_ROC_1_UPTREND,0.00049110566
BINARY_CCI_9_OVERSOLD,0.00048491958
RSI_10,0.00048161222
BINARY_BB_20_1_ABOVE,0.0004785893
WILLIAMS_R_17,0.0004716656
BB_ZSCORE_50_2,0.000433798
CCI_20,0.00041749942
BB_ZSCORE_10_1.5,0.00035735517
BINARY_ADX_10_UPTREND,0.00032934145
BB_PERCENT_B_20_2.5,0.00025278522
BB_ZSCORE_30_2,0.00016038869
BB_PERCENT_B_20_3,0.0001345086
BINARY_ADL_EMA_12_DOWN,0.0
BINARY_ADL_EMA_10_DOWN,0.0
BINARY_OBV_EMA_5_DOWN,0.0
BINARY_OBV_UP,0.0
BINARY_OBV_EMA_10_DOWN,0.0
STOCH_SIGNAL_14_3_3,0.0
BINARY_ADL_EMA_15_DOWN,0.0
BINARY_ADL_EMA_14_DOWN,0.0
BINARY_ADL_EMA_17_DOWN,0.0
BINARY_UO_7_14_28_DOWN,0.0
BB_SMA_20_3,0.0
BB_ZSCORE_20_2.5,0.0
BB_SMA_20_2.5,0.0
BB_SMA_20_2,0.0
BB_ZSCORE_10_2,0.0
BB_SMA_10_2,0.0
BB_ZSCORE_20_3,0.0
BB_ZSCORE_20_1,0.0
BB_ZSCORE_20_2,0.0
BINARY_ADX_8_DOWNTREND,0.0
BINARY_ADX_9_DOWNTREND,0.0
BINARY_ADX_14_DOWNTREND,0.0
BINARY_ADX_12_DOWNTREND,0.0
BINARY_ADX_10_DOWNTREND,0.0
BINARY_ADL_EMA_20_DOWN,0.0
BINARY_SAR_0.02_0.2_DOWN,0.0
