Capital_inicial;Capital_final;Capital_ganado;ROI_%;Max_Drawdown;Max_Drawdown_%;DD_Peak_Date;DD_Trough_Date;DD_Recovery_Date;%Ganadores_excl0;%Ganadores_todos;Expectancy;Payoff;CAGR_%;Trades;Symbols_cubiertos;Arquitectura
250000.0;653224.32;403224.32;161.29;100211.53;14.38;2024-07-10;2024-08-07;;61.45;61.4;75.44;0.78;21.3;5345;22;128
250000.0;490845.67;240845.67;96.34;38651.07;9.78;2022-08-15;2022-10-11;2023-02-14;62.1;62.06;56.94;0.76;14.52;4230;25;128_64
250000.0;381923.55;131923.55;52.77;27684.34;8.44;2022-08-15;2022-10-11;2023-03-31;61.42;61.36;42.99;0.75;8.89;3069;22;32
250000.0;546547.25;296547.25;118.62;73130.24;12.42;2024-07-10;2024-08-05;;60.88;60.84;51.21;0.76;17.03;5791;24;64
250000.0;543946.19;293946.19;117.58;52355.47;9.5;2024-07-16;2024-08-07;2024-11-11;61.77;61.73;60.81;0.77;16.91;4834;22;64_32
