Target;Stock;best_score_neg_rmse;best_rmse_pos;subsample;n_estimators;max_depth;learning_rate;colsample_bytree
TARGET_TREND_ANG_15_5;AXP;-0.06335158646502871;0.06335158646502871;0.7;200;6;0.01;0.7
TARGET_TREND_ANG_15_5;MSFT;-0.06388247996405917;0.06388247996405917;0.85;150;6;0.01;0.85
TARGET_TREND_ANG_15_5;SBUX;-0.0656722366523866;0.0656722366523866;0.7;50;5;0.05;0.85
TARGET_TREND_ANG_15_5;ORCL;-0.06606229570151016;0.06606229570151016;1.0;200;6;0.01;1.0
TARGET_TREND_ANG_15_5;COST;-0.06663655021329369;0.06663655021329369;1.0;200;6;0.01;1.0
TARGET_TREND_ANG_15_5;MAR;-0.06966666924898539;0.06966666924898539;1.0;200;5;0.03;0.7
TARGET_TREND_ANG_15_5;INTU;-0.06999606761524908;0.06999606761524908;1.0;200;6;0.01;1.0
TARGET_TREND_ANG_15_5;NKE;-0.0724459999609021;0.0724459999609021;1.0;250;6;0.01;0.85
TARGET_TREND_ANG_15_5;ADI;-0.07280654916638866;0.07280654916638866;0.7;250;3;0.1;0.7
TARGET_TREND_ANG_15_5;AAPL;-0.07395495071861774;0.07395495071861774;0.7;150;5;0.05;1.0
TARGET_TREND_ANG_15_5;EBAY;-0.07485290119613804;0.07485290119613804;0.85;100;6;0.03;0.7
TARGET_TREND_ANG_15_5;CDNS;-0.07644514317360168;0.07644514317360168;1.0;100;3;0.03;0.7
TARGET_TREND_ANG_15_5;GILD;-0.07745546226052209;0.07745546226052209;0.7;250;5;0.01;1.0
TARGET_TREND_ANG_15_5;MS;-0.0776482973036568;0.0776482973036568;0.7;250;3;0.1;0.7
TARGET_TREND_ANG_15_5;BKNG;-0.07955272971354573;0.07955272971354573;0.85;250;4;0.03;0.85
TARGET_TREND_ANG_15_5;AMZN;-0.08028123814050743;0.08028123814050743;0.7;150;6;0.03;1.0
TARGET_TREND_ANG_15_5;CAT;-0.08106304368096942;0.08106304368096942;1.0;250;5;0.03;0.85
TARGET_TREND_ANG_15_5;KLAC;-0.08663945164202702;0.08663945164202702;1.0;150;4;0.03;0.85
TARGET_TREND_ANG_15_5;REGN;-0.09656599647005505;0.09656599647005505;0.7;200;6;0.05;0.7
TARGET_TREND_ANG_15_5;VRTX;-0.09892966152105433;0.09892966152105433;0.7;250;6;0.03;1.0
TARGET_TREND_ANG_15_5;AMAT;-0.10037519255003469;0.10037519255003469;1.0;200;5;0.03;1.0
TARGET_TREND_ANG_15_5;LRCX;-0.10194580584095532;0.10194580584095532;0.7;250;4;0.05;1.0
TARGET_TREND_ANG_15_5;NVDA;-0.1206553891171565;0.1206553891171565;1.0;200;4;0.1;0.85
TARGET_TREND_ANG_15_5;MU;-0.12765109244269238;0.12765109244269238;0.85;200;3;0.1;0.85
TARGET_TREND_ANG_15_5;AMD;-0.15668451758197444;0.15668451758197444;1.0;250;5;0.03;0.85
