Target;Stock;best_score_neg_rmse;best_rmse_pos;subsample;n_estimators;max_depth;learning_rate;colsample_bytree
TARGET_TREND_ANG_15_15;MSFT;-0.1006591199388307;0.1006591199388307;1.0;50;6;0.01;1.0
TARGET_TREND_ANG_15_15;AXP;-0.11003728220423657;0.11003728220423657;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_15_15;SBUX;-0.11748393439389809;0.11748393439389809;0.85;100;6;0.01;0.7
TARGET_TREND_ANG_15_15;COST;-0.1187995172314386;0.1187995172314386;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_15_15;ORCL;-0.11953611360764806;0.11953611360764806;1.0;150;4;0.01;1.0
TARGET_TREND_ANG_15_15;INTU;-0.1215680734657862;0.1215680734657862;0.85;50;5;0.01;0.7
TARGET_TREND_ANG_15_15;NKE;-0.1262895325035588;0.1262895325035588;0.85;50;5;0.01;0.7
TARGET_TREND_ANG_15_15;ADI;-0.1325769925087969;0.1325769925087969;0.85;150;5;0.1;0.85
TARGET_TREND_ANG_15_15;MAR;-0.1340918121804746;0.1340918121804746;1.0;50;6;0.01;1.0
TARGET_TREND_ANG_15_15;GILD;-0.13741707679708373;0.13741707679708373;1.0;100;3;0.03;0.7
TARGET_TREND_ANG_15_15;CDNS;-0.1389461241884017;0.1389461241884017;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_15_15;EBAY;-0.14045088185130303;0.14045088185130303;0.7;50;3;0.03;0.85
TARGET_TREND_ANG_15_15;BKNG;-0.14144212303737577;0.14144212303737577;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_15_15;MS;-0.14611618300727455;0.14611618300727455;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_15_15;AAPL;-0.14669101908735419;0.14669101908735419;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_15_15;CAT;-0.1482462737322826;0.1482462737322826;0.85;250;3;0.05;0.7
TARGET_TREND_ANG_15_15;AMZN;-0.1483168913421065;0.1483168913421065;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_15_15;KLAC;-0.1602446276804151;0.1602446276804151;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_15_15;VRTX;-0.17515303385677575;0.17515303385677575;0.85;50;5;0.01;0.7
TARGET_TREND_ANG_15_15;REGN;-0.17522993244825846;0.17522993244825846;0.85;200;3;0.01;0.7
TARGET_TREND_ANG_15_15;LRCX;-0.18243169698241923;0.18243169698241923;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_15_15;AMAT;-0.18383400476809375;0.18383400476809375;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_15_15;NVDA;-0.2154895818789171;0.2154895818789171;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_15_15;MU;-0.21712374629777906;0.21712374629777906;0.7;100;5;0.05;0.85
TARGET_TREND_ANG_15_15;AMD;-0.2579525485673841;0.2579525485673841;0.7;250;3;0.1;1.0
