Stock;Features
NVDA;RSI_10, MACD_12_26_9, ROC_14, ROC_COL_Open_10, ROC_COL_High_2, ROC_COL_High_10, ADX_8, BB_PERCENT_B_10_1.5, BB_WIDTH_10_2, BB_LOWER_20_2, BB_PERCENT_B_20_2, BB_UPPER_30_2, CONNORS_RSI_3_2_25, BINARY_EMA_7_UPTREND, BINARY_EMA_14_UPTREND, BINARY_WILLIAMS_R_10_OVERSOLD, BINARY_CCI_9_OVERBOUGHT, BINARY_CCI_12_OVERSOLD, BINARY_CCI_14_OVERSOLD, BINARY_ROC_7_UPTREND, BINARY_ADX_9_UPTREND, BINARY_BB_10_1.5_ABOVE, BINARY_MFI_7_OVERSOLD, BINARY_ADL_EMA_12_UP, BINARY_CHO_5_20_UP
AAPL;STOCH_SIGNAL_14_3_3, CCI_9, ROC_COL_Open_7, ROC_COL_High_2, ROC_COL_Low_10, ADX_12, BB_SMA_10_1.5, BB_WIDTH_10_1.5, BB_UPPER_20_1, BB_SMA_20_2.5, BB_PERCENT_B_20_2.5, BB_UPPER_30_2, OBV_EMA_5, ADL_EMA_20, CHO_3_10, TEMA_7, ULCER_INDEX_9, BINARY_RSI_10_OVERSOLD, BINARY_MACD_SIGNAL_10_20_7_UP, BINARY_ADX_12_UPTREND, BINARY_BB_10_1.5_ABOVE, BINARY_BB_50_2_ABOVE, BINARY_ADL_EMA_14_DOWN, BINARY_ADL_EMA_17_UP, BINARY_TEMA_10_UPTREND
AMZN;MACD_SIGNAL_12_26_9, MACD_7_18_9, MACD_SIGNAL_7_18_9, ROC_COL_Open_14, ROC_COL_High_2, ROC_COL_Low_1, ADX_8, BB_ZSCORE_10_1.5, BB_WIDTH_10_2, BB_SMA_20_1, BB_ZSCORE_20_1, BB_SMA_20_2, BB_LOWER_30_2, CONNORS_RSI_3_2_25, ADL_EMA_12, TEMA_10, ULCER_INDEX_14, BINARY_EMA_12_UPTREND, BINARY_EMA_14_UPTREND, BINARY_RSI_8_OVERBOUGHT, BINARY_CCI_20_OVERBOUGHT, BINARY_ROC_7_UPTREND, BINARY_MFI_10_OVERSOLD, BINARY_ULCER_INDEX_5_UP, BINARY_ULCER_INDEX_14_DOWN
LRCX;MACD_HISTOGRAM_12_26_9, MACD_SIGNAL_7_18_9, MACD_HISTOGRAM_10_20_7, STOCH_SIGNAL_14_3_3, ROC_COL_Open_12, ROC_COL_High_7, MDI_14, BB_ZSCORE_10_1.5, BB_WIDTH_10_2, BB_UPPER_20_2, BB_ZSCORE_20_2.5, BB_SMA_30_2, BB_PERCENT_B_20_3, ADL_EMA_12, ADL_EMA_15, ADL_EMA_17, TEMA_10, BINARY_WILLIAMS_R_10_OVERBOUGHT, BINARY_WILLIAMS_R_17_OVERSOLD, BINARY_ADX_9_DOWNTREND, BINARY_ADX_14_UPTREND, BINARY_ATR_14_VOL_UP, BINARY_BB_10_1.5_ABOVE, BINARY_BB_20_3_ABOVE, BINARY_ULCER_INDEX_9_UP
SBUX;WILLIAMS_R_14, CCI_15, ROC_COL_Open_3, ROC_COL_Open_14, MDI_9, ADX_12, BB_PERCENT_B_10_1.5, BB_WIDTH_10_1.5, BB_WIDTH_10_2, BB_WIDTH_20_1, BB_ZSCORE_20_2, BB_WIDTH_20_2.5, BB_SMA_30_2, BB_PERCENT_B_30_2, BB_SMA_20_3, CONNORS_RSI_3_2_25, TEMA_10, BINARY_RSI_8_OVERBOUGHT, BINARY_MACD_SIGNAL_10_20_7_UP, BINARY_WILLIAMS_R_10_OVERBOUGHT, BINARY_WILLIAMS_R_17_OVERBOUGHT, BINARY_ADX_10_DOWNTREND, BINARY_BB_30_2_ABOVE, BINARY_BB_30_2_BELOW, BINARY_ULCER_INDEX_14_DOWN
REGN;CCI_20, ROC_5, ROC_COL_High_14, ROC_COL_Low_1, ROC_COL_Low_7, BB_UPPER_20_2, BB_WIDTH_20_2.5, CONNORS_RSI_3_2_25, MFI_7, MFI_14, BINARY_MACD_SIGNAL_7_18_9_UP, BINARY_WILLIAMS_R_17_OVERSOLD, BINARY_CCI_9_OVERSOLD, BINARY_CCI_15_OVERBOUGHT, BINARY_ROC_14_UPTREND, BINARY_ADX_8_DOWNTREND, BINARY_ADX_14_DOWNTREND, BINARY_ATR_14_VOL_UP, BINARY_OBV_EMA_5_UP, BINARY_UO_7_14_28_DOWN, BINARY_ADL_EMA_15_UP, BINARY_ADL_EMA_20_UP, BINARY_TEMA_10_UPTREND, BINARY_ULCER_INDEX_5_UP, BINARY_ULCER_INDEX_9_DOWN
KLAC;MACD_HISTOGRAM_12_26_9, MACD_SIGNAL_7_18_9, CCI_9, ROC_COL_Open_14, ROC_COL_Low_3, BB_PERCENT_B_10_1.5, BB_WIDTH_10_1.5, BB_SMA_30_2, ADL_EMA_14, BINARY_EMA_7_UPTREND, BINARY_EMA_14_UPTREND, BINARY_RSI_8_OVERBOUGHT, BINARY_RSI_14_OVERBOUGHT, BINARY_CCI_9_OVERSOLD, BINARY_ROC_3_UPTREND, BINARY_ADX_8_STRONG_TREND, BINARY_ADX_14_STRONG_TREND, BINARY_ATR_14_VOL_UP, BINARY_OBV_UP, BINARY_CONNORS_RSI_3_2_25_OVERBOUGHT, BINARY_CONNORS_RSI_3_2_25_OVERSOLD, BINARY_MFI_14_OVERSOLD, BINARY_ADL_EMA_10_UP, BINARY_ADL_EMA_12_DOWN, BINARY_ULCER_INDEX_14_UP
BKNG;MACD_SIGNAL_10_20_7, CCI_9, ROC_COL_Open_3, ROC_COL_Open_12, ROC_COL_High_5, ROC_COL_High_7, ROC_COL_High_14, PDI_12, BB_SMA_10_1.5, BB_UPPER_10_1.5, BB_ZSCORE_10_1.5, BB_UPPER_10_2, BB_SMA_50_2, BINARY_EMA_5_UPTREND, BINARY_EMA_14_UPTREND, BINARY_RSI_8_OVERBOUGHT, BINARY_ADX_9_DOWNTREND, BINARY_ADX_10_UPTREND, BINARY_BB_50_2_BELOW, BINARY_CONNORS_RSI_3_2_25_OVERBOUGHT, BINARY_UO_7_14_28_UP, BINARY_ADL_EMA_20_UP, BINARY_TEMA_12_UPTREND, BINARY_ULCER_INDEX_14_UP, BINARY_ULCER_INDEX_14_DOWN
AMD;MACD_HISTOGRAM_10_20_7, WILLIAMS_R_10, CCI_12, ROC_COL_Open_12, ROC_COL_Low_1, ADX_10, BB_WIDTH_10_1.5, BB_SMA_10_2, BB_ZSCORE_20_2, BB_PERCENT_B_20_2.5, BB_WIDTH_20_2.5, BB_LOWER_30_2, BB_ZSCORE_30_2, BB_WIDTH_30_2, BB_SMA_50_2, BB_LOWER_20_3, CHO_5_20, BINARY_WILLIAMS_R_10_OVERSOLD, BINARY_CCI_12_OVERSOLD, BINARY_CCI_15_OVERSOLD, BINARY_ADX_10_STRONG_TREND, BINARY_CONNORS_RSI_3_2_25_OVERSOLD, BINARY_CHO_3_10_UP, BINARY_TEMA_7_UPTREND, BINARY_ULCER_INDEX_9_UP
VRTX;RSI_10, MACD_SIGNAL_10_20_7, ROC_2, ROC_COL_Open_3, ROC_COL_Low_10, ROC_COL_Low_12, BB_PERCENT_B_10_1.5, BB_WIDTH_10_2, BB_SMA_20_2, BB_ZSCORE_20_2, BB_UPPER_20_2.5, BB_LOWER_20_2.5, BB_PERCENT_B_20_3, UO_7_14_28, TEMA_10, ULCER_INDEX_5, BINARY_RSI_12_OVERSOLD, BINARY_RSI_14_OVERBOUGHT, BINARY_CCI_15_OVERBOUGHT, BINARY_CCI_20_OVERBOUGHT, BINARY_ROC_14_UPTREND, BINARY_ADX_8_STRONG_TREND, BINARY_ADX_8_DOWNTREND, BINARY_ATR_8_VOL_UP, BINARY_MFI_10_OVERSOLD
