Target;Stock;best_score_neg_rmse;best_rmse_pos;subsample;n_estimators;max_depth;learning_rate;colsample_bytree
TARGET_TREND_ANG_5_15;AXP;-0.17208460349200796;0.17208460349200796;1.0;200;6;0.03;1.0
TARGET_TREND_ANG_5_15;SBUX;-0.1774418007214318;0.1774418007214318;0.7;100;5;0.05;0.85
TARGET_TREND_ANG_5_15;COST;-0.17904077306174496;0.17904077306174496;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_5_15;MSFT;-0.1799374402173843;0.1799374402173843;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_5_15;ORCL;-0.18061588619771207;0.18061588619771207;0.7;100;3;0.03;0.7
TARGET_TREND_ANG_5_15;INTU;-0.19394834868656716;0.19394834868656716;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_5_15;MAR;-0.19896407579967704;0.19896407579967704;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_5_15;NKE;-0.20000277658627538;0.20000277658627538;1.0;50;4;0.03;0.7
TARGET_TREND_ANG_5_15;CDNS;-0.20171643986555984;0.20171643986555984;1.0;50;6;0.01;1.0
TARGET_TREND_ANG_5_15;AAPL;-0.20582164353429175;0.20582164353429175;0.85;50;5;0.01;0.7
TARGET_TREND_ANG_5_15;EBAY;-0.20784734220560294;0.20784734220560294;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_5_15;GILD;-0.2079876104232802;0.2079876104232802;0.7;150;6;0.05;1.0
TARGET_TREND_ANG_5_15;BKNG;-0.20983570124261666;0.20983570124261666;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_5_15;ADI;-0.21099575109160718;0.21099575109160718;0.85;150;6;0.03;0.85
TARGET_TREND_ANG_5_15;MS;-0.21898912184009225;0.21898912184009225;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_5_15;AMZN;-0.2231366306464071;0.2231366306464071;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_5_15;CAT;-0.22545423727446257;0.22545423727446257;0.85;50;5;0.01;0.7
TARGET_TREND_ANG_5_15;KLAC;-0.2268931107422721;0.2268931107422721;0.85;50;5;0.01;0.7
TARGET_TREND_ANG_5_15;VRTX;-0.24474895184636095;0.24474895184636095;0.7;100;5;0.1;0.85
TARGET_TREND_ANG_5_15;REGN;-0.24943491418317673;0.24943491418317673;1.0;150;3;0.01;0.85
TARGET_TREND_ANG_5_15;AMAT;-0.2520525631742202;0.2520525631742202;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_5_15;LRCX;-0.2546029659876165;0.2546029659876165;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_5_15;NVDA;-0.2817953760494849;0.2817953760494849;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_5_15;MU;-0.30091149579557547;0.30091149579557547;1.0;200;4;0.1;0.85
TARGET_TREND_ANG_5_15;AMD;-0.32932705359403525;0.32932705359403525;1.0;50;3;0.01;0.7
