Target;Stock;best_score_neg_rmse;best_rmse_pos;subsample;n_estimators;max_depth;learning_rate;colsample_bytree
TARGET_TREND_ANG_15_8;MSFT;-0.08720836881411824;0.08720836881411824;1.0;100;6;0.01;0.85
TARGET_TREND_ANG_15_8;AXP;-0.09270129784958324;0.09270129784958324;1.0;200;6;0.01;1.0
TARGET_TREND_ANG_15_8;SBUX;-0.09646593377110013;0.09646593377110013;0.7;50;4;0.05;0.85
TARGET_TREND_ANG_15_8;ORCL;-0.09874935754551391;0.09874935754551391;1.0;100;6;0.03;0.85
TARGET_TREND_ANG_15_8;COST;-0.09898785503031741;0.09898785503031741;0.85;150;6;0.01;0.85
TARGET_TREND_ANG_15_8;INTU;-0.1041512467791067;0.1041512467791067;0.7;50;3;0.03;0.85
TARGET_TREND_ANG_15_8;NKE;-0.10578503267297125;0.10578503267297125;0.85;200;3;0.01;0.7
TARGET_TREND_ANG_15_8;MAR;-0.10895233591479125;0.10895233591479125;0.7;50;3;0.05;0.7
TARGET_TREND_ANG_15_8;ADI;-0.10904307123037453;0.10904307123037453;0.85;250;3;0.05;0.7
TARGET_TREND_ANG_15_8;CDNS;-0.11215952929605207;0.11215952929605207;0.7;100;3;0.03;0.7
TARGET_TREND_ANG_15_8;AAPL;-0.11449833515316493;0.11449833515316493;0.7;200;3;0.03;1.0
TARGET_TREND_ANG_15_8;EBAY;-0.11458034813351754;0.11458034813351754;0.7;250;3;0.1;1.0
TARGET_TREND_ANG_15_8;GILD;-0.11589508404043043;0.11589508404043043;1.0;150;4;0.03;0.85
TARGET_TREND_ANG_15_8;MS;-0.11765737694541595;0.11765737694541595;1.0;200;4;0.1;1.0
TARGET_TREND_ANG_15_8;BKNG;-0.1181776690910296;0.1181776690910296;0.7;100;3;0.03;0.7
TARGET_TREND_ANG_15_8;CAT;-0.12104617548712819;0.12104617548712819;0.85;150;4;0.05;0.85
TARGET_TREND_ANG_15_8;AMZN;-0.12887591192165443;0.12887591192165443;0.85;150;6;0.03;0.85
TARGET_TREND_ANG_15_8;KLAC;-0.13137016646932773;0.13137016646932773;0.7;150;6;0.05;1.0
TARGET_TREND_ANG_15_8;REGN;-0.14427324958915239;0.14427324958915239;0.7;250;3;0.03;0.7
TARGET_TREND_ANG_15_8;VRTX;-0.1469146104010496;0.1469146104010496;0.7;250;4;0.05;1.0
TARGET_TREND_ANG_15_8;LRCX;-0.15238688076910276;0.15238688076910276;0.7;250;5;0.03;0.85
TARGET_TREND_ANG_15_8;AMAT;-0.15279390255607195;0.15279390255607195;0.85;150;4;0.05;0.85
TARGET_TREND_ANG_15_8;NVDA;-0.17779979773939084;0.17779979773939084;0.85;250;4;0.05;0.7
TARGET_TREND_ANG_15_8;MU;-0.17809951101789148;0.17809951101789148;1.0;200;4;0.1;0.85
TARGET_TREND_ANG_15_8;AMD;-0.21422851405603127;0.21422851405603127;0.85;200;4;0.05;0.7
