Stock;Features
NVDA;RSI_10, ROC_COL_Open_3, ROC_COL_Open_7, ROC_COL_High_14, ROC_COL_Low_10, ADX_10, MDI_10, BB_WIDTH_10_1.5, BB_UPPER_20_2, BB_PERCENT_B_20_2, BB_WIDTH_20_2.5, BB_PERCENT_B_30_2, TEMA_12, BINARY_EMA_5_UPTREND, BINARY_MACD_12_26_9_UP, BINARY_CCI_14_OVERSOLD, BINARY_ADX_12_UPTREND, BINARY_BB_10_1.5_BELOW, BINARY_BB_20_2_ABOVE, BINARY_BB_30_2_BELOW, BINARY_BB_50_2_ABOVE, BINARY_BB_20_3_BELOW, BINARY_OBV_EMA_5_DOWN, BINARY_TEMA_10_UPTREND, BINARY_SAR_0.02_0.2_UP
AAPL;CCI_12, ROC_COL_Open_7, ROC_COL_High_10, ROC_COL_Low_1, PDI_9, ATR_10, ATR_14, BB_ZSCORE_10_1.5, BB_LOWER_20_2.5, BB_PERCENT_B_30_2, BB_SMA_50_2, BB_LOWER_50_2, OBV, OBV_EMA_10, CONNORS_RSI_CLOSE_3, CONNORS_PERCENT_RANK_25, CHO_3_10, BINARY_RSI_10_OVERBOUGHT, BINARY_ROC_3_UPTREND, BINARY_ROC_10_UPTREND, BINARY_BB_30_2_ABOVE, BINARY_OBV_EMA_5_UP, BINARY_ADL_EMA_15_UP, BINARY_CHO_3_10_UP, BINARY_ULCER_INDEX_14_UP
AMZN;WILLIAMS_R_14, ROC_10, ROC_COL_Open_5, ROC_COL_Open_10, ROC_COL_Open_14, ROC_COL_High_14, ROC_COL_Low_10, ADX_14, BB_LOWER_10_2, BB_SMA_20_2, BB_WIDTH_20_2, BB_WIDTH_30_2, ADL_EMA_12, ADL_EMA_17, CHO_5_20, TEMA_14, BINARY_EMA_10_UPTREND, BINARY_CCI_9_OVERBOUGHT, BINARY_CCI_9_OVERSOLD, BINARY_ROC_2_UPTREND, BINARY_ADX_12_STRONG_TREND, BINARY_ADX_14_UPTREND, BINARY_ADL_UP, BINARY_ADL_EMA_10_UP, BINARY_ADL_EMA_10_DOWN
LRCX;CCI_12, ROC_COL_Open_7, ROC_COL_High_10, ROC_COL_Low_1, PDI_9, ATR_10, ATR_14, BB_ZSCORE_10_1.5, BB_LOWER_20_2.5, BB_PERCENT_B_30_2, BB_SMA_50_2, BB_LOWER_50_2, OBV, OBV_EMA_10, CONNORS_RSI_CLOSE_3, CONNORS_PERCENT_RANK_25, CHO_3_10, BINARY_RSI_10_OVERBOUGHT, BINARY_ROC_3_UPTREND, BINARY_ROC_10_UPTREND, BINARY_BB_30_2_ABOVE, BINARY_OBV_EMA_5_UP, BINARY_ADL_EMA_15_UP, BINARY_CHO_3_10_UP, BINARY_ULCER_INDEX_14_UP
SBUX;MACD_HISTOGRAM_12_26_9, WILLIAMS_R_10, ROC_2, ROC_COL_Open_1, ROC_COL_High_12, ROC_COL_Low_2, BB_WIDTH_10_2, BB_UPPER_20_1, BB_ZSCORE_20_2, BB_WIDTH_20_2.5, BB_SMA_20_3, MFI_10, ADL_EMA_20, SAR_0.02_0.2, BINARY_RSI_14_OVERBOUGHT, BINARY_WILLIAMS_R_10_OVERSOLD, BINARY_CCI_9_OVERBOUGHT, BINARY_ROC_3_UPTREND, BINARY_ROC_14_UPTREND, BINARY_ATR_12_VOL_UP, BINARY_BB_30_2_ABOVE, BINARY_MFI_7_OVERBOUGHT, BINARY_ADL_EMA_14_UP, BINARY_TEMA_12_UPTREND, BINARY_ULCER_INDEX_5_UP
REGN;ROC_COL_Open_2, ROC_COL_High_12, ADX_9, PDI_12, BB_WIDTH_10_1.5, BB_ZSCORE_20_1, BB_SMA_20_2, BB_SMA_50_2, BB_SMA_20_3, ADL_EMA_10, BINARY_EMA_14_UPTREND, BINARY_RSI_10_OVERBOUGHT, BINARY_RSI_12_OVERBOUGHT, BINARY_MACD_HISTOGRAM_12_26_9_UP, BINARY_MACD_7_18_9_UP, BINARY_WILLIAMS_R_14_OVERBOUGHT, BINARY_CCI_20_OVERBOUGHT, BINARY_ROC_10_UPTREND, BINARY_ADX_10_DOWNTREND, BINARY_ADX_14_STRONG_TREND, BINARY_BB_10_1.5_BELOW, BINARY_BB_20_1_BELOW, BINARY_CONNORS_RSI_3_2_25_OVERSOLD, BINARY_ADL_EMA_15_DOWN, BINARY_TEMA_12_UPTREND
KLAC;WILLIAMS_R_17, ROC_COL_Open_1, ROC_COL_High_2, ROC_COL_High_5, ROC_COL_High_7, ROC_COL_Low_1, ROC_COL_Low_12, ROC_COL_Low_14, BB_SMA_10_1.5, BB_WIDTH_10_2, BB_ZSCORE_20_2, BB_ZSCORE_20_2.5, BB_SMA_30_2, BB_SMA_50_2, ADL, BINARY_EMA_5_UPTREND, BINARY_RSI_8_OVERBOUGHT, BINARY_WILLIAMS_R_17_OVERSOLD, BINARY_ADX_14_STRONG_TREND, BINARY_ATR_14_VOL_UP, BINARY_BB_30_2_ABOVE, BINARY_BB_50_2_BELOW, BINARY_OBV_EMA_10_UP, BINARY_SAR_0.02_0.2_UP, BINARY_ULCER_INDEX_5_DOWN
BKNG;RSI_12, STOCH_SIGNAL_14_3_3, WILLIAMS_R_14, CCI_12, ROC_COL_Open_3, ROC_COL_Open_10, ROC_COL_High_7, BB_UPPER_10_1.5, BB_UPPER_10_2, BB_WIDTH_20_1, BB_UPPER_50_2, ADL_EMA_10, BINARY_RSI_8_OVERSOLD, BINARY_WILLIAMS_R_17_OVERBOUGHT, BINARY_WILLIAMS_R_17_OVERSOLD, BINARY_CCI_15_OVERSOLD, BINARY_CCI_20_OVERBOUGHT, BINARY_ROC_7_UPTREND, BINARY_ROC_14_UPTREND, BINARY_ADX_10_DOWNTREND, BINARY_BB_20_1_ABOVE, BINARY_UO_7_14_28_DOWN, BINARY_ADL_EMA_14_UP, BINARY_TEMA_12_UPTREND, BINARY_ULCER_INDEX_5_DOWN
AMD;MACD_SIGNAL_10_20_7, ROC_2, ROC_COL_Open_5, ROC_COL_Open_12, ROC_COL_Low_1, ROC_COL_Low_5, MDI_8, PDI_10, BB_WIDTH_20_2, BB_ZSCORE_20_2.5, BB_LOWER_30_2, BB_ZSCORE_30_2, BB_SMA_50_2, ADL_EMA_10, ADL_EMA_14, BINARY_EMA_12_UPTREND, BINARY_CCI_15_OVERBOUGHT, BINARY_CCI_20_OVERBOUGHT, BINARY_ROC_14_UPTREND, BINARY_ATR_14_VOL_UP, BINARY_OBV_UP, BINARY_ADL_EMA_12_UP, BINARY_ADL_EMA_12_DOWN, BINARY_CHO_3_10_UP, BINARY_TEMA_14_UPTREND
VRTX;STOCH_K_14_3_3, ROC_1, ROC_COL_High_3, ROC_COL_High_5, ROC_COL_Low_14, MDI_8, MDI_10, PDI_14, ATR_12, BB_ZSCORE_10_2, BB_UPPER_20_2, BB_LOWER_30_2, BB_ZSCORE_50_2, MFI_10, BINARY_RSI_10_OVERSOLD, BINARY_MACD_7_18_9_UP, BINARY_ROC_3_UPTREND, BINARY_ROC_14_UPTREND, BINARY_ADX_8_STRONG_TREND, BINARY_ADX_8_UPTREND, BINARY_BB_10_1.5_BELOW, BINARY_BB_50_2_BELOW, BINARY_OBV_EMA_10_DOWN, BINARY_SAR_0.02_0.2_UP, BINARY_ULCER_INDEX_14_UP
