Target;Stock;best_score_neg_rmse;best_rmse_pos;subsample;n_estimators;max_depth;learning_rate;colsample_bytree
TARGET_TREND_ANG_15_12;MSFT;-0.100301147054922;0.100301147054922;1.0;50;6;0.01;1.0
TARGET_TREND_ANG_15_12;AXP;-0.11005083692726385;0.11005083692726385;1.0;50;6;0.01;1.0
TARGET_TREND_ANG_15_12;ORCL;-0.11737418681692231;0.11737418681692231;0.85;150;6;0.01;1.0
TARGET_TREND_ANG_15_12;SBUX;-0.11798022643810513;0.11798022643810513;0.7;200;3;0.03;1.0
TARGET_TREND_ANG_15_12;COST;-0.11844237535147421;0.11844237535147421;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_15_12;INTU;-0.12029125663931957;0.12029125663931957;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_15_12;NKE;-0.12559676876226683;0.12559676876226683;1.0;50;6;0.01;1.0
TARGET_TREND_ANG_15_12;ADI;-0.13071980362528987;0.13071980362528987;0.7;250;3;0.1;1.0
TARGET_TREND_ANG_15_12;EBAY;-0.1329894211925812;0.1329894211925812;0.7;200;6;0.1;0.7
TARGET_TREND_ANG_15_12;MAR;-0.13460749061277097;0.13460749061277097;0.85;50;5;0.01;0.7
TARGET_TREND_ANG_15_12;CDNS;-0.13685644419749363;0.13685644419749363;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_15_12;GILD;-0.1382680868633057;0.1382680868633057;0.85;150;3;0.05;0.85
TARGET_TREND_ANG_15_12;BKNG;-0.14073629934552667;0.14073629934552667;0.7;100;5;0.01;0.7
TARGET_TREND_ANG_15_12;MS;-0.1448216716043871;0.1448216716043871;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_15_12;AAPL;-0.14545286587287623;0.14545286587287623;0.85;200;3;0.01;0.85
TARGET_TREND_ANG_15_12;AMZN;-0.14589194196945285;0.14589194196945285;0.7;250;3;0.1;0.7
TARGET_TREND_ANG_15_12;CAT;-0.14967096320107398;0.14967096320107398;0.7;100;3;0.05;0.85
TARGET_TREND_ANG_15_12;KLAC;-0.15897258139758574;0.15897258139758574;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_15_12;REGN;-0.1731454983787922;0.1731454983787922;1.0;150;5;0.03;0.85
TARGET_TREND_ANG_15_12;VRTX;-0.17457285095063244;0.17457285095063244;1.0;100;6;0.03;0.85
TARGET_TREND_ANG_15_12;AMAT;-0.18242354735349997;0.18242354735349997;0.85;100;4;0.01;0.85
TARGET_TREND_ANG_15_12;LRCX;-0.1826644631347113;0.1826644631347113;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_15_12;MU;-0.21120261739354426;0.21120261739354426;0.7;250;3;0.1;0.7
TARGET_TREND_ANG_15_12;NVDA;-0.2142170044681911;0.2142170044681911;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_15_12;AMD;-0.2553147544087084;0.2553147544087084;1.0;200;4;0.1;1.0
