Target;Stock;best_score_neg_rmse;best_rmse_pos;subsample;n_estimators;max_depth;learning_rate;colsample_bytree
TARGET_TREND_ANG_5_5;AXP;-0.17366752882611855;0.17366752882611855;1.0;50;6;0.01;1.0
TARGET_TREND_ANG_5_5;SBUX;-0.17757861370070535;0.17757861370070535;0.85;250;3;0.05;0.7
TARGET_TREND_ANG_5_5;COST;-0.17825958791282392;0.17825958791282392;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_5_5;MSFT;-0.17833392447933752;0.17833392447933752;0.85;50;5;0.01;0.7
TARGET_TREND_ANG_5_5;ORCL;-0.18013265958408517;0.18013265958408517;0.85;50;5;0.01;0.7
TARGET_TREND_ANG_5_5;INTU;-0.19126427610677565;0.19126427610677565;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_5_5;NKE;-0.19986268579492386;0.19986268579492386;0.85;50;5;0.03;1.0
TARGET_TREND_ANG_5_5;MAR;-0.19991914747044637;0.19991914747044637;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_5_5;CDNS;-0.20000677585049154;0.20000677585049154;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_5_5;EBAY;-0.20448552356675487;0.20448552356675487;0.7;100;5;0.1;0.85
TARGET_TREND_ANG_5_5;AAPL;-0.2052323930584495;0.2052323930584495;1.0;50;6;0.01;1.0
TARGET_TREND_ANG_5_5;ADI;-0.20830622232384086;0.20830622232384086;1.0;200;5;0.03;1.0
TARGET_TREND_ANG_5_5;BKNG;-0.20858984560536709;0.20858984560536709;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_5_5;GILD;-0.20873698797734466;0.20873698797734466;1.0;150;3;0.1;1.0
TARGET_TREND_ANG_5_5;MS;-0.21910665655472858;0.21910665655472858;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_5_5;AMZN;-0.2212223722945559;0.2212223722945559;1.0;200;5;0.03;1.0
TARGET_TREND_ANG_5_5;CAT;-0.22489756246821224;0.22489756246821224;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_5_5;KLAC;-0.22560207492135512;0.22560207492135512;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_5_5;VRTX;-0.24545819301867353;0.24545819301867353;0.85;100;6;0.01;0.7
TARGET_TREND_ANG_5_5;REGN;-0.2495284036602865;0.2495284036602865;0.85;200;3;0.01;0.7
TARGET_TREND_ANG_5_5;AMAT;-0.25085792313068883;0.25085792313068883;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_5_5;LRCX;-0.2526709435249593;0.2526709435249593;1.0;50;6;0.01;1.0
TARGET_TREND_ANG_5_5;NVDA;-0.28010613568630277;0.28010613568630277;0.85;50;6;0.1;1.0
TARGET_TREND_ANG_5_5;MU;-0.29882506561312;0.29882506561312;1.0;250;4;0.03;0.85
TARGET_TREND_ANG_5_5;AMD;-0.32762039643366697;0.32762039643366697;1.0;150;6;0.01;1.0
