Fecha,Symbol,Fold,Target,Predicted,Model,TargetName
2020-03-20,NVDA,2020,0.55606,0.32934853,MLP-Torch,TARGET_TREND_ANG_15_5
2020-03-23,NVDA,2020,0.74513,0.39929348,MLP-Torch,TARGET_TREND_ANG_15_5
2020-03-24,NVDA,2020,0.84726,0.62908083,MLP-Torch,TARGET_TREND_ANG_15_5
2020-03-25,NVDA,2020,0.88399,0.6958678,MLP-Torch,TARGET_TREND_ANG_15_5
2020-03-26,NVDA,2020,0.88175,0.72418773,MLP-Torch,TARGET_TREND_ANG_15_5
2020-03-27,NVDA,2020,0.90101,0.6879294,MLP-Torch,TARGET_TREND_ANG_15_5
2020-03-30,NVDA,2020,0.88208,0.73767054,MLP-Torch,TARGET_TREND_ANG_15_5
2020-03-31,NVDA,2020,0.87648,0.7022562,MLP-Torch,TARGET_TREND_ANG_15_5
2020-04-01,NVDA,2020,0.86576,0.61490303,MLP-Torch,TARGET_TREND_ANG_15_5
2020-04-02,NVDA,2020,0.82352,0.6006928,MLP-Torch,TARGET_TREND_ANG_15_5
2020-04-03,NVDA,2020,0.77282,0.5113565,MLP-Torch,TARGET_TREND_ANG_15_5
2020-04-06,NVDA,2020,0.71163,0.6348345,MLP-Torch,TARGET_TREND_ANG_15_5
2020-04-07,NVDA,2020,0.74335,0.58052564,MLP-Torch,TARGET_TREND_ANG_15_5
2020-04-08,NVDA,2020,0.77206,0.60999507,MLP-Torch,TARGET_TREND_ANG_15_5
2020-04-09,NVDA,2020,0.81133,0.55423826,MLP-Torch,TARGET_TREND_ANG_15_5
2020-04-13,NVDA,2020,0.81306,0.5912886,MLP-Torch,TARGET_TREND_ANG_15_5
2020-04-14,NVDA,2020,0.79701,0.6682767,MLP-Torch,TARGET_TREND_ANG_15_5
2020-04-15,NVDA,2020,0.81552,0.65221447,MLP-Torch,TARGET_TREND_ANG_15_5
2020-04-16,NVDA,2020,0.77443,0.6954833,MLP-Torch,TARGET_TREND_ANG_15_5
2020-04-17,NVDA,2020,0.76679,0.66980803,MLP-Torch,TARGET_TREND_ANG_15_5
2020-04-20,NVDA,2020,0.73842,0.6418924,MLP-Torch,TARGET_TREND_ANG_15_5
2020-04-21,NVDA,2020,0.74814,0.498236,MLP-Torch,TARGET_TREND_ANG_15_5
2020-04-22,NVDA,2020,0.71967,0.5529289,MLP-Torch,TARGET_TREND_ANG_15_5
2020-04-23,NVDA,2020,0.69529,0.5246329,MLP-Torch,TARGET_TREND_ANG_15_5
2020-04-24,NVDA,2020,0.61384,0.5204304,MLP-Torch,TARGET_TREND_ANG_15_5
2020-04-27,NVDA,2020,0.56681,0.6017581,MLP-Torch,TARGET_TREND_ANG_15_5
2020-04-28,NVDA,2020,0.57099,0.56731814,MLP-Torch,TARGET_TREND_ANG_15_5
2020-04-29,NVDA,2020,0.56938,0.6045683,MLP-Torch,TARGET_TREND_ANG_15_5
2020-04-30,NVDA,2020,0.63301,0.5477226,MLP-Torch,TARGET_TREND_ANG_15_5
2020-05-01,NVDA,2020,0.70278,0.460527,MLP-Torch,TARGET_TREND_ANG_15_5
2020-05-04,NVDA,2020,0.75447,0.4866631,MLP-Torch,TARGET_TREND_ANG_15_5
2020-05-05,NVDA,2020,0.73082,0.5313495,MLP-Torch,TARGET_TREND_ANG_15_5
2020-05-06,NVDA,2020,0.7318,0.54647493,MLP-Torch,TARGET_TREND_ANG_15_5
2020-05-07,NVDA,2020,0.7393,0.61083573,MLP-Torch,TARGET_TREND_ANG_15_5
2020-05-08,NVDA,2020,0.78125,0.6554391,MLP-Torch,TARGET_TREND_ANG_15_5
2020-05-11,NVDA,2020,0.82878,0.68941975,MLP-Torch,TARGET_TREND_ANG_15_5
2020-05-12,NVDA,2020,0.86338,0.6516278,MLP-Torch,TARGET_TREND_ANG_15_5
2020-05-13,NVDA,2020,0.89238,0.6041545,MLP-Torch,TARGET_TREND_ANG_15_5
2020-05-14,NVDA,2020,0.89304,0.6214307,MLP-Torch,TARGET_TREND_ANG_15_5
2020-05-15,NVDA,2020,0.88209,0.6848349,MLP-Torch,TARGET_TREND_ANG_15_5
2020-05-18,NVDA,2020,0.86325,0.71697754,MLP-Torch,TARGET_TREND_ANG_15_5
2020-05-19,NVDA,2020,0.83293,0.7214021,MLP-Torch,TARGET_TREND_ANG_15_5
2020-05-20,NVDA,2020,0.78867,0.7279859,MLP-Torch,TARGET_TREND_ANG_15_5
2020-05-21,NVDA,2020,0.77112,0.67188877,MLP-Torch,TARGET_TREND_ANG_15_5
2020-05-22,NVDA,2020,0.73978,0.687842,MLP-Torch,TARGET_TREND_ANG_15_5
2020-05-26,NVDA,2020,0.72953,0.61968684,MLP-Torch,TARGET_TREND_ANG_15_5
2020-05-27,NVDA,2020,0.67628,0.50076205,MLP-Torch,TARGET_TREND_ANG_15_5
2020-05-28,NVDA,2020,0.59249,0.45871148,MLP-Torch,TARGET_TREND_ANG_15_5
2020-05-29,NVDA,2020,0.53001,0.51191694,MLP-Torch,TARGET_TREND_ANG_15_5
2020-06-01,NVDA,2020,0.50041,0.49527657,MLP-Torch,TARGET_TREND_ANG_15_5
2020-06-02,NVDA,2020,0.52381,0.49600023,MLP-Torch,TARGET_TREND_ANG_15_5
2020-06-03,NVDA,2020,0.58337,0.49918345,MLP-Torch,TARGET_TREND_ANG_15_5
2020-06-04,NVDA,2020,0.59307,0.50326955,MLP-Torch,TARGET_TREND_ANG_15_5
2020-06-05,NVDA,2020,0.59477,0.553662,MLP-Torch,TARGET_TREND_ANG_15_5
2020-06-08,NVDA,2020,0.64834,0.5266468,MLP-Torch,TARGET_TREND_ANG_15_5
2020-06-09,NVDA,2020,0.64999,0.56720394,MLP-Torch,TARGET_TREND_ANG_15_5
2020-06-10,NVDA,2020,0.64135,0.6479634,MLP-Torch,TARGET_TREND_ANG_15_5
2020-06-11,NVDA,2020,0.62984,0.50557,MLP-Torch,TARGET_TREND_ANG_15_5
2020-06-12,NVDA,2020,0.64424,0.53455734,MLP-Torch,TARGET_TREND_ANG_15_5
2020-06-15,NVDA,2020,0.66751,0.54975677,MLP-Torch,TARGET_TREND_ANG_15_5
2020-06-16,NVDA,2020,0.68148,0.53032225,MLP-Torch,TARGET_TREND_ANG_15_5
