Stock;Features
NVDA;MACD_SIGNAL_7_18_9, CCI_9, ROC_COL_Open_1, ROC_COL_High_3, ROC_COL_High_10, ROC_COL_Low_7, ROC_COL_Low_10, ROC_COL_Low_14, ADX_8, BB_PERCENT_B_10_1.5, BB_UPPER_20_2.5, UO_7_14_28, CHO_5_20, BINARY_RSI_8_OVERBOUGHT, BINARY_MACD_HISTOGRAM_12_26_9_UP, BINARY_CCI_12_OVERSOLD, BINARY_ROC_2_UPTREND, BINARY_ROC_5_UPTREND, BINARY_ADX_8_STRONG_TREND, BINARY_ADX_10_UPTREND, BINARY_ATR_14_VOL_UP, BINARY_BB_20_1_ABOVE, BINARY_OBV_EMA_10_DOWN, BINARY_UO_7_14_28_DOWN, BINARY_CHO_3_10_UP
AAPL;MACD_SIGNAL_12_26_9, MACD_SIGNAL_7_18_9, CCI_12, ROC_COL_Open_1, ROC_COL_Open_7, MDI_9, BB_ZSCORE_10_2, BB_SMA_20_2.5, BB_LOWER_20_2.5, BB_WIDTH_20_2.5, BB_PERCENT_B_30_2, CONNORS_RSI_STREAK_2, ADL_EMA_10, TEMA_12, BINARY_EMA_10_UPTREND, BINARY_EMA_12_UPTREND, BINARY_WILLIAMS_R_10_OVERBOUGHT, BINARY_CCI_14_OVERSOLD, BINARY_CCI_20_OVERSOLD, BINARY_ROC_7_UPTREND, BINARY_BB_20_1_ABOVE, BINARY_MFI_14_OVERSOLD, BINARY_ADL_EMA_10_DOWN, BINARY_ADL_EMA_14_UP, BINARY_SAR_0.02_0.2_UP
AMZN;CCI_12, ROC_10, ROC_12, ROC_COL_Open_1, ROC_COL_Low_2, ROC_COL_Low_10, ADX_9, ATR_14, BB_UPPER_20_2.5, BB_LOWER_50_2, OBV_EMA_10, BINARY_RSI_14_OVERBOUGHT, BINARY_WILLIAMS_R_14_OVERSOLD, BINARY_ADX_12_UPTREND, BINARY_BB_50_2_ABOVE, BINARY_BB_20_3_ABOVE, BINARY_OBV_EMA_10_UP, BINARY_MFI_7_OVERSOLD, BINARY_MFI_10_OVERSOLD, BINARY_ADL_EMA_17_UP, BINARY_ADL_EMA_17_DOWN, BINARY_ADL_EMA_20_UP, BINARY_TEMA_7_UPTREND, BINARY_TEMA_10_UPTREND, BINARY_ULCER_INDEX_9_DOWN
LRCX;MACD_HISTOGRAM_7_18_9, ROC_1, ROC_14, ROC_COL_Open_7, ROC_COL_Low_3, ROC_COL_Low_7, BB_UPPER_10_2, BB_ZSCORE_10_2, BB_PERCENT_B_20_2, ADL_EMA_14, CHO_3_10, BINARY_RSI_8_OVERSOLD, BINARY_CCI_9_OVERBOUGHT, BINARY_CCI_12_OVERSOLD, BINARY_CCI_20_OVERBOUGHT, BINARY_ROC_7_UPTREND, BINARY_ADX_9_UPTREND, BINARY_ADX_14_STRONG_TREND, BINARY_ATR_8_VOL_UP, BINARY_BB_10_1.5_BELOW, BINARY_MFI_14_OVERSOLD, BINARY_ADL_EMA_15_UP, BINARY_ADL_EMA_17_UP, BINARY_TEMA_14_UPTREND, BINARY_ULCER_INDEX_14_DOWN
SBUX;RSI_10, RSI_12, ROC_COL_Open_5, ROC_COL_High_5, ROC_COL_High_7, ROC_COL_Low_10, PDI_14, BB_WIDTH_10_1.5, BB_LOWER_20_2, CONNORS_RSI_3_2_25, CONNORS_RSI_STREAK_2, UO_7_14_28, ADL_EMA_10, ADL_EMA_12, ULCER_INDEX_9, BINARY_EMA_10_UPTREND, BINARY_MACD_SIGNAL_10_20_7_UP, BINARY_ADX_14_STRONG_TREND, BINARY_CONNORS_RSI_3_2_25_OVERSOLD, BINARY_MFI_7_OVERBOUGHT, BINARY_MFI_7_OVERSOLD, BINARY_ADL_UP, BINARY_CHO_5_20_UP, BINARY_ULCER_INDEX_9_UP, BINARY_ULCER_INDEX_14_DOWN
REGN;RSI_8, STOCH_D_14_3_3, CCI_14, ROC_COL_Open_5, ROC_COL_High_2, ROC_COL_Low_2, BB_SMA_10_1.5, BB_ZSCORE_10_2, BB_ZSCORE_20_2.5, BB_UPPER_50_2, CONNORS_RSI_CLOSE_3, ADL_EMA_15, CHO_5_20, SAR_0.02_0.2, BINARY_CCI_12_OVERBOUGHT, BINARY_ROC_5_UPTREND, BINARY_ADX_8_DOWNTREND, BINARY_ADX_12_UPTREND, BINARY_UO_7_14_28_UP, BINARY_MFI_7_OVERSOLD, BINARY_MFI_14_OVERBOUGHT, BINARY_CHO_3_10_UP, BINARY_CHO_5_20_UP, BINARY_TEMA_14_UPTREND, BINARY_ULCER_INDEX_14_UP
KLAC;MACD_SIGNAL_7_18_9, STOCH_K_14_3_3, CCI_9, MDI_12, PDI_14, BB_LOWER_20_1, BB_PERCENT_B_20_2, BB_LOWER_20_2.5, BB_ZSCORE_20_3, ADL_EMA_10, CHO_3_10, TEMA_7, BINARY_EMA_14_UPTREND, BINARY_MACD_HISTOGRAM_7_18_9_UP, BINARY_WILLIAMS_R_14_OVERSOLD, BINARY_ROC_12_UPTREND, BINARY_ADX_10_UPTREND, BINARY_ADX_12_DOWNTREND, BINARY_BB_10_1.5_BELOW, BINARY_BB_10_2_BELOW, BINARY_BB_50_2_BELOW, BINARY_OBV_UP, BINARY_CONNORS_RSI_3_2_25_OVERSOLD, BINARY_ADL_EMA_15_UP, BINARY_ADL_EMA_15_DOWN
BKNG;RSI_14, MACD_12_26_9, MACD_SIGNAL_7_18_9, WILLIAMS_R_10, ROC_COL_High_7, ROC_COL_Low_3, ROC_COL_Low_10, PDI_14, ATR_14, BB_UPPER_10_1.5, BB_UPPER_30_2, BB_LOWER_50_2, MFI_7, ADL_EMA_17, ADL_EMA_20, BINARY_RSI_8_OVERBOUGHT, BINARY_MACD_HISTOGRAM_12_26_9_UP, BINARY_WILLIAMS_R_14_OVERBOUGHT, BINARY_ADX_12_STRONG_TREND, BINARY_ADX_14_DOWNTREND, BINARY_BB_20_1_ABOVE, BINARY_ADL_EMA_12_UP, BINARY_CHO_5_20_UP, BINARY_SAR_0.02_0.2_DOWN, BINARY_ULCER_INDEX_9_UP
AMD;RSI_14, MACD_7_18_9, STOCH_D_14_3_3, CCI_9, ROC_COL_Open_2, ROC_COL_Open_3, ROC_COL_High_2, BB_PERCENT_B_20_1, BB_WIDTH_20_2, CONNORS_RSI_STREAK_2, UO_7_14_28, ADL_EMA_12, BINARY_RSI_12_OVERSOLD, BINARY_MACD_HISTOGRAM_12_26_9_UP, BINARY_MACD_SIGNAL_7_18_9_UP, BINARY_MACD_HISTOGRAM_7_18_9_UP, BINARY_ROC_14_UPTREND, BINARY_ADX_12_UPTREND, BINARY_BB_30_2_BELOW, BINARY_OBV_EMA_10_UP, BINARY_ADL_UP, BINARY_ADL_EMA_10_DOWN, BINARY_ADL_EMA_20_DOWN, BINARY_CHO_5_20_UP, BINARY_ULCER_INDEX_9_UP
VRTX;RSI_12, CCI_12, ROC_14, ROC_COL_High_5, ADX_10, PDI_10, MDI_10, PDI_14, BB_ZSCORE_20_1, BB_SMA_20_2.5, BB_UPPER_50_2, BB_ZSCORE_50_2, BINARY_RSI_10_OVERSOLD, BINARY_RSI_14_OVERSOLD, BINARY_MACD_7_18_9_UP, BINARY_MACD_SIGNAL_10_20_7_UP, BINARY_WILLIAMS_R_10_OVERBOUGHT, BINARY_CCI_12_OVERBOUGHT, BINARY_ADX_9_STRONG_TREND, BINARY_ADX_9_DOWNTREND, BINARY_BB_10_2_ABOVE, BINARY_BB_30_2_ABOVE, BINARY_OBV_EMA_10_UP, BINARY_CONNORS_RSI_3_2_25_OVERBOUGHT, BINARY_UO_7_14_28_DOWN
