Stock,Modelo,Fold,Año_Test,N_features,RMSE,MAE,R2
NVDA,XGBRegressor,1,2022,25,0.15692363490057734,0.12734389507027738,0.679381376070413
NVDA,ElasticNet,1,2022,25,0.17021743610924012,0.1490154406508707,0.622757932384137
NVDA,Ridge,1,2022,25,0.17011189936785423,0.14734263553796723,0.6232255760899197
NVDA,SVR,1,2022,25,0.1827895079241062,0.15652189884820708,0.5649746605845851
NVDA,Lasso,1,2022,25,0.265634750320029,0.24510026701711518,0.08128288993880939
NVDA,LinearRegression,1,2022,25,0.16846590022602598,0.1463075848628577,0.6304816234678774
NVDA,MLP-Torch,1,2022,25,0.18864620378322133,0.1672124785754025,0.536651066919566
NVDA,XGBRegressor,2,2023,25,0.12417836121781356,0.09760192862058639,0.6257408777092901
NVDA,ElasticNet,2,2023,25,0.13524292924491046,0.11267438720364419,0.5560749178768413
NVDA,Ridge,2,2023,25,0.13764008967706046,0.11348780031368962,0.5401984401649864
NVDA,SVR,2,2023,25,0.13335181160923462,0.1121601786754183,0.5684030305772321
NVDA,Lasso,2,2023,25,0.20087813171230226,0.17567482354737607,0.020632095263691363
NVDA,LinearRegression,2,2023,25,0.13536788432154434,0.11197377831531485,0.5552542270133622
NVDA,MLP-Torch,2,2023,25,0.14691751573847467,0.12432519124641418,0.47612496997674936
NVDA,XGBRegressor,3,2024,25,0.14222966556577624,0.1152327935732357,0.6236122129564381
NVDA,ElasticNet,3,2024,25,0.14784844020435903,0.12428644264197987,0.5932864518372032
NVDA,Ridge,3,2024,25,0.14903987471021843,0.12553251079423403,0.5867050497601164
NVDA,SVR,3,2024,25,0.14736832775890205,0.12514503623442563,0.5959236279330824
NVDA,Lasso,3,2024,25,0.21943495271581054,0.19562173214493506,0.10408510676560989
NVDA,LinearRegression,3,2024,25,0.1505059079387207,0.12732304705857936,0.5785342951284476
NVDA,MLP-Torch,3,2024,25,0.14954435858360082,0.12523251928234858,0.5839023969288816
