Stock;Features
MAR;RSI_10, RSI_14, CCI_14, ROC_2, MDI_8, PDI_10, BB_ZSCORE_20_1, BB_LOWER_20_2.5, BB_WIDTH_30_2, CHO_3_10, CHO_5_20, ULCER_INDEX_5, BINARY_MACD_7_18_9_UP, BINARY_MACD_HISTOGRAM_10_20_7_UP, BINARY_CCI_14_OVERSOLD, BINARY_ROC_2_UPTREND, BINARY_ROC_3_UPTREND, BINARY_ROC_10_UPTREND, BINARY_ADX_8_UPTREND, BINARY_ADX_9_DOWNTREND, BINARY_ADX_10_DOWNTREND, BINARY_BB_10_2_BELOW, BINARY_BB_20_3_ABOVE, BINARY_TEMA_10_UPTREND, BINARY_ULCER_INDEX_9_UP
CDNS;MACD_SIGNAL_7_18_9, MACD_HISTOGRAM_10_20_7, WILLIAMS_R_10, ROC_COL_High_1, ROC_COL_High_5, ROC_COL_Low_1, ADX_14, ATR_14, BB_UPPER_10_2, BB_SMA_20_1, BB_UPPER_20_2.5, BB_UPPER_50_2, BB_PERCENT_B_20_3, BB_WIDTH_20_3, ULCER_INDEX_14, BINARY_RSI_12_OVERSOLD, BINARY_STOCH_14_3_3_K_ABOVE_D, BINARY_WILLIAMS_R_10_OVERBOUGHT, BINARY_WILLIAMS_R_10_OVERSOLD, BINARY_WILLIAMS_R_14_OVERBOUGHT, BINARY_CCI_15_OVERSOLD, BINARY_ROC_14_UPTREND, BINARY_BB_20_3_ABOVE, BINARY_ADL_EMA_12_DOWN, BINARY_TEMA_14_UPTREND
CAT;MACD_7_18_9, WILLIAMS_R_10, ROC_3, BB_UPPER_10_2, BB_LOWER_10_2, BB_PERCENT_B_20_2, BB_PERCENT_B_30_2, BB_ZSCORE_50_2, BB_UPPER_20_3, BB_PERCENT_B_20_3, OBV, CONNORS_RSI_3_2_25, ULCER_INDEX_5, BINARY_EMA_14_UPTREND, BINARY_MACD_12_26_9_UP, BINARY_CCI_12_OVERBOUGHT, BINARY_ADX_8_UPTREND, BINARY_ADX_10_UPTREND, BINARY_ATR_10_VOL_UP, BINARY_BB_20_2_ABOVE, BINARY_OBV_EMA_10_DOWN, BINARY_MFI_10_OVERSOLD, BINARY_ADL_EMA_17_DOWN, BINARY_ADL_EMA_20_DOWN, BINARY_SAR_0.02_0.2_UP
INTU;ROC_COL_Open_5, ROC_COL_Low_3, ROC_COL_Low_10, MDI_8, MDI_9, BB_ZSCORE_20_1, BB_WIDTH_30_2, CONNORS_RSI_3_2_25, MFI_7, MFI_10, ADL, CHO_5_20, TEMA_7, ULCER_INDEX_5, BINARY_MACD_7_18_9_UP, BINARY_WILLIAMS_R_17_OVERBOUGHT, BINARY_ADX_10_STRONG_TREND, BINARY_ADX_14_STRONG_TREND, BINARY_BB_20_2.5_BELOW, BINARY_BB_30_2_BELOW, BINARY_OBV_EMA_10_DOWN, BINARY_MFI_14_OVERSOLD, BINARY_ADL_EMA_12_UP, BINARY_ADL_EMA_14_DOWN, BINARY_ULCER_INDEX_14_DOWN
GILD;CCI_20, ROC_COL_Open_7, ROC_COL_High_3, ROC_COL_Low_10, MDI_10, ATR_8, ATR_14, BB_LOWER_10_1.5, BB_ZSCORE_10_2, BB_UPPER_20_1, BB_ZSCORE_20_1, BB_PERCENT_B_20_3, ADL, CHO_3_10, BINARY_EMA_14_UPTREND, BINARY_WILLIAMS_R_17_OVERSOLD, BINARY_CCI_20_OVERBOUGHT, BINARY_ADX_14_DOWNTREND, BINARY_ATR_8_VOL_UP, BINARY_BB_20_2_BELOW, BINARY_BB_30_2_ABOVE, BINARY_MFI_14_OVERSOLD, BINARY_ADL_EMA_20_UP, BINARY_CHO_3_10_UP, BINARY_ULCER_INDEX_5_UP
MU;RSI_14, MACD_HISTOGRAM_12_26_9, MACD_HISTOGRAM_7_18_9, ROC_3, ROC_COL_Low_1, ROC_COL_Low_2, BB_UPPER_10_2, BB_WIDTH_20_1, BB_PERCENT_B_20_2.5, BB_LOWER_30_2, BB_UPPER_20_3, CONNORS_RSI_STREAK_2, CONNORS_PERCENT_RANK_25, ADL_EMA_15, TEMA_10, BINARY_EMA_7_UPTREND, BINARY_MACD_SIGNAL_7_18_9_UP, BINARY_CCI_14_OVERSOLD, BINARY_ROC_2_UPTREND, BINARY_ADX_10_UPTREND, BINARY_ATR_8_VOL_UP, BINARY_BB_20_1_ABOVE, BINARY_BB_20_2_BELOW, BINARY_ADL_EMA_15_UP, BINARY_CHO_3_10_UP
EBAY;CCI_12, ROC_COL_Open_7, ROC_COL_High_10, ROC_COL_Low_1, PDI_9, ATR_10, ATR_14, BB_ZSCORE_10_1.5, BB_LOWER_20_2.5, BB_PERCENT_B_30_2, BB_SMA_50_2, BB_LOWER_50_2, OBV, OBV_EMA_10, CONNORS_RSI_CLOSE_3, CONNORS_PERCENT_RANK_25, CHO_3_10, BINARY_RSI_10_OVERBOUGHT, BINARY_ROC_3_UPTREND, BINARY_ROC_10_UPTREND, BINARY_BB_30_2_ABOVE, BINARY_OBV_EMA_5_UP, BINARY_ADL_EMA_15_UP, BINARY_CHO_3_10_UP, BINARY_ULCER_INDEX_14_UP
AXP;CCI_20, ROC_3, ROC_COL_Open_7, ROC_COL_Open_10, ROC_COL_High_1, ROC_COL_High_14, BB_LOWER_10_1.5, BB_SMA_20_1, BB_UPPER_20_1, BB_SMA_20_2.5, BB_WIDTH_20_2.5, BB_SMA_20_3, OBV_EMA_10, MFI_14, SAR_0.02_0.2, ULCER_INDEX_5, BINARY_EMA_14_UPTREND, BINARY_RSI_10_OVERBOUGHT, BINARY_MACD_HISTOGRAM_12_26_9_UP, BINARY_CCI_20_OVERBOUGHT, BINARY_ROC_1_UPTREND, BINARY_ROC_12_UPTREND, BINARY_MFI_7_OVERBOUGHT, BINARY_ADL_EMA_20_UP, BINARY_ADL_EMA_20_DOWN
AMAT;MACD_SIGNAL_12_26_9, MACD_SIGNAL_10_20_7, ROC_1, ROC_3, ROC_COL_Open_5, ROC_COL_Open_10, ROC_COL_High_12, ADX_10, OBV_EMA_10, ADL, ADL_EMA_12, TEMA_14, BINARY_MACD_7_18_9_UP, BINARY_STOCH_14_3_3_K_ABOVE_D, BINARY_WILLIAMS_R_14_OVERSOLD, BINARY_ADX_8_STRONG_TREND, BINARY_ADX_12_STRONG_TREND, BINARY_ADX_12_DOWNTREND, BINARY_ATR_10_VOL_UP, BINARY_BB_20_2.5_BELOW, BINARY_MFI_7_OVERBOUGHT, BINARY_ADL_EMA_12_UP, BINARY_ADL_EMA_15_DOWN, BINARY_CHO_5_20_UP, BINARY_SAR_0.02_0.2_UP
COST;MACD_SIGNAL_12_26_9, MACD_7_18_9, ROC_3, ROC_COL_Open_3, ROC_COL_Open_14, ROC_COL_High_10, ROC_COL_Low_3, MDI_9, BB_WIDTH_10_1.5, BB_SMA_20_1, OBV_EMA_10, ADL_EMA_10, ADL_EMA_15, ADL_EMA_17, ADL_EMA_20, BINARY_RSI_10_OVERSOLD, BINARY_RSI_12_OVERBOUGHT, BINARY_MACD_7_18_9_UP, BINARY_WILLIAMS_R_10_OVERBOUGHT, BINARY_WILLIAMS_R_10_OVERSOLD, BINARY_CCI_12_OVERBOUGHT, BINARY_BB_20_2.5_BELOW, BINARY_BB_30_2_BELOW, BINARY_MFI_10_OVERSOLD, BINARY_TEMA_10_UPTREND
MSFT;RSI_10, ROC_10, ROC_12, ADX_9, BB_WIDTH_10_2, BB_PERCENT_B_20_2, BB_PERCENT_B_20_2.5, BB_ZSCORE_50_2, BB_LOWER_20_3, CONNORS_RSI_CLOSE_3, CONNORS_RSI_STREAK_2, UO_7_14_28, TEMA_10, TEMA_14, SAR_0.02_0.2, ULCER_INDEX_5, BINARY_RSI_12_OVERSOLD, BINARY_CCI_14_OVERSOLD, BINARY_ROC_5_UPTREND, BINARY_ADX_9_STRONG_TREND, BINARY_BB_10_1.5_BELOW, BINARY_BB_10_2_BELOW, BINARY_BB_20_1_ABOVE, BINARY_ADL_EMA_12_UP, BINARY_ULCER_INDEX_5_DOWN
ORCL;ROC_7, ROC_COL_Low_1, ROC_COL_Low_2, PDI_8, ATR_14, BB_UPPER_10_1.5, BB_UPPER_10_2, BB_LOWER_20_1, BB_LOWER_50_2, OBV_EMA_10, CONNORS_RSI_3_2_25, CONNORS_RSI_STREAK_2, ADL_EMA_15, CHO_5_20, TEMA_10, ULCER_INDEX_5, ULCER_INDEX_9, BINARY_EMA_14_UPTREND, BINARY_MACD_12_26_9_UP, BINARY_WILLIAMS_R_14_OVERSOLD, BINARY_ADX_10_STRONG_TREND, BINARY_ADX_14_DOWNTREND, BINARY_BB_50_2_ABOVE, BINARY_BB_50_2_BELOW, BINARY_MFI_14_OVERBOUGHT
ADI;MACD_HISTOGRAM_12_26_9, ROC_COL_Open_14, ROC_COL_Low_3, ROC_COL_Low_5, ROC_COL_Low_7, MDI_8, ADX_10, ADX_12, BB_ZSCORE_10_1.5, BB_ZSCORE_20_2.5, BB_WIDTH_20_2.5, BB_WIDTH_50_2, TEMA_12, TEMA_14, SAR_0.02_0.2, ULCER_INDEX_9, BINARY_RSI_14_OVERSOLD, BINARY_WILLIAMS_R_10_OVERSOLD, BINARY_ROC_12_UPTREND, BINARY_ADX_8_DOWNTREND, BINARY_BB_50_2_BELOW, BINARY_MFI_14_OVERSOLD, BINARY_ADL_EMA_12_UP, BINARY_CHO_5_20_UP, BINARY_ULCER_INDEX_9_UP
MS;MACD_10_20_7, STOCH_D_14_3_3, ROC_COL_Open_5, ROC_COL_Low_2, ROC_COL_Low_3, BB_ZSCORE_20_1, BB_SMA_20_2, BB_UPPER_30_2, OBV, CONNORS_RSI_3_2_25, CONNORS_PERCENT_RANK_25, ADL_EMA_20, CHO_5_20, BINARY_EMA_14_UPTREND, BINARY_RSI_12_OVERSOLD, BINARY_MACD_12_26_9_UP, BINARY_CCI_12_OVERBOUGHT, BINARY_CCI_20_OVERBOUGHT, BINARY_ROC_1_UPTREND, BINARY_ADX_8_DOWNTREND, BINARY_ADX_9_STRONG_TREND, BINARY_ADX_14_STRONG_TREND, BINARY_BB_20_1_BELOW, BINARY_OBV_EMA_10_UP, BINARY_ADL_EMA_20_UP
NKE;RSI_14, MACD_HISTOGRAM_7_18_9, ROC_COL_Open_3, ROC_COL_Open_12, PDI_9, MDI_14, BB_UPPER_10_1.5, BB_LOWER_20_1, BB_ZSCORE_20_2.5, BB_LOWER_50_2, CONNORS_RSI_CLOSE_3, MFI_7, ULCER_INDEX_9, BINARY_RSI_12_OVERBOUGHT, BINARY_STOCH_14_3_3_K_ABOVE_D, BINARY_WILLIAMS_R_17_OVERBOUGHT, BINARY_WILLIAMS_R_17_OVERSOLD, BINARY_CCI_9_OVERSOLD, BINARY_CCI_15_OVERSOLD, BINARY_CCI_20_OVERBOUGHT, BINARY_ADX_12_STRONG_TREND, BINARY_MFI_10_OVERBOUGHT, BINARY_ADL_EMA_17_UP, BINARY_ULCER_INDEX_9_UP, BINARY_ULCER_INDEX_9_DOWN
