Symbol;OrdenN;Fecha;Entrada;H;Signal;final_ret;max_path_ret;avg_path_ret;sum_pos_path_ret;avg_pos_path_ret;n_pos_days;Anio
NVDA;17;2020-02-05;6.24182;5;0.5774739384651184;0.08685607723388383;0.08685607723388383;0.04421755193196863;0.22108775965984315;0.04421755193196863;5;2020
NVDA;18;2020-02-06;6.32869;5;0.6405043005943298;0.06501503470702466;0.07193747837230145;0.04288723258683869;0.2248980436709652;0.0562245109177413;4;2020
NVDA;19;2020-02-07;6.26248;5;0.6220908761024475;0.15183441703606232;0.15183441703606232;0.08428002963682119;0.4214001481841059;0.08428002963682119;5;2020
NVDA;20;2020-02-10;6.54575;5;0.7066355347633362;0.1277714547607226;0.1277714547607226;0.06291166023755873;0.31455830118779365;0.06291166023755873;5;2020
NVDA;21;2020-02-11;6.66821;5;0.7361552119255066;0.1747365484890247;0.1747365484890247;0.07833886455285596;0.39169432276427985;0.07833886455285596;5;2020
NVDA;22;2020-02-12;6.78396;5;0.7858361005783081;0.13267766909003;0.15469283427378686;0.08647545091657372;0.43883513464112367;0.10970878366028092;4;2020
NVDA;23;2020-02-13;6.74015;5;0.7640177011489868;0.0860114389145643;0.1621981706638576;0.11073967196575747;0.5536983598287873;0.11073967196575747;5;2020
NVDA;24;2020-02-14;7.21334;5;0.8292755484580994;-0.056972220912919584;0.08595879301405451;0.026481491237069166;0.18937967709826542;0.047344919274566355;4;2020
NVDA;25;2020-02-18;7.38211;5;0.8337581157684326;-0.11639761531594624;0.06113157349321531;-0.020265479652836354;0.10203180391514081;0.05101590195757041;2;2020
NVDA;26;2020-02-19;7.83339;5;0.8768003582954407;-0.14950742909519377;-0.019065819523858663;-0.106609271337186;0.0;0.0;0;2020
NVDA;27;2020-02-20;7.68404;5;0.851594090461731;-0.1812405973940792;-0.04739173663853911;-0.12549309998386268;0.0;0.0;0;2020
NVDA;28;2020-02-21;7.31988;5;0.7221803665161133;-0.0810641704508818;-0.07069788029311956;-0.09819969726279672;0.0;0.0;0;2020
NVDA;29;2020-03-04;7.08615;5;0.5206396579742432;-0.13370306866210852;-0.03943608306344062;-0.09154703188614408;0.0;0.0;0;2020
NVDA;30;2020-03-05;6.8067;5;0.5100038051605225;-0.2084960406658146;-0.02652974275346349;-0.09594957909118959;0.0;0.0;0;2020
NVDA;31;2020-03-24;6.2062;5;0.6649140119552612;0.057869549805033615;0.06585672392124;0.031206857658470553;0.17032000257806706;0.042580000644516766;4;2020
NVDA;32;2020-03-25;6.11754;5;0.655450165271759;-0.01038325863010288;0.08130392281864927;0.0440752328550365;0.2307594229052854;0.05768985572632135;4;2020
NVDA;33;2020-03-26;6.40695;5;0.8183108568191528;-0.006881589523876375;0.032460062900443974;-0.004463278158874364;0.057183215102349624;0.028591607551174812;2;2020
NVDA;34;2020-03-27;6.29462;5;0.8074775338172913;-0.034899644458283474;0.05088472377998983;0.006322542107386919;0.10473547251462349;0.034911824171541164;3;2020
NVDA;35;2020-03-30;6.61492;5;0.8208713531494141;0.010579115091338997;0.010579115091338997;-0.04028862027053988;0.010579115091338997;0.010579115091338997;1;2020
NVDA;36;2020-03-31;6.56535;5;0.7815224528312683;-0.01733647101830056;0.018209234846580956;-0.03650985857570419;0.018209234846580956;0.018209234846580956;1;2020
NVDA;37;2020-04-01;6.05402;5;0.6387295126914978;0.09824381155001131;0.10420844331535069;0.06451647004800108;0.3225823502400054;0.06451647004800108;5;2020
NVDA;38;2020-04-02;6.36286;5;0.6805605292320251;0.02927928635864992;0.05061246043445863;0.018702910326488315;0.13876464357222976;0.03469116089305744;4;2020
NVDA;39;2020-04-06;6.6849;5;0.6224496364593506;0.057936543553381466;0.057936543553381466;0.0005445107630630289;0.0633397657406992;0.0316698828703496;2;2020
NVDA;40;2020-04-07;6.45153;5;0.5461174845695496;0.08419863195242062;0.09620508623535806;0.05357674846121772;0.2678837423060886;0.05357674846121772;5;2020
NVDA;41;2020-04-08;6.64879;5;0.6287739276885986;0.10395274929724055;0.10395274929724055;0.04310919731259371;0.23053066798620503;0.05763266699655126;4;2020
NVDA;42;2020-04-09;6.54916;5;0.5646645426750183;0.111695240305627;0.12074678279351861;0.08131668794165975;0.40658343970829874;0.08131668794165975;5;2020
NVDA;43;2020-04-13;6.72102;5;0.6479406952857971;0.06373883725982059;0.0920887008221966;0.06641462159017525;0.33207310795087625;0.06641462159017525;5;2020
NVDA;44;2020-04-14;7.0722;5;0.7455841302871704;-0.05085404824524185;0.03785950623568343;0.0032894997313424866;0.0782542914510337;0.026084763817011233;3;2020
