Symbol;2020;2021;2022;2023;2024
ORCL;-30.607114896982285;0.5785777547639941;2.792999762501782;6.732331531219204;32.466285755362975
NKE;10.575040164614173;20.53023880484261;13.180976216020177;7.456592618807317;-38.847406920662756
SBUX;-13.237902788140316;3.0510325734816055;10.358553322631545;1.5294053152376192;17.083196655876275
MU;2.2303940618898723;3.860253527098311;25.606516678600816;12.044983916450764;-24.114336465462287
MAR;-17.333059513325146;-5.159156029641549;4.085803557696712;31.209844957074363;8.920391256801546
EBAY;17.533259359751057;13.293302996496855;-5.070497055043459;2.215564405666901;11.621127422376095
AMZN;52.53180790583725;-18.913776237613853;-33.08232449704941;21.676141864971793;32.43597772063729
REGN;24.82042119254092;34.15735362650295;37.29175285136501;20.302418136509125;-59.1065638949447
GILD;1.0474642449040392;35.676384178891865;42.1189425439542;10.907907661987224;-5.9433947289211515
AMD;-19.76769450343495;14.598370070101454;51.39241973697195;41.208232634302206;13.964067342363329
AXP;23.790948744146263;28.48452824352925;-5.0685135187879675;5.311641410424019;52.23566569329218
ADI;71.15860884351697;-6.627069189285671;74.60091569598416;4.976828310798728;-19.39529075474514
VRTX;19.42000333988615;27.466026008437833;43.351875670689545;34.9996484380236;4.142461195776169
CAT;35.365889188514494;47.52601765095074;-0.29239160335437875;25.950565339981868;24.62528283916616
AAPL;77.60864639967443;-10.353783176051625;44.498531381777795;7.584649987876838;27.661986128321935
BKNG;75.35815997396405;14.84943210570414;-41.85969017563952;38.016084052267026;62.83587718293837
MSFT;138.1925849511311;50.281711728002584;-37.330909925203564;1.3690461654930892;20.281085511286555
NVDA;2.9664465253658503;93.0249523302324;-23.74827580145887;9.899451168644132;107.64949476708401
INTU;50.700828915586705;149.67568893783684;-97.82371615046522;103.61042108732741;-4.984573886191688
KLAC;-3.4768410541305013;44.4672207551912;30.29611336269638;69.58745960600716;108.33476825717018
COST;64.9752574077468;79.44193210212971;-44.70077964589119;82.42089846417282;86.95765811085853
CDNS;49.93163977503357;54.867846849631604;11.867134672528428;85.01185745135211;91.00760321869777
LRCX;75.50937434194371;81.06568158091831;29.454389579499328;100.58026149546843;15.689608823893611
MS;139.96232621651146;62.50296654435659;51.82806403777025;25.022665263375448;33.005592472383974
AMAT;150.36196223835202;243.84881933273869;-106.04852523742858;119.8355217040268;-57.5178006454523
