Symbol;2020;2021;2022;2023;2024
AMAT;6.01447848953408;6.967868718963587;-2.324701278680636;2.5829335533224422;-1.0440748722378017
MS;5.598493048660458;1.785993742428503;1.1361286398881734;0.5393382595017032;0.5991242599166017
LRCX;3.020374973677749;2.3164148525090145;0.6456728838512229;2.167905880697317;0.2848009858590276
CDNS;1.9972655910013424;1.5678236818475522;0.26014075241251394;1.8323446664144105;1.6519886128633334
COST;2.5990102963098716;2.2700169522376745;-0.9798906620169446;1.776499164111708;1.5784731815779454
MSFT;5.5277033980452455;1.436776963875402;-0.8183349447164519;0.02950840641085721;0.3681464090493639
INTU;2.0280331566234677;4.276914498881303;-2.144404342362472;2.2332179081366013;-0.09048100388026473
KLAC;-0.13907364216522008;1.2706305380817002;0.664124402632018;1.4998873601998621;1.966514853797004
BKNG;3.0143263989585627;0.42431574508680836;-0.9176108301234492;0.8193982691296376;1.1406096844023494
AAPL;3.104345855986977;-0.29585462875216684;0.975457155778714;0.16347946473066036;0.5021260254855572
NVDA;0.11865786101463391;2.658145555916911;-0.5205885418822115;0.21337266462710933;1.9540756293555142
ADI;2.8463443537406787;-0.18936547746586269;1.6353348028265875;0.10727050419020398;-0.3520672815986167
CAT;1.4146355675405793;1.3580342633322344;-0.006409548201369087;0.5593382078301848;0.44700316676929464
VRTX;0.7768001335954462;0.7848291575990423;0.9503211909757586;0.7543820481571182;0.07519480222114541
AXP;0.9516379497658501;0.8139323941187323;-0.11110743720156814;0.11448706215913378;0.9481924790754783
REGN;0.9928168477016365;0.9760307903395019;0.8174765782335793;0.4375981034061739;-1.0729144274383717
GILD;0.04189856979616141;1.0194363950830623;0.9232939295420677;0.23510892510048634;-0.10788571577184966
AMD;-0.7907077801373982;0.4171417620050682;1.1265788336947509;0.8882018055309171;0.25347860423711815
AMZN;2.1012723162334894;-0.5404525236749943;-0.7252012405437509;0.46720732995925685;0.5887844965306438
EBAY;0.7013303743900424;0.3798500660140763;-0.11115091851598617;0.04775425150714419;0.21094907998252663
NKE;0.42300160658456687;0.5866422037742847;0.2889416160671556;0.16071931756714408;-0.7051660696742542
MU;0.08921576247559494;0.1103049827033792;0.5613232426573228;0.2596174545296314;-0.43772836377163477
SBUX;-0.5295161115256126;0.08718186328510646;0.22707097623932024;0.03296478580961684;0.3100976769929311
MAR;-0.6933223805330059;-0.14742052888982485;0.0895653450507687;0.6726966644557928;0.16192476515516183
ORCL;-1.2242845958792914;0.01653259527743367;0.061225652169192235;0.14510860183030702;0.5893346541710422
