Stock;Features
NVDA;MACD_SIGNAL_10_20_7, CCI_12, ROC_COL_Open_3, ROC_COL_High_5, ADX_10, MDI_10, ADX_12, BB_WIDTH_20_1, BB_WIDTH_20_2.5, BB_PERCENT_B_50_2, OBV, CONNORS_RSI_CLOSE_3, SAR_0.02_0.2, BINARY_RSI_12_OVERSOLD, BINARY_MACD_10_20_7_UP, BINARY_ROC_7_UPTREND, BINARY_ATR_8_VOL_UP, BINARY_ATR_12_VOL_UP, BINARY_BB_10_2_BELOW, BINARY_CONNORS_RSI_3_2_25_OVERSOLD, BINARY_UO_7_14_28_UP, BINARY_ADL_EMA_10_DOWN, BINARY_ADL_EMA_12_DOWN, BINARY_ADL_EMA_14_DOWN, BINARY_SAR_0.02_0.2_UP
AAPL;STOCH_SIGNAL_14_3_3, ROC_COL_High_3, ROC_COL_High_7, ROC_COL_Low_7, ADX_8, PDI_8, ATR_12, BB_SMA_20_1, BB_PERCENT_B_20_1, BB_ZSCORE_20_2.5, BB_ZSCORE_50_2, ADL, ADL_EMA_15, ADL_EMA_17, CHO_5_20, BINARY_RSI_8_OVERBOUGHT, BINARY_RSI_12_OVERSOLD, BINARY_MACD_12_26_9_UP, BINARY_WILLIAMS_R_10_OVERBOUGHT, BINARY_CCI_15_OVERSOLD, BINARY_ADL_EMA_10_DOWN, BINARY_ADL_EMA_20_UP, BINARY_TEMA_10_UPTREND, BINARY_TEMA_12_UPTREND, BINARY_ULCER_INDEX_9_UP
AMZN;ROC_COL_High_10, ROC_COL_Low_7, ADX_8, BB_PERCENT_B_10_1.5, BB_ZSCORE_10_1.5, BB_SMA_10_2, BB_PERCENT_B_20_1, BB_PERCENT_B_20_2, BB_WIDTH_20_2, BB_SMA_30_2, BB_UPPER_30_2, OBV_EMA_10, CONNORS_PERCENT_RANK_25, UO_7_14_28, CHO_5_20, BINARY_MACD_7_18_9_UP, BINARY_WILLIAMS_R_10_OVERBOUGHT, BINARY_CCI_14_OVERBOUGHT, BINARY_CCI_15_OVERSOLD, BINARY_ADX_10_STRONG_TREND, BINARY_ADX_12_STRONG_TREND, BINARY_BB_10_1.5_BELOW, BINARY_OBV_EMA_10_UP, BINARY_MFI_7_OVERBOUGHT, BINARY_ADL_EMA_20_UP
LRCX;MACD_7_18_9, ROC_COL_Open_2, ROC_COL_High_7, ROC_COL_Low_2, MDI_9, ADX_14, ATR_10, BB_PERCENT_B_10_2, CHO_3_10, TEMA_12, ULCER_INDEX_5, BINARY_MACD_10_20_7_UP, BINARY_WILLIAMS_R_10_OVERBOUGHT, BINARY_WILLIAMS_R_14_OVERBOUGHT, BINARY_CCI_12_OVERBOUGHT, BINARY_ROC_1_UPTREND, BINARY_ROC_10_UPTREND, BINARY_ADX_12_STRONG_TREND, BINARY_ATR_8_VOL_UP, BINARY_ATR_12_VOL_UP, BINARY_BB_20_1_BELOW, BINARY_OBV_UP, BINARY_MFI_7_OVERBOUGHT, BINARY_ADL_EMA_12_DOWN, BINARY_SAR_0.02_0.2_DOWN
SBUX;RSI_12, CCI_12, ROC_COL_Open_2, ROC_COL_High_14, PDI_14, BB_LOWER_10_1.5, BB_SMA_10_2, BB_UPPER_10_2, BB_LOWER_10_2, BB_PERCENT_B_10_2, BB_WIDTH_30_2, BB_UPPER_50_2, CONNORS_RSI_3_2_25, ADL_EMA_15, ADL_EMA_17, BINARY_RSI_14_OVERSOLD, BINARY_MACD_HISTOGRAM_10_20_7_UP, BINARY_WILLIAMS_R_14_OVERBOUGHT, BINARY_CCI_20_OVERBOUGHT, BINARY_ROC_1_UPTREND, BINARY_ADX_14_STRONG_TREND, BINARY_ADL_EMA_12_UP, BINARY_TEMA_7_UPTREND, BINARY_ULCER_INDEX_9_DOWN, BINARY_ULCER_INDEX_14_DOWN
REGN;RSI_10, MACD_10_20_7, ROC_COL_Open_3, ROC_COL_Low_14, MDI_8, MDI_10, BB_SMA_20_1, BB_PERCENT_B_20_1, BB_ZSCORE_30_2, BB_SMA_20_3, BB_WIDTH_20_3, MFI_10, TEMA_7, TEMA_10, BINARY_EMA_7_UPTREND, BINARY_RSI_12_OVERSOLD, BINARY_RSI_14_OVERSOLD, BINARY_MACD_SIGNAL_12_26_9_UP, BINARY_ADX_10_UPTREND, BINARY_ADX_12_DOWNTREND, BINARY_BB_10_1.5_ABOVE, BINARY_UO_7_14_28_UP, BINARY_UO_7_14_28_DOWN, BINARY_ADL_EMA_10_DOWN, BINARY_TEMA_12_UPTREND
KLAC;RSI_14, MACD_SIGNAL_10_20_7, STOCH_D_14_3_3, WILLIAMS_R_10, ROC_7, ROC_COL_High_10, ROC_COL_Low_1, ROC_COL_Low_10, BB_SMA_10_1.5, BB_PERCENT_B_10_2, BB_WIDTH_20_2, BB_LOWER_30_2, OBV_EMA_5, CONNORS_RSI_CLOSE_3, UO_7_14_28, MFI_10, CHO_5_20, BINARY_RSI_8_OVERSOLD, BINARY_MACD_10_20_7_UP, BINARY_WILLIAMS_R_14_OVERBOUGHT, BINARY_WILLIAMS_R_14_OVERSOLD, BINARY_ROC_14_UPTREND, BINARY_ADX_8_UPTREND, BINARY_ADX_12_STRONG_TREND, BINARY_OBV_UP
BKNG;MACD_HISTOGRAM_12_26_9, ROC_1, ROC_10, ROC_COL_Open_5, ROC_COL_High_2, ROC_COL_High_7, ROC_COL_Low_7, PDI_8, MDI_14, BB_SMA_10_2, BB_ZSCORE_20_1, BB_UPPER_20_2.5, BB_LOWER_50_2, ADL_EMA_10, ADL_EMA_15, BINARY_RSI_8_OVERSOLD, BINARY_RSI_14_OVERBOUGHT, BINARY_MACD_SIGNAL_12_26_9_UP, BINARY_MACD_7_18_9_UP, BINARY_ADX_14_DOWNTREND, BINARY_ATR_10_VOL_UP, BINARY_BB_10_1.5_ABOVE, BINARY_BB_10_2_BELOW, BINARY_BB_20_3_ABOVE, BINARY_ULCER_INDEX_5_DOWN
AMD;RSI_14, MACD_HISTOGRAM_7_18_9, MACD_HISTOGRAM_10_20_7, STOCH_D_14_3_3, ROC_COL_High_10, MDI_8, ADX_12, MDI_12, ATR_8, BB_UPPER_10_1.5, BB_PERCENT_B_10_1.5, BB_ZSCORE_10_1.5, BB_ZSCORE_30_2, OBV, CONNORS_PERCENT_RANK_25, ADL, ULCER_INDEX_5, BINARY_ROC_10_UPTREND, BINARY_ADX_14_STRONG_TREND, BINARY_ADX_14_DOWNTREND, BINARY_BB_20_2.5_BELOW, BINARY_OBV_EMA_5_DOWN, BINARY_UO_7_14_28_DOWN, BINARY_MFI_10_OVERSOLD, BINARY_ULCER_INDEX_9_UP
VRTX;RSI_12, MACD_10_20_7, ROC_7, ROC_10, ROC_12, ROC_COL_Open_1, ROC_COL_Open_7, ROC_COL_High_14, ADX_9, MDI_9, BB_ZSCORE_10_2, BB_ZSCORE_30_2, ADL_EMA_12, CHO_3_10, TEMA_7, BINARY_RSI_14_OVERBOUGHT, BINARY_MACD_HISTOGRAM_12_26_9_UP, BINARY_ROC_1_UPTREND, BINARY_BB_50_2_ABOVE, BINARY_CONNORS_RSI_3_2_25_OVERSOLD, BINARY_MFI_10_OVERSOLD, BINARY_ADL_EMA_12_DOWN, BINARY_CHO_3_10_UP, BINARY_TEMA_10_UPTREND, BINARY_SAR_0.02_0.2_UP
