Stock;Features
NVDA;RSI_8, MACD_SIGNAL_10_20_7, CCI_9, ROC_2, ROC_COL_High_10, PDI_14, MDI_14, BB_WIDTH_20_1, BB_WIDTH_20_2.5, BB_LOWER_30_2, BB_SMA_50_2, ADL_EMA_20, TEMA_10, BINARY_RSI_8_OVERBOUGHT, BINARY_RSI_10_OVERBOUGHT, BINARY_CCI_9_OVERBOUGHT, BINARY_CCI_9_OVERSOLD, BINARY_ADX_10_DOWNTREND, BINARY_ADX_12_STRONG_TREND, BINARY_OBV_UP, BINARY_ADL_EMA_12_UP, BINARY_ADL_EMA_15_UP, BINARY_ADL_EMA_17_UP, BINARY_ADL_EMA_20_DOWN, BINARY_SAR_0.02_0.2_UP
AAPL;WILLIAMS_R_14, ROC_COL_High_5, ADX_10, PDI_12, ATR_12, BB_UPPER_10_1.5, BB_PERCENT_B_20_2, BB_ZSCORE_20_2, OBV_EMA_10, ADL_EMA_12, SAR_0.02_0.2, BINARY_EMA_14_UPTREND, BINARY_RSI_10_OVERBOUGHT, BINARY_RSI_10_OVERSOLD, BINARY_RSI_12_OVERBOUGHT, BINARY_STOCH_14_3_3_K_ABOVE_D, BINARY_WILLIAMS_R_14_OVERSOLD, BINARY_CCI_12_OVERBOUGHT, BINARY_ROC_5_UPTREND, BINARY_ADX_12_UPTREND, BINARY_OBV_EMA_5_DOWN, BINARY_MFI_7_OVERSOLD, BINARY_ADL_EMA_15_DOWN, BINARY_CHO_5_20_UP, BINARY_SAR_0.02_0.2_DOWN
AMZN;CCI_14, CCI_15, ROC_2, ROC_7, ROC_COL_Open_1, ROC_COL_Open_3, ROC_COL_High_12, ROC_COL_High_14, ROC_COL_Low_10, ADX_9, BB_SMA_20_1, BB_LOWER_20_1, BB_UPPER_20_2.5, BB_ZSCORE_20_2.5, BB_SMA_30_2, BB_WIDTH_50_2, OBV_EMA_10, SAR_0.02_0.2, BINARY_EMA_12_UPTREND, BINARY_EMA_14_UPTREND, BINARY_CCI_20_OVERSOLD, BINARY_ADX_9_DOWNTREND, BINARY_BB_10_2_ABOVE, BINARY_BB_50_2_ABOVE, BINARY_TEMA_12_UPTREND
LRCX;STOCH_SIGNAL_14_3_3, CCI_12, ROC_COL_Open_12, ADX_8, ADX_10, BB_ZSCORE_20_1, BB_ZSCORE_20_2, BB_PERCENT_B_30_2, BB_SMA_50_2, BB_PERCENT_B_20_3, ADL, ADL_EMA_20, BINARY_EMA_10_UPTREND, BINARY_WILLIAMS_R_14_OVERSOLD, BINARY_CCI_9_OVERSOLD, BINARY_ROC_12_UPTREND, BINARY_ROC_14_UPTREND, BINARY_ADX_8_UPTREND, BINARY_ADX_10_STRONG_TREND, BINARY_ADX_10_UPTREND, BINARY_ATR_8_VOL_UP, BINARY_OBV_UP, BINARY_MFI_7_OVERSOLD, BINARY_ADL_EMA_10_DOWN, BINARY_TEMA_12_UPTREND
SBUX;STOCH_D_14_3_3, CCI_9, CCI_14, CCI_15, ROC_12, MDI_12, BB_ZSCORE_10_1.5, BB_ZSCORE_10_2, BB_ZSCORE_20_1, BB_WIDTH_30_2, ULCER_INDEX_14, BINARY_EMA_10_UPTREND, BINARY_MACD_SIGNAL_7_18_9_UP, BINARY_WILLIAMS_R_10_OVERBOUGHT, BINARY_ROC_3_UPTREND, BINARY_ROC_12_UPTREND, BINARY_ADX_14_UPTREND, BINARY_BB_10_2_ABOVE, BINARY_BB_20_2_ABOVE, BINARY_BB_20_2.5_ABOVE, BINARY_OBV_EMA_5_UP, BINARY_MFI_14_OVERSOLD, BINARY_ADL_UP, BINARY_ADL_EMA_10_UP, BINARY_ADL_EMA_14_DOWN
REGN;RSI_8, RSI_10, ROC_2, ROC_12, ROC_COL_Open_1, ROC_COL_Open_2, ROC_COL_High_5, ROC_COL_High_7, MDI_9, ATR_12, BB_ZSCORE_10_2, BB_WIDTH_20_1, BB_ZSCORE_50_2, CHO_3_10, CHO_5_20, BINARY_RSI_8_OVERSOLD, BINARY_RSI_12_OVERBOUGHT, BINARY_RSI_12_OVERSOLD, BINARY_WILLIAMS_R_10_OVERSOLD, BINARY_CCI_14_OVERSOLD, BINARY_ROC_7_UPTREND, BINARY_BB_20_1_BELOW, BINARY_ADL_EMA_10_DOWN, BINARY_ADL_EMA_20_UP, BINARY_SAR_0.02_0.2_DOWN
KLAC;MACD_SIGNAL_12_26_9, MACD_HISTOGRAM_12_26_9, ROC_COL_Open_7, ROC_COL_High_3, ROC_COL_Low_1, MDI_14, BB_UPPER_20_2, BB_WIDTH_20_2.5, BB_UPPER_30_2, BB_ZSCORE_20_3, ADL_EMA_14, BINARY_RSI_12_OVERSOLD, BINARY_MACD_10_20_7_UP, BINARY_CCI_9_OVERBOUGHT, BINARY_CCI_12_OVERBOUGHT, BINARY_CCI_12_OVERSOLD, BINARY_ROC_2_UPTREND, BINARY_ADX_10_DOWNTREND, BINARY_ADX_12_DOWNTREND, BINARY_ATR_12_VOL_UP, BINARY_BB_20_2_BELOW, BINARY_BB_30_2_BELOW, BINARY_ADL_EMA_10_DOWN, BINARY_ADL_EMA_20_UP, BINARY_ULCER_INDEX_5_DOWN
BKNG;RSI_8, MACD_12_26_9, MACD_HISTOGRAM_12_26_9, MACD_SIGNAL_7_18_9, STOCH_SIGNAL_14_3_3, ROC_COL_High_2, ADX_12, ADX_14, BB_LOWER_10_2, BB_SMA_20_2, BB_UPPER_20_2, BB_ZSCORE_20_2.5, CONNORS_PERCENT_RANK_25, MFI_14, ADL, BINARY_EMA_5_UPTREND, BINARY_EMA_14_UPTREND, BINARY_RSI_14_OVERBOUGHT, BINARY_MACD_12_26_9_UP, BINARY_WILLIAMS_R_10_OVERSOLD, BINARY_ROC_5_UPTREND, BINARY_OBV_EMA_5_UP, BINARY_ADL_EMA_12_DOWN, BINARY_ADL_EMA_17_UP, BINARY_ULCER_INDEX_14_DOWN
AMD;RSI_8, MACD_HISTOGRAM_7_18_9, CCI_12, ROC_7, ROC_COL_Open_2, ROC_COL_Open_5, MDI_9, BB_PERCENT_B_10_2, BB_PERCENT_B_20_1, BB_WIDTH_20_2, BB_ZSCORE_20_2.5, BB_UPPER_30_2, BB_UPPER_20_3, CONNORS_RSI_STREAK_2, MFI_14, BINARY_RSI_14_OVERBOUGHT, BINARY_RSI_14_OVERSOLD, BINARY_WILLIAMS_R_14_OVERSOLD, BINARY_CCI_12_OVERBOUGHT, BINARY_ADX_12_DOWNTREND, BINARY_ATR_8_VOL_UP, BINARY_BB_20_1_ABOVE, BINARY_OBV_EMA_5_UP, BINARY_ADL_EMA_15_DOWN, BINARY_SAR_0.02_0.2_UP
VRTX;RSI_14, MACD_SIGNAL_10_20_7, ROC_14, ROC_COL_Open_14, ROC_COL_High_12, ROC_COL_Low_14, PDI_14, BB_UPPER_20_1, BB_PERCENT_B_20_2, BB_WIDTH_20_2, BB_SMA_30_2, BB_ZSCORE_20_3, UO_7_14_28, MFI_14, TEMA_12, BINARY_RSI_8_OVERSOLD, BINARY_RSI_14_OVERSOLD, BINARY_MACD_HISTOGRAM_12_26_9_UP, BINARY_CCI_15_OVERSOLD, BINARY_ADX_10_STRONG_TREND, BINARY_ATR_10_VOL_UP, BINARY_BB_20_1_BELOW, BINARY_BB_20_3_BELOW, BINARY_ADL_EMA_15_DOWN, BINARY_TEMA_10_UPTREND
MAR;RSI_8, MACD_12_26_9, MACD_7_18_9, ROC_12, ROC_COL_High_2, ROC_COL_Low_5, ROC_COL_Low_12, MDI_9, BB_ZSCORE_10_1.5, BB_WIDTH_20_2, BB_UPPER_50_2, ADL_EMA_12, BINARY_EMA_5_UPTREND, BINARY_EMA_14_UPTREND, BINARY_ROC_1_UPTREND, BINARY_ROC_2_UPTREND, BINARY_ROC_12_UPTREND, BINARY_OBV_EMA_5_UP, BINARY_OBV_EMA_5_DOWN, BINARY_ADL_EMA_12_UP, BINARY_ADL_EMA_17_UP, BINARY_CHO_3_10_UP, BINARY_TEMA_7_UPTREND, BINARY_TEMA_14_UPTREND, BINARY_ULCER_INDEX_9_DOWN
