Target;Stock;best_score_neg_rmse;best_rmse_pos;subsample;n_estimators;max_depth;learning_rate;colsample_bytree
TARGET_TREND_ANG_10_10;MSFT;-0.1269383906582866;0.1269383906582866;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_10_10;AXP;-0.13234470265584183;0.13234470265584183;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_10_10;SBUX;-0.13695511541449154;0.13695511541449154;1.0;100;6;0.01;0.85
TARGET_TREND_ANG_10_10;COST;-0.1390250244424855;0.1390250244424855;0.7;100;5;0.01;0.7
TARGET_TREND_ANG_10_10;ORCL;-0.14135719659364213;0.14135719659364213;0.7;100;5;0.01;0.7
TARGET_TREND_ANG_10_10;INTU;-0.14788664583095548;0.14788664583095548;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_10_10;NKE;-0.15242863269636575;0.15242863269636575;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_10_10;CDNS;-0.15581150859032966;0.15581150859032966;0.85;150;5;0.1;0.85
TARGET_TREND_ANG_10_10;MAR;-0.15711553340294837;0.15711553340294837;0.85;50;5;0.01;0.7
TARGET_TREND_ANG_10_10;ADI;-0.15969686059347146;0.15969686059347146;1.0;200;5;0.03;0.7
TARGET_TREND_ANG_10_10;EBAY;-0.16307446343420196;0.16307446343420196;0.7;150;5;0.05;1.0
TARGET_TREND_ANG_10_10;AAPL;-0.16508139987991058;0.16508139987991058;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_10_10;GILD;-0.16566312645344375;0.16566312645344375;0.7;50;3;0.05;0.7
TARGET_TREND_ANG_10_10;BKNG;-0.16607492939229107;0.16607492939229107;0.85;100;6;0.01;0.7
TARGET_TREND_ANG_10_10;MS;-0.17080981158701178;0.17080981158701178;0.85;50;5;0.01;0.7
TARGET_TREND_ANG_10_10;AMZN;-0.1716808649816419;0.1716808649816419;1.0;200;4;0.1;1.0
TARGET_TREND_ANG_10_10;CAT;-0.17201214318425995;0.17201214318425995;0.85;200;5;0.03;0.85
TARGET_TREND_ANG_10_10;KLAC;-0.18313762817377688;0.18313762817377688;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_10_10;VRTX;-0.20028156812841744;0.20028156812841744;0.7;100;5;0.1;0.7
TARGET_TREND_ANG_10_10;REGN;-0.20374983641430852;0.20374983641430852;0.85;200;3;0.01;0.85
TARGET_TREND_ANG_10_10;AMAT;-0.20823104182537464;0.20823104182537464;0.85;50;5;0.01;0.7
TARGET_TREND_ANG_10_10;LRCX;-0.20917037111861062;0.20917037111861062;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_10_10;NVDA;-0.24248556552719566;0.24248556552719566;1.0;50;3;0.01;0.7
TARGET_TREND_ANG_10_10;MU;-0.24917816367703494;0.24917816367703494;1.0;150;3;0.03;1.0
TARGET_TREND_ANG_10_10;AMD;-0.283016790888073;0.283016790888073;1.0;200;6;0.05;0.85
