,TARGET_TREND_ANG_15_5
BINARY_ADL_EMA_12_DOWN,-0.4073371785092476
BINARY_ADL_EMA_14_UP,0.40016474861518303
BINARY_ADL_EMA_14_DOWN,-0.400164748615183
BINARY_ADL_EMA_15_DOWN,-0.3968791689582377
BINARY_ADL_EMA_15_UP,0.3968791689582371
ULCER_INDEX_14,-0.3927795254110264
BINARY_MACD_10_20_7_UP,0.3920378084526341
CONNORS_RSI_3_2_25,0.3914136455592278
BINARY_ULCER_INDEX_14_UP,-0.3905821784422976
BINARY_ADL_EMA_17_DOWN,-0.3870827198434004
BINARY_ADL_EMA_17_UP,0.3870827198434001
BINARY_RSI_10_OVERBOUGHT,0.3803278566817094
BINARY_BB_10_1.5_ABOVE,0.379003171537479
BINARY_ADL_EMA_20_UP,0.3703837083735782
BINARY_ADL_EMA_20_DOWN,-0.37038370837357704
BINARY_RSI_10_OVERSOLD,-0.3656461320757802
BINARY_BB_30_2_BELOW,-0.35624547638979787
BINARY_BB_50_2_ABOVE,0.34962149867534836
BINARY_MFI_7_OVERSOLD,-0.3488103454981132
BINARY_MFI_7_OVERBOUGHT,0.348546224850302
BINARY_CONNORS_RSI_3_2_25_OVERSOLD,-0.34654211732989676
BINARY_BB_50_2_BELOW,-0.34540436445996525
BINARY_ROC_2_UPTREND,0.3447275538746353
ROC_COL_High_1,0.34300900729385775
BINARY_BB_30_2_ABOVE,0.34095288660533585
ROC_COL_Low_1,0.3404694967992222
BINARY_RSI_12_OVERBOUGHT,0.33834462923409536
BINARY_BB_20_2_BELOW,-0.3359369590200257
BINARY_ULCER_INDEX_9_UP,-0.3206777339915401
BINARY_MACD_12_26_9_UP,0.31750692932952723
ROC_COL_Open_1,0.3149670899162171
BINARY_RSI_12_OVERSOLD,-0.3129429205053723
BINARY_CONNORS_RSI_3_2_25_OVERBOUGHT,0.3082993330732189
BINARY_BB_20_2_ABOVE,0.3074565644741235
ROC_1,0.3047063210054113
BINARY_RSI_14_OVERBOUGHT,0.30204951548831044
MACD_HISTOGRAM_7_18_9,0.3002907685864977
MACD_HISTOGRAM_10_20_7,0.30001954048627555
BINARY_CHO_5_20_UP,0.29959564013909384
MACD_HISTOGRAM_12_26_9,0.28405440029458606
BINARY_MFI_10_OVERBOUGHT,0.27127088645716646
BINARY_TEMA_14_UPTREND,-0.27085952935120916
BINARY_MFI_10_OVERSOLD,-0.26690714331997967
BINARY_RSI_14_OVERSOLD,-0.2652843489410754
BINARY_MACD_SIGNAL_7_18_9_UP,0.2595400091911855
BINARY_STOCH_14_3_3_K_ABOVE_D,0.24612398283124554
BINARY_BB_10_2_BELOW,-0.24278818089277976
BINARY_ULCER_INDEX_14_DOWN,0.23319605293808668
BINARY_MACD_SIGNAL_10_20_7_UP,0.23150892432968315
BINARY_OBV_UP,0.22932852140951374
BINARY_ROC_1_UPTREND,0.22932852140951374
MACD_7_18_9,0.2252783228219826
CONNORS_PERCENT_RANK_25,0.21381493187922385
BINARY_BB_10_2_ABOVE,0.2080087784674758
CHO_3_10,0.20754285039479795
BINARY_TEMA_12_UPTREND,-0.20113856339021813
BINARY_BB_20_2.5_BELOW,-0.19360107605347895
CONNORS_RSI_STREAK_2,0.19100226265640158
MACD_10_20_7,0.18430301995912038
BINARY_ADL_UP,0.18309912283254853
BINARY_MFI_14_OVERBOUGHT,0.18222440267531836
BINARY_BB_20_2.5_ABOVE,0.17755714210425252
BINARY_ULCER_INDEX_5_UP,-0.17606371321578512
BINARY_MFI_14_OVERSOLD,-0.16238479868196848
CHO_5_20,0.1582285711606967
BINARY_MACD_SIGNAL_12_26_9_UP,0.151199664321732
MACD_12_26_9,0.1452526767563091
BINARY_ULCER_INDEX_9_DOWN,0.12494846654691785
MACD_SIGNAL_7_18_9,0.1151490559149435
BINARY_TEMA_10_UPTREND,-0.11495441075323541
MACD_SIGNAL_10_20_7,0.10013990567446406
BINARY_BB_20_3_BELOW,-0.09735867004407797
BINARY_BB_20_3_ABOVE,0.09361559884492933
BINARY_ULCER_INDEX_5_DOWN,-0.0646480129714305
BINARY_ATR_14_VOL_UP,-0.06248267247973685
BINARY_ATR_12_VOL_UP,-0.061423845081689014
MACD_SIGNAL_12_26_9,0.05828105120320827
BINARY_ATR_10_VOL_UP,-0.058245043763768614
BINARY_ATR_8_VOL_UP,-0.05543034519872816
BB_WIDTH_30_2,0.050367981142661875
BB_WIDTH_50_2,0.0423086631616926
ADX_8,0.03935732271474826
ADX_9,0.0375681676689475
BB_WIDTH_20_1,0.036717403391448536
BB_WIDTH_20_3,0.03671715166715948
BB_WIDTH_20_2.5,0.03671704500320487
BB_WIDTH_20_2,0.036716998558672304
ADX_10,0.035804071968271955
OBV,0.03492533322538936
OBV_EMA_5,0.03258880508853638
ADX_12,0.03257097214528779
ADL,0.031778813266702254
OBV_EMA_10,0.03070896759573662
ADX_14,0.03040539889918707
ADL_EMA_10,0.029233604598416008
ADL_EMA_12,0.028945584118174553
ADL_EMA_14,0.02871499007126091
ADL_EMA_15,0.028616564921005283
ADL_EMA_17,0.02844652091496834
ADL_EMA_20,0.028243379410446454
BINARY_TEMA_7_UPTREND,0.02574269254645656
ATR_8,-0.016007853456377553
BB_WIDTH_10_1.5,-0.014148454261830621
BB_WIDTH_10_2,-0.014147878564964605
ATR_10,-0.01369638183999925
SAR_0.02_0.2,-0.01364366290839817
ATR_12,-0.012061180914961353
