Fecha,Symbol,Fold,Target,Predicted,Model,TargetName
2020-03-20,NVDA,2020,0.91336,0.2522297,XGBRegressor,TARGET_TREND_ANG_15_8
2020-03-23,NVDA,2020,0.91338,0.47763193,XGBRegressor,TARGET_TREND_ANG_15_8
2020-03-24,NVDA,2020,0.90333,0.7387427,XGBRegressor,TARGET_TREND_ANG_15_8
2020-03-25,NVDA,2020,0.89542,0.7738054,XGBRegressor,TARGET_TREND_ANG_15_8
2020-03-26,NVDA,2020,0.88076,0.82630944,XGBRegressor,TARGET_TREND_ANG_15_8
2020-03-27,NVDA,2020,0.85871,0.7084052,XGBRegressor,TARGET_TREND_ANG_15_8
2020-03-30,NVDA,2020,0.81614,0.8116802,XGBRegressor,TARGET_TREND_ANG_15_8
2020-03-31,NVDA,2020,0.75824,0.6614428,XGBRegressor,TARGET_TREND_ANG_15_8
2020-04-01,NVDA,2020,0.72893,0.44590575,XGBRegressor,TARGET_TREND_ANG_15_8
2020-04-02,NVDA,2020,0.74588,0.4942305,XGBRegressor,TARGET_TREND_ANG_15_8
2020-04-03,NVDA,2020,0.78921,0.44687745,XGBRegressor,TARGET_TREND_ANG_15_8
2020-04-06,NVDA,2020,0.80742,0.59879553,XGBRegressor,TARGET_TREND_ANG_15_8
2020-04-07,NVDA,2020,0.82085,0.54847413,XGBRegressor,TARGET_TREND_ANG_15_8
2020-04-08,NVDA,2020,0.8088,0.660777,XGBRegressor,TARGET_TREND_ANG_15_8
2020-04-09,NVDA,2020,0.828,0.5448114,XGBRegressor,TARGET_TREND_ANG_15_8
2020-04-13,NVDA,2020,0.79118,0.6685196,XGBRegressor,TARGET_TREND_ANG_15_8
2020-04-14,NVDA,2020,0.77227,0.69674736,XGBRegressor,TARGET_TREND_ANG_15_8
2020-04-15,NVDA,2020,0.74239,0.66252476,XGBRegressor,TARGET_TREND_ANG_15_8
2020-04-16,NVDA,2020,0.73191,0.72934705,XGBRegressor,TARGET_TREND_ANG_15_8
2020-04-17,NVDA,2020,0.71597,0.65133405,XGBRegressor,TARGET_TREND_ANG_15_8
2020-04-20,NVDA,2020,0.69355,0.58339274,XGBRegressor,TARGET_TREND_ANG_15_8
2020-04-21,NVDA,2020,0.62178,0.3964788,XGBRegressor,TARGET_TREND_ANG_15_8
2020-04-22,NVDA,2020,0.5693,0.52592444,XGBRegressor,TARGET_TREND_ANG_15_8
