Stock;Features
NVDA;STOCH_D_14_3_3, ROC_COL_Open_2, ROC_COL_Open_5, ROC_COL_High_1, ADX_8, BB_SMA_10_2, BB_LOWER_10_2, BB_LOWER_20_1, BB_ZSCORE_20_3, BINARY_EMA_10_UPTREND, BINARY_RSI_8_OVERSOLD, BINARY_MACD_7_18_9_UP, BINARY_MACD_HISTOGRAM_7_18_9_UP, BINARY_MACD_HISTOGRAM_10_20_7_UP, BINARY_WILLIAMS_R_10_OVERSOLD, BINARY_WILLIAMS_R_17_OVERSOLD, BINARY_ROC_3_UPTREND, BINARY_ADX_8_DOWNTREND, BINARY_BB_10_1.5_BELOW, BINARY_BB_20_2_BELOW, BINARY_OBV_EMA_5_UP, BINARY_MFI_14_OVERBOUGHT, BINARY_ADL_EMA_12_UP, BINARY_CHO_3_10_UP, BINARY_CHO_5_20_UP
AAPL;WILLIAMS_R_10, ROC_COL_Open_1, PDI_9, MDI_10, ADX_12, ATR_12, BB_SMA_10_1.5, BB_UPPER_10_1.5, BB_ZSCORE_20_1, BB_WIDTH_20_1, BB_SMA_20_2, BB_PERCENT_B_50_2, UO_7_14_28, ADL, SAR_0.02_0.2, BINARY_EMA_12_UPTREND, BINARY_WILLIAMS_R_17_OVERBOUGHT, BINARY_ADX_8_DOWNTREND, BINARY_ADX_14_DOWNTREND, BINARY_BB_10_1.5_ABOVE, BINARY_BB_10_1.5_BELOW, BINARY_BB_30_2_ABOVE, BINARY_CONNORS_RSI_3_2_25_OVERSOLD, BINARY_ADL_EMA_10_UP, BINARY_ADL_EMA_10_DOWN
AMZN;MACD_SIGNAL_12_26_9, WILLIAMS_R_10, CCI_14, ROC_12, ROC_COL_Open_3, ROC_COL_Low_1, ROC_COL_Low_7, BB_SMA_20_3, OBV, OBV_EMA_5, CONNORS_PERCENT_RANK_25, MFI_7, ULCER_INDEX_5, BINARY_WILLIAMS_R_10_OVERBOUGHT, BINARY_WILLIAMS_R_14_OVERBOUGHT, BINARY_ROC_5_UPTREND, BINARY_ROC_7_UPTREND, BINARY_BB_20_2_BELOW, BINARY_MFI_7_OVERSOLD, BINARY_MFI_10_OVERBOUGHT, BINARY_MFI_10_OVERSOLD, BINARY_ADL_EMA_14_DOWN, BINARY_ADL_EMA_17_UP, BINARY_SAR_0.02_0.2_DOWN, BINARY_ULCER_INDEX_5_UP
LRCX;RSI_14, MACD_SIGNAL_12_26_9, WILLIAMS_R_14, ROC_10, ROC_COL_Open_10, ROC_COL_Low_1, ROC_COL_Low_5, PDI_8, BB_UPPER_10_2, BB_PERCENT_B_10_2, BB_LOWER_20_1, BB_UPPER_20_2.5, BB_UPPER_50_2, BB_UPPER_20_3, ADL, ADL_EMA_10, BINARY_EMA_10_UPTREND, BINARY_RSI_8_OVERSOLD, BINARY_MACD_10_20_7_UP, BINARY_STOCH_14_3_3_K_ABOVE_D, BINARY_WILLIAMS_R_17_OVERSOLD, BINARY_ADX_10_DOWNTREND, BINARY_ATR_14_VOL_UP, BINARY_ADL_EMA_10_DOWN, BINARY_ADL_EMA_12_DOWN
SBUX;CCI_9, ROC_COL_Open_5, ROC_COL_Low_12, PDI_8, MDI_8, PDI_10, PDI_14, BB_UPPER_20_1, BB_LOWER_20_3, ADL_EMA_20, TEMA_14, BINARY_RSI_10_OVERBOUGHT, BINARY_RSI_10_OVERSOLD, BINARY_MACD_SIGNAL_12_26_9_UP, BINARY_MACD_SIGNAL_7_18_9_UP, BINARY_WILLIAMS_R_17_OVERBOUGHT, BINARY_CCI_12_OVERSOLD, BINARY_CCI_15_OVERSOLD, BINARY_ROC_1_UPTREND, BINARY_ROC_12_UPTREND, BINARY_ADX_8_UPTREND, BINARY_ADX_8_DOWNTREND, BINARY_BB_10_1.5_ABOVE, BINARY_TEMA_7_UPTREND, BINARY_TEMA_10_UPTREND
REGN;MACD_HISTOGRAM_10_20_7, STOCH_D_14_3_3, STOCH_SIGNAL_14_3_3, ROC_1, ROC_7, ROC_COL_Open_2, ROC_COL_High_12, MDI_9, BB_LOWER_10_1.5, BB_ZSCORE_20_2.5, BB_PERCENT_B_30_2, BB_ZSCORE_50_2, UO_7_14_28, MFI_10, ADL_EMA_12, BINARY_RSI_12_OVERSOLD, BINARY_WILLIAMS_R_14_OVERSOLD, BINARY_CCI_12_OVERSOLD, BINARY_CCI_14_OVERBOUGHT, BINARY_ADX_12_STRONG_TREND, BINARY_OBV_UP, BINARY_ADL_UP, BINARY_ADL_EMA_10_DOWN, BINARY_ADL_EMA_14_UP, BINARY_TEMA_14_UPTREND
KLAC;MACD_SIGNAL_7_18_9, WILLIAMS_R_17, CCI_9, ROC_1, ROC_3, ROC_COL_Low_7, ROC_COL_Low_14, BB_SMA_10_2, BB_SMA_20_2, BB_PERCENT_B_20_2.5, BB_SMA_30_2, BB_ZSCORE_50_2, BB_UPPER_20_3, ADL_EMA_10, ADL_EMA_20, TEMA_10, ULCER_INDEX_14, BINARY_MACD_7_18_9_UP, BINARY_CCI_20_OVERSOLD, BINARY_ROC_10_UPTREND, BINARY_ADX_9_UPTREND, BINARY_BB_10_2_BELOW, BINARY_BB_30_2_BELOW, BINARY_ADL_EMA_17_UP, BINARY_TEMA_10_UPTREND
BKNG;STOCH_SIGNAL_14_3_3, ROC_5, ROC_COL_Open_1, ROC_COL_High_1, ROC_COL_Low_12, ADX_8, PDI_9, PDI_10, MDI_12, BB_UPPER_10_1.5, BB_UPPER_20_2.5, BB_ZSCORE_20_2.5, BB_PERCENT_B_50_2, ADL_EMA_14, BINARY_EMA_7_UPTREND, BINARY_RSI_10_OVERSOLD, BINARY_RSI_14_OVERBOUGHT, BINARY_MACD_HISTOGRAM_12_26_9_UP, BINARY_STOCH_14_3_3_K_ABOVE_D, BINARY_ROC_10_UPTREND, BINARY_BB_20_2_ABOVE, BINARY_BB_50_2_BELOW, BINARY_UO_7_14_28_UP, BINARY_MFI_14_OVERSOLD, BINARY_TEMA_10_UPTREND
AMD;MACD_12_26_9, MACD_HISTOGRAM_10_20_7, CCI_15, ROC_5, ROC_12, ROC_COL_Open_2, ROC_COL_High_10, BB_SMA_10_2, BB_ZSCORE_30_2, BB_WIDTH_30_2, CONNORS_RSI_STREAK_2, MFI_10, ULCER_INDEX_9, BINARY_RSI_8_OVERBOUGHT, BINARY_RSI_14_OVERBOUGHT, BINARY_MACD_12_26_9_UP, BINARY_WILLIAMS_R_17_OVERBOUGHT, BINARY_BB_10_1.5_BELOW, BINARY_BB_20_3_BELOW, BINARY_OBV_EMA_5_UP, BINARY_OBV_EMA_5_DOWN, BINARY_MFI_14_OVERSOLD, BINARY_ADL_EMA_12_UP, BINARY_ADL_EMA_20_DOWN, BINARY_ULCER_INDEX_14_DOWN
VRTX;MACD_12_26_9, WILLIAMS_R_10, ROC_10, ROC_COL_High_5, ROC_COL_Low_12, ADX_8, ADX_9, ATR_10, BB_UPPER_10_1.5, BB_ZSCORE_20_1, BB_LOWER_20_2.5, BB_LOWER_30_2, BB_SMA_20_3, BB_PERCENT_B_20_3, BINARY_WILLIAMS_R_10_OVERBOUGHT, BINARY_ADX_9_STRONG_TREND, BINARY_ADX_9_UPTREND, BINARY_ADX_9_DOWNTREND, BINARY_ADX_12_UPTREND, BINARY_BB_10_1.5_ABOVE, BINARY_BB_10_1.5_BELOW, BINARY_BB_20_2_ABOVE, BINARY_BB_50_2_ABOVE, BINARY_MFI_10_OVERBOUGHT, BINARY_MFI_14_OVERSOLD
