Stock;Features
NVDA;STOCH_K_14_3_3, CCI_14, ROC_COL_Open_2, ROC_COL_Open_5, ROC_COL_High_3, ROC_COL_High_7, BB_SMA_10_1.5, BB_UPPER_10_1.5, BB_LOWER_20_1, BB_WIDTH_50_2, BB_PERCENT_B_20_3, BB_ZSCORE_20_3, CONNORS_RSI_CLOSE_3, TEMA_7, TEMA_14, BINARY_EMA_10_UPTREND, BINARY_RSI_14_OVERSOLD, BINARY_MACD_HISTOGRAM_12_26_9_UP, BINARY_MACD_HISTOGRAM_10_20_7_UP, BINARY_CCI_20_OVERSOLD, BINARY_ADX_10_UPTREND, BINARY_ADX_12_UPTREND, BINARY_ATR_8_VOL_UP, BINARY_ADL_EMA_17_UP, BINARY_CHO_3_10_UP
AAPL;MACD_7_18_9, ROC_COL_High_1, ROC_COL_High_3, BB_PERCENT_B_10_1.5, BB_PERCENT_B_10_2, BB_LOWER_20_3, ADL_EMA_20, CHO_3_10, BINARY_RSI_8_OVERSOLD, BINARY_RSI_12_OVERSOLD, BINARY_MACD_10_20_7_UP, BINARY_WILLIAMS_R_14_OVERBOUGHT, BINARY_WILLIAMS_R_14_OVERSOLD, BINARY_WILLIAMS_R_17_OVERBOUGHT, BINARY_CCI_9_OVERBOUGHT, BINARY_ADX_14_DOWNTREND, BINARY_BB_10_2_BELOW, BINARY_BB_50_2_ABOVE, BINARY_BB_50_2_BELOW, BINARY_OBV_EMA_10_UP, BINARY_ADL_UP, BINARY_ADL_EMA_12_UP, BINARY_ADL_EMA_15_UP, BINARY_SAR_0.02_0.2_UP, BINARY_SAR_0.02_0.2_DOWN
AMZN;MACD_SIGNAL_10_20_7, CCI_14, ROC_2, ROC_COL_Open_7, ROC_COL_High_12, PDI_12, BB_UPPER_10_1.5, BB_UPPER_10_2, OBV_EMA_5, CONNORS_RSI_CLOSE_3, CONNORS_RSI_STREAK_2, MFI_7, MFI_10, TEMA_7, TEMA_10, BINARY_RSI_8_OVERSOLD, BINARY_RSI_14_OVERSOLD, BINARY_WILLIAMS_R_14_OVERBOUGHT, BINARY_WILLIAMS_R_14_OVERSOLD, BINARY_CCI_14_OVERSOLD, BINARY_ADX_12_STRONG_TREND, BINARY_BB_10_1.5_ABOVE, BINARY_ADL_EMA_10_DOWN, BINARY_TEMA_14_UPTREND, BINARY_ULCER_INDEX_5_DOWN
LRCX;MACD_SIGNAL_12_26_9, MACD_7_18_9, ROC_COL_High_7, ROC_COL_Low_12, MDI_9, ATR_12, BB_ZSCORE_10_1.5, BB_ZSCORE_20_1, BB_WIDTH_20_2, BB_UPPER_50_2, BB_WIDTH_20_3, CONNORS_RSI_3_2_25, ADL_EMA_10, ADL_EMA_15, TEMA_14, BINARY_WILLIAMS_R_14_OVERBOUGHT, BINARY_CCI_20_OVERSOLD, BINARY_ADX_12_DOWNTREND, BINARY_ADX_14_STRONG_TREND, BINARY_BB_20_3_ABOVE, BINARY_OBV_EMA_5_UP, BINARY_OBV_EMA_5_DOWN, BINARY_UO_7_14_28_UP, BINARY_ADL_UP, BINARY_ULCER_INDEX_9_DOWN
SBUX;MACD_SIGNAL_12_26_9, ROC_1, MDI_12, BB_PERCENT_B_10_1.5, BB_SMA_20_1, BB_LOWER_30_2, ADL_EMA_14, ADL_EMA_15, CHO_3_10, SAR_0.02_0.2, BINARY_RSI_12_OVERSOLD, BINARY_MACD_7_18_9_UP, BINARY_WILLIAMS_R_10_OVERSOLD, BINARY_ROC_12_UPTREND, BINARY_ADX_9_DOWNTREND, BINARY_ADX_14_DOWNTREND, BINARY_ATR_14_VOL_UP, BINARY_BB_50_2_BELOW, BINARY_BB_20_3_BELOW, BINARY_OBV_EMA_5_UP, BINARY_CONNORS_RSI_3_2_25_OVERBOUGHT, BINARY_MFI_14_OVERSOLD, BINARY_ADL_EMA_10_DOWN, BINARY_ADL_EMA_17_DOWN, BINARY_CHO_3_10_UP
REGN;CCI_9, CCI_20, ROC_COL_High_5, ATR_8, BB_PERCENT_B_10_1.5, BB_PERCENT_B_20_2, BB_UPPER_30_2, CONNORS_RSI_STREAK_2, CHO_3_10, TEMA_10, SAR_0.02_0.2, BINARY_EMA_10_UPTREND, BINARY_MACD_SIGNAL_10_20_7_UP, BINARY_ROC_3_UPTREND, BINARY_ROC_5_UPTREND, BINARY_ADX_8_DOWNTREND, BINARY_ADX_9_STRONG_TREND, BINARY_ADX_12_UPTREND, BINARY_BB_50_2_BELOW, BINARY_UO_7_14_28_DOWN, BINARY_MFI_7_OVERSOLD, BINARY_MFI_10_OVERBOUGHT, BINARY_MFI_14_OVERBOUGHT, BINARY_ADL_EMA_10_UP, BINARY_ADL_EMA_17_UP
KLAC;MACD_12_26_9, WILLIAMS_R_17, ROC_COL_Open_12, ROC_COL_Low_3, ROC_COL_Low_5, MDI_9, BB_UPPER_10_1.5, BB_LOWER_10_1.5, BB_ZSCORE_10_1.5, BB_UPPER_20_1, ADL_EMA_12, ULCER_INDEX_9, BINARY_RSI_8_OVERSOLD, BINARY_RSI_10_OVERSOLD, BINARY_MACD_HISTOGRAM_12_26_9_UP, BINARY_MACD_7_18_9_UP, BINARY_WILLIAMS_R_17_OVERBOUGHT, BINARY_CCI_14_OVERBOUGHT, BINARY_CCI_20_OVERBOUGHT, BINARY_ADX_10_UPTREND, BINARY_BB_20_1_ABOVE, BINARY_BB_50_2_BELOW, BINARY_ADL_EMA_12_UP, BINARY_TEMA_7_UPTREND, BINARY_SAR_0.02_0.2_UP
BKNG;WILLIAMS_R_10, WILLIAMS_R_17, ROC_COL_High_10, PDI_9, PDI_14, BB_SMA_10_1.5, BB_ZSCORE_20_1, BB_UPPER_20_3, BB_WIDTH_20_3, UO_7_14_28, MFI_14, ADL, ADL_EMA_10, ADL_EMA_20, CHO_5_20, BINARY_RSI_10_OVERBOUGHT, BINARY_WILLIAMS_R_14_OVERSOLD, BINARY_ROC_1_UPTREND, BINARY_ROC_3_UPTREND, BINARY_ROC_12_UPTREND, BINARY_ADX_10_DOWNTREND, BINARY_BB_20_1_ABOVE, BINARY_BB_20_2.5_ABOVE, BINARY_OBV_EMA_10_UP, BINARY_ADL_EMA_10_UP
AMD;RSI_8, MACD_10_20_7, WILLIAMS_R_10, ROC_2, ROC_COL_High_3, ROC_COL_Low_3, ATR_10, ATR_12, BB_UPPER_10_2, BB_LOWER_20_1, BB_SMA_20_2, BB_ZSCORE_20_2, BINARY_EMA_10_UPTREND, BINARY_RSI_10_OVERSOLD, BINARY_MACD_SIGNAL_10_20_7_UP, BINARY_CCI_14_OVERSOLD, BINARY_ADX_9_STRONG_TREND, BINARY_ATR_10_VOL_UP, BINARY_BB_20_3_ABOVE, BINARY_OBV_EMA_10_DOWN, BINARY_MFI_7_OVERBOUGHT, BINARY_MFI_7_OVERSOLD, BINARY_ADL_EMA_17_DOWN, BINARY_CHO_3_10_UP, BINARY_ULCER_INDEX_9_UP
VRTX;MACD_SIGNAL_10_20_7, STOCH_K_14_3_3, ROC_COL_Open_3, ROC_COL_Low_2, ROC_COL_Low_3, MDI_10, BB_UPPER_20_1, BB_UPPER_20_2, BB_WIDTH_20_2.5, BB_WIDTH_20_3, ADL_EMA_20, BINARY_EMA_14_UPTREND, BINARY_RSI_8_OVERSOLD, BINARY_MACD_SIGNAL_7_18_9_UP, BINARY_WILLIAMS_R_10_OVERSOLD, BINARY_CCI_9_OVERSOLD, BINARY_ROC_12_UPTREND, BINARY_ADX_8_UPTREND, BINARY_ADX_9_DOWNTREND, BINARY_BB_10_2_BELOW, BINARY_OBV_EMA_10_UP, BINARY_UO_7_14_28_DOWN, BINARY_MFI_10_OVERSOLD, BINARY_ADL_EMA_20_UP, BINARY_ULCER_INDEX_14_DOWN
