Symbol
NVDA
AAPL
AMZN
LRCX
SBUX
REGN
KLAC
BKNG
AMD
VRTX
MAR
CDNS
CAT
INTU
GILD
MU
EBAY
AXP
AMAT
COST
MSFT
ORCL
ADI
MS
NKE
