Symbol,MeanDailyReturn,VolDaily,RetAnual,VolAnual,Sharpe,Sortino,Calmar,MaxDrawdown,Skewness,Kurtosis,RetMensual,RetSemanal,VolumenMedio,Alpha,Beta,Count,MeanReturn,StdReturn,AutocorrLag1,AutocorrLag5,AutocorrLag10,AutocorrLag15
AAPL,0.0008404057780749336,0.02529992925515105,0.21178225607488327,0.4016239259799437,0.47751700949325543,0.5582873321188916,0.25890084177267564,-0.8180052819636476,-3.903018486043738,113.14043375817926,0.017648521339573606,0.004202028890374668,380251954.484375,0.1507602216767437,1.153753708540951,6400,0.0011522203933224363,0.024474459292784172,-0.04007279702525429,0.01458239106225049,-0.02996745964062374,-0.012124818871636023
ADI,0.0002515408564849432,0.025615437426239934,0.06338829583420569,0.40663246292380373,0.10670150514356733,0.14693643349672017,0.07535606555488246,-0.8411837237977805,0.17701492691939053,5.97313287738713,0.005282357986183807,0.001257704282424716,3345396.09375,-0.003098941936660665,1.307463751246681,6400,0.0005803361737367287,0.025721949259139065,-0.03250548298651729,0.000457473288156416,-0.01837571045210559,-0.006304893669859867
ADP,0.0003108882211181922,0.015783293874178005,0.07834383172178444,0.2505520227631451,0.23286114826915108,0.2879131824560152,0.12963198297118944,-0.6043557301688138,-1.020612808090282,21.15601769272961,0.006528652643482037,0.001554441105590961,2467972.89625,0.028014708076900534,0.853013249963751,6400,0.0004349037831505979,0.01568620695899904,-0.11510173886834313,0.003308013513087288,-0.021674089887157303,-0.046933243587582524
AMAT,0.00026514254288000533,0.027608831272317193,0.06681592080576135,0.4382766092141657,0.10681820526471343,0.15043502660826105,0.07784856131205269,-0.8582807399347117,0.07113069223773018,4.656351484648178,0.005567993400480112,0.0013257127144000267,18553891.109375,-0.005094042884472378,1.4599791062665926,6400,0.00064677834726514,0.027687957990084586,-0.08398503297465439,0.0020551841678856375,-0.01987736050346926,-0.008487782518470287
AMD,0.00033207568284868247,0.03872872546324154,0.08368307207786799,0.6147994570213914,0.10358348783585897,0.14118459937625805,0.08663787976675522,-0.9658947368421053,-0.11879547863812565,8.494232044246111,0.006973589339822332,0.0016603784142434123,33905108.2578125,0.006239655695957945,1.6156086760264714,6400,0.0010821463778167778,0.038840916286774586,-0.0007974049472753273,-0.0023851786292855936,-0.0028706242231309317,0.0012938964838286016
AMGN,0.0002470256632003345,0.019226374568409057,0.06225046712648429,0.305209234328323,0.1384311559886624,0.194149599406493,0.10346338026562486,-0.6016666666666667,0.2442995231419882,6.275030028764949,0.005187538927207024,0.0012351283160016726,6201733.25,0.013985332537833581,0.7949631053779181,6400,0.0004322420100358382,0.01929469338977715,-0.05678407372790168,-0.013504880601525774,-0.039957644691940096,-0.014130937316222923
AMZN,0.0006290940933916088,0.030707562131857116,0.1585317115346854,0.48746743661975006,0.28418659612487585,0.37941819537299626,0.1698790284886464,-0.9332035445757251,0.4383446514022182,12.922316761871809,0.013210975961223784,0.003145470466958044,117240327.765625,0.09383376804002062,1.2571394575560622,6400,0.001103706163369351,0.031067177112127392,-0.003756245852933975,-0.01495195270989125,-0.016434556613808993,-0.02288555273675533
AXP,0.000284276658979704,0.022411651772938506,0.07163771806288541,0.35577394236825066,0.14514193400211642,0.1868277658149417,0.08493131522919405,-0.8434782608695652,0.11385765657899714,11.52031003213589,0.005969809838573784,0.0014213832948985201,6112323.344375,0.0032475173773642467,1.3609850003073671,6400,0.0005358573138327643,0.022493426472573814,-0.059613039938085914,-0.025713688487420228,0.017504789003782006,-0.029045082198855692
BKNG,0.00046202522608480276,0.037030744389209946,0.1164303569733703,0.5878448431046998,0.1640404914740322,0.1874620256970161,0.11778080793075223,-0.9885342019543973,-1.2849943104807182,30.07999148515213,0.009702529747780858,0.0023101261304240136,722540.74671875,0.051291580475626465,1.2695379823881883,6400,0.0011395562736690697,0.03659671424661905,0.037134104879037656,-0.00427980243906961,0.02603231255810958,-0.009989237721856866
CAT,0.00042763888649454773,0.020203372860348557,0.10776499939662602,0.3207186013991638,0.2736511041571749,0.3783483763963782,0.14462890985216065,-0.7451138192687974,-0.15676632386711184,4.546489786168539,0.008980416616385503,0.0021381944324727386,5426258.90625,0.04826095925409071,1.1110597873923995,6400,0.0006317105856008267,0.020197002620380586,0.003899166491285305,-0.007118436750827678,0.02182320645459297,-0.023959832763983443
CDNS,0.0003984130599977455,0.025881821320227164,0.10040009111943186,0.41086117614438294,0.19568675695748397,0.2323897722412736,0.10922238681244481,-0.9192263056092843,-1.3927517621726142,26.36861104048493,0.008366674259952656,0.0019920652999887278,2469317.421875,0.036623201033782145,1.2312346285536386,6400,0.0007300070773243734,0.02555599956135632,-0.01995975184359862,-0.025634765883765127,0.004863912316712082,-0.01615491825769846
CMCSA,0.00012353471937048553,0.020101458469080766,0.031130749281362353,0.3191007605932851,0.03488161313269079,0.04620232888810723,0.04627001170515982,-0.6728061682744462,-0.06730315839823968,8.405398277682666,0.002594229106780196,0.0006176735968524276,25132737.796875,-0.025049450830770512,1.0175760580274902,6400,0.0003255568739421847,0.020116648610973346,-0.0825663061939959,-0.015449292601219843,-0.0014284914433392096,0.009599248403663777
COST,0.00048196191150551504,0.017206575889452236,0.12145440169938979,0.2731459243107038,0.3714293081817516,0.46883126859729335,0.22750193442769745,-0.5338609625668449,-0.7890082951400581,14.924378249041096,0.010121200141615817,0.002409809557527575,3269497.09375,0.07352609724261891,0.7854896840933236,6400,0.0006295533778918551,0.017122496559198612,-0.013211484232853132,-0.00497720646420425,-0.04284312025692652,-0.010512360593470257
CSCO,2.828539443126862e-05,0.0228604970437372,0.0071279193966796925,0.36289914015033536,-0.03547013254974342,-0.04480176415193693,0.007985713439869412,-0.892583918813427,0.044122426836634934,10.242037066829912,0.000593993283056641,0.0001414269721563431,41937386.078125,-0.055741056880489914,1.2056993536961569,6400,0.00028979312621353154,0.022918106538344207,-0.06581197354179179,-0.01960134906949551,0.011323693690010593,-0.011994434136536187
